"Mship No","Company Name","Address","Name","Ph (Off)","Email","Business Sector(s)","Business Speciality"
"123799-A","AL-KAASIB GRAIN SOLUTIONS.","60/3, FAROOQ E AZAM STREET, MAIN QAZI ROAD, BEDIAN ROAD, ALI VIEW PARK, LAHORE","SYED MUDASSAR HASSAN SHAH - Managing Partner","","info.alkaasib@gmail.com","AGRICULTURAL MACHINERY","SERVICES AND IMPORTS RELATED OF AGRICULTURE EQUIPMENT"
"112606-C","FARM MORE PRODUCTIVITY ENHANCEMENT","465- AL-HAMRA TOWN, LAHORE","MR. NASEER AHMAD - Proprietor","","NAAASEER@GMAIL.COM","AGRICULTURAL MACHINERY","AGRICULTURAL MACHINERY"
"99469-A","CREATIVE TRADERS","OPP. RUSTAM SOHRAB FACTORY, MAHMOOD ROAD, SHAHDARA, LAHORE","MR. ASLAM JAVED - Proprietor","","","AGRICULTURAL MACHINERY","GREEN HOUSES AND IIMPLEMENTS"
"90689-C","DAWOOD FABRICATORS","OPP. MS FACTORY, AKBAR COLONY, MOMINPURA ROAD, DAROGHAWALA, LAHORE","MIAN FARYAD HUSSAIN - Partner","042-36546902","faryad.df@gmail.com","AGRICULTURAL MACHINERY","AGRICULTURAL MACHINERY PARTS"
"85734-A","OMER AGRO INTERNATIONAL","9-KM, SHEIKHUPURA ROAD, LAHORE","MALIK MUHAMMAD OMER FAROOQ - Proprietor","042-37901248 042-37926666","omeragro@gmail.com","AGRICULTURAL MACHINERY","AGRICULTURE MACHINERY"
"85087-C","IFTIKHAR FOUNDRY","HAJI IFTIKHAR PARK, SALAMAT PURA, MAIN G.T. ROAD, DAROGHAWALA, LAHORE","MR. MUHAMMAD NISAR - Proprietor","","","AGRICULTURAL MACHINERY","AGRICULTURAL MACHINERY TOOLS"
"82632-C","TAKBEER DIE & CASTING","ABDULLAH SHAHEED ROAD, HERBANSPURA, LAHORE","MR. UMAR ABDULLAH - Managing Partner","042-35516968","ahurts@gmail.com","AGRICULTURAL MACHINERY","AGRICULTURAL MACHINERY"
"54744-C","AGRO STEEL INDUSTRY","NAID ABBADI, HADBAS MOUZA BAGHBANPURA, SHALAMAR TOWN, LAHORE","MR. KHURRAM IQBAL - Partner","042-37282057 042-37281504","info@agrosteel.com","AGRICULTURAL MACHINERY","AGRICULTURAL GOODS, FLAT, BARS, ANGLES,"
"49032-C","NAWAZ RICE ENGINEERING","25 KM, MULTAN ROAD, LAHORE","MR. MUHAMMAD NAWAZ AKRAM - Proprietor","042-37981167","nawazrice@hotmail.com","AGRICULTURAL MACHINERY","RICE PROCESSING MACHINERY & AGRICULTURAL MACHINERY"
"39501-A","NAEEM ZAFAR INDUSTRIES","8-K.M SHEIKHUPURA ROAD, SHAHDARA, LAHORE","MR. ZAFAR MEHMOOD - Proprietor","042-37911824","zafar@nzindustries.com","AGRICULTURAL MACHINERY","AGRICULTURAL MACHINERY AND PARTS"
