Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-17,BAJWA AGRO INDUSTRIES,BOGHIWAL BAGHBANPURA,,6822327,,AGRICULTURAL IMPLEMENTS,AGRICULTURAL IMPLEMENTS
NEW-18,BUKHARI ENGINEERING DHOBI GHAT DAROGHAWALA,,,6850399,,AGRICULTURAL IMPLEMENTS,AGRICULTURAL IMPLEMENTS
NEW-19,PAK AGRO NOOR ROAD BADAMI BAGH,,,7289185,,AGRICULTURAL IMPLEMENTS,AGRICULTURAL IMPLEMENTS
,AGRI SERVICES,"NO.41-B/1, AGRO SQUARE FLATS, SHADMAN COLONY, LAHORE",MR. SULEMAN KHURSHID - Proprietor,042-36580216,agriservices908@gmail.com,AGRICULTURAL CROPS & SEEDS,AGRICULTURAL
,HABIB AZIZ FARMS (PVT) LTD,"G-87, PIA HOUSING SCHEME, NEAR WAPDA TOWN, LAHORE",RAO MUHAMMAD USMAN GHANI - Director,042-35134079,raomusmanghani@gmail.com,AGRICULTURAL CROPS & SEEDS,CORPORATE AGRICULTURE/LIVESTOCK
,AL BAQI TRADING (PVT) LTD,"15 A-D BLOCK, COMMERCIAL ZONE, VALENCIA TOWN, LAHORE",MR. MUHAMMAD ASLAM - Chief Executive,042-35134653,albaqitrading1@gmail.com,AGRICULTURAL CROPS & SEEDS,RAISING OF POULTRY
,SINDHU 1 PETROLEUM,"SUITE # 34, FIRST FLOOR, TAJ ARCADE, 73- JAIL ROAD, LAHORE",MR. WASEEM ABBAS - Managing Partner,,sindhu1petroleum@yahoo.com,AGRICULTURAL CROPS & SEEDS,RICE/GRAIN
,PIONEER GENERAL EXPORTS (SMC-PVT) LTD.,"2ND FLOOR, AL-SAEED PLAZA, LOWER MALL ROAD, NEAR OLD ANARKALI, LAHORE",MR. NASEER UD DIN HAMAYUN MUGHAL - Chief Executive,,pioneerexportspvtltd@gmail.com,AGRICULTURAL CROPS & SEEDS,AGRICULTURE COMMODITY
,TRADIMPEX AGRI-GROW,"ROOM NO.716, 7TH FLOOR, AL-QADIR HEIGHTS, 1-BABAR BLOCK, NEW GARDEN TOWN, LAHORE",MR. MUSTAFA ALI BAIG - Partner,042-35866174 042-35866176,agrigrow@tradimpex.com,AGRICULTURAL CROPS & SEEDS,MIXED FARMING
,NEXTGEN AGRICO (PVT) LTD.,"OFFICE #BFI-03 A, FIRST FLOOR, GATE NO.01, BROADWAY HEIGHTS, MAIN BOULEVARD, BAHRIA ORCHARD, LAHORE",MR. AHMAD ARIF - Director,,ngagirco@gmail.com,AGRICULTURAL CROPS & SEEDS,ANIMAL FODER
,TF AGRO (PVT) LTD.,"226 IMPERIAL 1, PARAGON CITY, BARKI ROAD, LAHORE",MR. WASIF TARIQ MEHMOOD BHATTI - Chief Executive,042-37709999,wasiftmbhatti@gmail.com,AGRICULTURAL CROPS & SEEDS,"POTATO, ONION, MANGO, ORANGE, GINGER, GARLIC"
,SIA STERLING TRADING,"21 KM, FEROZPUR ROAD, 2 KM HADYARA DRAIN, NEAR NISHAT APPAREL DIVISION, LAHORE",MR. IBRAHIM IHSAN KHAN - Partner,042-35234584,ibrahimihsankhan96@gmail.com,AGRICULTURAL CROPS & SEEDS,"RHODES GRASS, CORN, MINERALS"
,BIL QALAM,"MAJEED MANZIL 25 NO. STOP, SHAHDARA MOR, LAHORE",MR. TALHA JUBAIR - Managing Partner,,bilqalamfirst@gmail.com,AGRICULTURAL CROPS & SEEDS,AGRICULTURE EQUIPMENT & COSMETICS
,SAQIB GLOBAL CONNECTIONS (SMC-PVT) LTD.,"HOUSE NO.389, BLOCK H3, JOHAR TOWN, LAHORE",MR. MUHAMMAD ZESHAN SAQIB - Chief Executive,,zeshansaqib@hotmail.com,AGRICULTURAL CROPS & SEEDS,AGARICULTURE COMMODITIES
,GRAIN X,"SUIT # 24, 1ST FLOOR, 73 JAIL ROAD, TAJ ARCADE, LAHORE",MR. WASEEM ABBAS - Partner,,grainxport@gmail.com,AGRICULTURAL CROPS & SEEDS,RICE AND GRAIN
,THE VILLAGE DHABA,"OFFICE NO.41, NISAR BLOCK, RIZWAN GARDEN, CANAL BANK ROAD, BATA PUR, LAHORE",MR. IMRAN KHALID - Managing Partner,,tvd.lhr@gmail.com,AGRICULTURAL CROPS & SEEDS,WE DEAL IN ALL KIND OF AGRICULTURE ITEMS
,SUFYAN ENTERPRISES,"823, E BLOCK, JOHAR TOWN, LAHORE",MR. SUFYAN AHMAD - Proprietor,,,AGRICULTURAL CROPS & SEEDS,"AGTICULTURE, FORESTY AND FISHING"
,DOUBLE LION IMPORT AND EXPORT TRADING (SMC-PVT) LTD,"HOUSE NO.38, BLOCK 10, SECTOR B1, TOWNSHIP, LAHORE",MR. MA CHENGJUN - Chief Executive,,sendtome2003@gmail.com,AGRICULTURAL CROPS & SEEDS,AGRICULTURE PRODUCTS
,RARE SEEDS IMPEX (PVT.) LTD,"HOUSE NO.122/2,BLOCK F, STREET NO 8, PUNJAB CHS, GHAZI ROAD, LAHORE",MR. SAIFULLAH - Managing Director,042-35923819,saifbrother@gmail.com,AGRICULTURAL CROPS & SEEDS,SEEDS AND PLANTS
,MMA INTERNATIONAL,"PLOTE NO.235, SHOP NO.1 BLOCK-A, TAJPURA SCHEME, LAHORE",MIAN MUHAMMAD ALI SHAIR - Proprietor,,mma.international2018@gmail.com,AGRICULTURAL CROPS & SEEDS,PLANTS
,CHAUDHRY COMMISSION SHOP,"KASUR ROAD, ELLAHABAD, KASUR",MR. KASHIF SHAHZAD - Proprietor,,,AGRICULTURAL CROPS & SEEDS,"AGRICULTURAL CROPS, SEEDS, VEGETABLE"
,RYAAN AGRI FARMS,"H # 10, PROFESSOR ROAD, NSP CHURCH, BAHAR COLONY NO.1, KOTLAKHPAT, LAHORE",MR. ISHFAQ SALEEM - Proprietor,042-36116337,ryaanagrifarms@gmail.com,AGRICULTURAL CROPS & SEEDS,AGRI PRODUCTS
,HAROON JAMEEL TRADERS,"SHER GHARH BAZAR, HABIB ABAD, TEHSIL PATTOKI, DISTT. KASUR",MR. JAMEEL AHMAD - Proprietor,,awshakir@gmail.com,AGRICULTURAL CROPS & SEEDS,AGRICULTURAL PRODUCTS
,ROOMI LOGISTICS,"96, CCA, PHASE 6, DHA, LAHORE",MR. BILAL AKBAR - Proprietor,,bilalak56@hotmail.com,AGRICULTURAL CROPS & SEEDS,"AGRI FARMING, LUBRICANTS AND GENERAL SUPPLIER"
,FLORINA INTERNATIONAL,"193- UPPER MALL, LAHORE",MR. ASIF ALI KARAM - Proprietor,042-35712271 042-35763591,florinainternational@gmail.com,AGRICULTURAL CROPS & SEEDS,CROPS
,ASIA LIVESTOCK & MEAT COMPANY,"61-A, ALLAH HOO CHOWK, JOHAR TOWN, LAHORE",MR. MUHAMMAD MANZOOR - Managing Partner,042-35203666,,AGRICULTURAL CROPS & SEEDS,AGRICULTURAL RAW METRIAL
,FOUR BROTHERS SEEDS CORPORATION PAKISTAN,"77-D/1,1ST FLOOR, LAHORE CENTRE, MAIN BOULEVARD, GULBERG, LAHORE",MR. MUHAMMAD NADEEM QURESHI - Partner,042-35782691 111-005-555,info@4bgroup.com,AGRICULTURAL CROPS & SEEDS,Seeds
,FALCON TRADING COMPANY,"HOUSE NO.45, BLOCK J-3, WAPDA TOWN, LAHORE",MR. MOAZ-UR-REHMAN - Proprietor,,tradingcompanyfalcon@gmail.com,AGRICULTURAL CROPS & SEEDS,"AGRI PRODUCTS LIKE HUSK, RICE, CORN, DATES ETC."
,RASHID MAHMOOD AL MUMTAZ AGRICULTURE & LIVSTOCK,"HOUSE NO.13/A, HUSSAIN ROAD, NEAR RANGER HEAD QUARTER, CANTT- LAHORE",MR. RASHID MAHMOOD - Proprietor,,rashidmeat786@gmail.com,AGRICULTURAL CROPS & SEEDS,MEAT
,AJLAL TRADERS,"H # 439-SD, STREET # 27, ASKARI 9, ZARAR SHAHEED ROAD, LAHORE",MR. MUHAMMAD AJLAL - Proprietor,,ajlaltraders@gmail.com,AGRICULTURAL CROPS & SEEDS,PLANTS (FRUIT PLANTS) FLOWERS & FOUNTAINS
