"Mship No","Company Name","Address","Name","Ph (Off)","Email","Business Sector(s)","Business Speciality"
"102707-C","RAVI AUTOS LAHORE (PVT.) LTD","8.5-KM, SHEIKHUPURA ROAD, LAHORE","MR. KAMRAN AFZAL NOORUDDIN - Director","042-37920221 111-172-841","info@raviautos.com","AUTO MANUFACTURERS","AUTO MOBILE PARTS/CYLINDER BODY,CRANK CASE"
"105462-C","MADINA AUTO INDUSTRIES (PVT.) LTD","OPP: KAMAL KANTA, MEHMOOD BOOTI, RING ROAD, LAHORE","MR. KHALID MEHMOOD - Chief Executive","042-36885561 042-36885562","r-mehmood9@hotmail.com","AUTO MANUFACTURERS","PARTS & ACCESSORIES FOR MOTOR VEHICLES"
"111560-C","SIDRA SHARIF BUS BODY MAKERS (PVT.) LTD","OPPOSITE NEW KHAN ADDA, BUND ROAD, LAHORE","MR. NAVEED ALI - Director","","","AUTO MANUFACTURERS","BODY BUS MAKER"
"111699-A","METAL CRAFTING ENGINEERING WORKS","QASIM PARK, STOP NO.25, JIA MUSA, SHAHDARA, LAHORE","MR. WASEEM SHAFIQUE - Proprietor","","mr.wasim@msn.com","AUTO MANUFACTURERS","MANUFACTURER OF PARTS AND ASSESSORIES OF MOTOR VEHICLE"
"111740-C","SWITZERN TECHNIK (PVT.) LTD","SUIT NO.44/A, FIRST FLOOR, KHAN MARKET, NISHTER ROAD, LAHORE","MR. ZAHID HABIB - Chief Executive","042-37231999","zahidhabibqadri@outlook.com","AUTO MANUFACTURERS","MANUFACTRING OF PARTS & ACCESSORIES FOR MOTOR VEHICLS"
"114540-C","S.M AUTO BODY PARTS","T NO.5, SHIBLI TOWN, SANDA MAIN BUND ROAD, LAHORE","HAFIZ UMER FAROOQ - Proprietor","","azanali9251@gmail.com","AUTO MANUFACTURERS","STEEL AUTO BODY PARTS"
"114557-C","PAK TRACTOR MANUFACTURING COMPANY (PVT) LTD","16-KM MULTAN ROAD, PAKKA MILE STOP, SHAHPUR KANJRAN LAHORE","MR. HAMZA AMJAD WAZIR - Chief Executive","042-37512567","hwazir@gmail.com","AUTO MANUFACTURERS","TRACTOR"
"114787-C","ASIM FOUNDRY & MANUFACTURING","HAJI IFTIKHAR PARK LYBIA COLONY, SALAMAT PURA BUS STOP G.T ROAD, DAROGHAWALA, LAHORE","MR. ASIM RIAZ - Proprietor","","asimfoundry@gmail.com","AUTO MANUFACTURERS","AGRICULTURE & AUTO PARTS"
"122084-C","MCI CABLES (PVT) LTD.","13-KM, MULTAN ROAD, LAHORE","MR. UMAIR KHALID - Director","042-37513655","info@mcipak.com","AUTO MANUFACTURERS","AUTO/SOLAR WIRE"
"122335-A","ITTEFAQ AUTOS & WIND SCREEN HOUSE","3A, BLOCK-C, PHASE-3, G.E.C.H.S, MAIN PECO ROAD, TOWNSHIP, LAHORE","MR. AHMED AFZAL - Proprietor","","ahmed-afzal750@hotmail.com","AUTO MANUFACTURERS","AUTOS & WIND SCREEN"
"131745-C","ISHAQ ENGINEERING","H # 469, ST # 1, BLOCK C, CHINA SCHEME, LAHORE","MR. MUHAMMAD ZUBAIR BUTT - Proprietor","","mzubairbutt400@gmail.com","AUTO MANUFACTURERS","MANUFACTURING OF AUTO PARTS"
"62084-C","SENIOR AUTOMOBILES (PVT) LTD","7-A,PUNJAB SMALL INDUSTRIAL ESTATE, KOT LAKHPAT LAHORE","MR. AKHTAR ALI - Chief Executive","042-35806502","seniorrozgar@gmail.com","AUTO MANUFACTURERS AUTOMOBILES","3 Wheel Cng 4 Strocke Auto Rickshaw"
"64018-C","ISLAM ENGINEERING (PVT) LTD","9-K.M. SHEIKHUPURA ROAD, LAHORE","MR. MUSIAB GHORI - Director","042-37339118 042-37339119","cfo@islameng.com","AUTO MANUFACTURERS","AUTO PARTS FOR MOTORCYCLES"
"77264-C","JAVED ENGINEERING WORKS","3-A MAIN ROAD, NEAR NEW JANAZGA, SALAMAT PURA, LAHORE","MR. MUHAMMAD JAVED - Proprietor","042-37106769","javedenggworks@gmail.com","AUTO MANUFACTURERS","AUTO PARTS, RIKSHA PARTS"
"79292-C","DIAMOND PRODUCTS (PVT) LTD.","23-KM- MULTAN ROAD, MOHLANWAL, LAHORE","MR. MUDASSIR IFTIKHAR - Director","042-37540336 042-37540337","mudassir.shafi@diamondfoam.com","AUTO MANUFACTURERS","VEHICLES, MOTORCYCLES, BY-CYCLES,"
"87851-C","UNITED MOTORS (PVT) LTD","75-E, MOULANA SHOUKAT ALI ROAD, JOHAR TOWN, LAHORE","MR. SANA ULLAH CHAUDHARY - Chief Executive","042-35201881 042-35201882","us_70@hotmail.com","AUTO MANUFACTURERS","MOTOR CARS & LIGHT COMMERCIAL VEHICLES"
"87868-C","INH MOTOR COMPANY (PVT) LTD","NEAR MAIN GATE EASTERN HOUSING SOCIETY, QUAID-E-AZAN INTERCHANGE, RING ROAD, LAHORE","SYED HAYDAR ALI KIRMANI - Chief Executive Officer","042-36633028 042-36633029","haydar@kirmani.com","AUTO MANUFACTURERS","AUTO PARTS"
"91541-C","GBN CORPORATION","BEHIND SIDDIQUIA MOSQUE, MOMINPURA ROAD, DAROGHAWALA, LAHORE","MR. ABDUS SALAM - Managing Partner","","gbncorporation@gmail.com","AUTO MANUFACTURERS","AUTO PARTS"
"16-C","CAPITAL INDUSTRIES (PVT) LTD","BARADARI ROAD, SHAHDARA, LAHORE","MR. IRFAN BASHIR ALVI - Chief Executive","042-37926007 042-37926002","alvi@shaffifoam.com.pk","AUTO PARTS","AUTO PARTS"
"7068-C","MALIK AUTO & AGRICULTURAL INDUSTRIES (PVT) LTD","8-K.M- RAIWIND ROAD, LAHORE","MR. WAQAR ALI MALIK - Director","042-35320901 111-007-444","guard57@yahoo.com","AUTO PARTS","Auto Filters"
"100299-C","AOT SOLUTIONS (PVT.) LTD","393-SHADMAN-1, JAIL ROAD, LAHORE","MR. ADNAN IQBAL - Director","042-38103333","adnan@aotsolutions.com","AUTO PARTS","AUTO PARTS"
"100473-A","S.N INDUSTRIES","PLOT NO.2, YASIN PARK, NEAR MANDI ESTATE MEHMOOD BOOTI INTERCHANGE, RAVI ROAD, LAHORE","MR. MUHAMMAD NASEER - Partner","","","AUTO PARTS","AUTO PARTS"
"100529-C","MARS TECHNOLOGIES","ABU BAKAR SIDDIQUE ROAD, AZEEM GARDEN, SAGGIYAN BY PASS, SHAHDARA, LAHORE","CH. MUHAMMAD AWAIS KHAN - Partner","042-37163562","marstechnologies@hotmail.com","AUTO PARTS","AUTO PARTS"
"100820-C","ZEE AUTO INDUSTRIES (PVT.) LTD","E-9/2, WORKSHOP STOP, WALTON ROAD, CANTT, LAHORE","MR. MUHAMMAD USMAN YOUSAF - Chief Executive","042-35801111","usman.yousaf555@yahoo.com","AUTO PARTS","AUTO PARTS"
"101295-C","YOUSAF SONS","NEAR SHAMA STEEL MILL, MEHMOOD BOOTI,AMIN PARK SULTAN MEHMOOD ROAD SHALIMAR TOWN, LAHORE","MR. AMIR ALI - Partner","042-36521533","yousafsons0797@gmail.com","AUTO PARTS","AUTOPARTS"
"102161-C","AUTOMATION BRAIN (PVT) LTD","29D/109M, 2ND FLOOR, QUAID-E-AZAM INDUSTRIAL AREA, KOT LAKHPAT, LAHORE","MR. ZAHOOR AHMAD KAYANI - Chief Executive","042-35213476","zahoor@automation-brain.com","AUTO PARTS","AUTO PARTS"
"102916-C","RISEN PRO INDUSTRY","SOHARWARDI ROAD, STREET # 14, SHALIMAR TOWN, LAHORE","MR. MAAZ KHAN - Managing Partner","","risenproindustry@gmail.com","AUTO PARTS","MOTORCYLES ENGINE PARTS"
"103215-C","BEST AUTO PARTS","18- MCLEOD ROAD, KHAN MARKET, RAVI TOWN, LAHORE","MR. ZEESHAN SALEEM - Proprietor","042-36291534","shaanoobaba@gmail.com","AUTO PARTS","MOTORCYCLE SPARE PARTS"
"103248-C","A-ONE AUTO PARTS (PVT.) LTD","MOMINPURA ROAD, NEAR ZAIN KANTA HANDO CHOWK, DAROGHAWALA, LAHORE","MR. MUHAMMAD RASHID LATIF - Chief Executive","042-37502926","indo@qac.com.pk","AUTO PARTS","NUT BOLTS"
"103443-C","MUKHTAR ENGINEERING (PVT.) LTD","70/1-B, NEW MUSLIM TOWN, LAHORE","MR. NAVEED MUKHTAR RANA - Chief Executive","042-35947433 042-35947434","info@nmc.com.pk","AUTO PARTS","PARTS & ACCESSORIES FOR MOTOR VEHICLES"
