Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
10298-C,PAKISTAN FRUIT JUICE CO. (PVT) LTD,44/45-N INDUSTRIAL AREA GULBERG-II LAHORE,MR. IKRAM ELAHI - Director,042-35711874 042-35711875,info@pfi.com.pk,FRUIT JUICES AND DRINKS,"Ice Cream Juices,Beverages"
114234-A,ALMA`A PURE,"SHOP # 19 COMMERCIAL AREA, SECTOR A1, TOWNSHIP, LAHORE",MR. WAQAS SUBHANI - Proprietor,,almaawater@gmail.com,FRUIT JUICES AND DRINKS,JUICES & MINERAL WATER
21130-C,CITROPAK LTD,"38-A, MAIN GULBERG, LAHORE",SYED KAMRAN HAIDER - Chief Executive,042-35762609 042-35762521,citropak@yahoo.com,FRUIT JUICES AND DRINKS,FRUIT JUICES AND DRINKS
42121-C,JUICE PACK INDUSTRIES (PVT) LTD,"273-B, REVENUE HOUSING SOCIETY, NEAR UMT UNIVERSITY, LAHORE",MR. NUMAN FARID - Chief Executive,042-35446226,juicepackindustries@gmail.com,FRUIT JUICES AND DRINKS,ASEPTIC TETRAPACK FILLING & PROCESSING OF FRUIT DRINKS
71102-A,HAFIZ FOODS,"682 L BLOCK, PHASE-5, D.H.A. LAHORE",MR. HABIB ULLAH - Partner,042-35721622,info@hgcpk.com,FRUIT JUICES AND DRINKS,"SOFT DRINK, HONEY COLA"
91766-C,MEZAN BEVERAGES (PVT.) LTD,"817-RAVI BLOCK, MULTAN ROAD, ALLAMA IQBAL TOWN, LAHORE",MR. NAVEED RIAZ - Director,042-37807611,naveed.riaz@hotmail.com,FRUIT JUICES AND DRINKS,"COLA NEXT, RANGO, FIZZUP, MOUNTDARE, LYCHEE, STORM, QANDHARI ANAAR"
94776-C,QARSHI BRANDS (PVT.) LTD.,"JAM-E-SHIRIN BOULEVARD, 15-G, GULBERG-III, LAHORE",MR. IQBAL AHMED QARSHI - Chief Executive,042-35882696,ceo@qarshi.com,FRUIT JUICES AND DRINKS,HERBAL MEDICINAL / FOOD/ BEVERAGES
1229-C,BENZ INDUSTRIES LIMITED,9-KM MULTAN ROAD LAHORE,MR. MUHAMMAD RAZZAQ MALIK - Chief Executive,042-35424356 042-35430777,benzindltd@yahoo.com,FRUIT JUICES AND DRINKS,"Soft Drinks, Aseptic Packs, Fruit Juices & Drinks"
119675-A,AL- KARAM TRADERS,"HOUSE NO.27, STREET NO.6, MAIN BAZAR KHARAK, MULTAN ROAD, LAHORE",MR. MUHAMMAD IMRAN - Proprietor,,meharimran787@yahoo.com,AERATED DRINKS,ALL KIND SOFT DRINKS
11118-C,NESTLE PAKISTAN LIMITED,"PACKAGES MALL, GATE NO 2 SHAHRAH-E-ROOMI, P.O. AMER SIDHU, WALTON ROAD LAHORE",MR. WAQAR AHMAD - Head of Corporate Affairs,042-35789303 042-35789304 111-637-853,sheikh.waqarahmad@pk.nestle.com,MINERAL WATER,"Mineral Water Dairy Products ,Juices"
