Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
,LALA TRADERS IMPORTERS & EXPORTERS,"56-H, GULBERG-III, LAHORE",MR. AMIR SHEIKH - Proprietor,042-37324970,lalaimporters@gmail.com,BOOKS,BOOKS
,EDUGATE PUBLICATIONS,"INDUSTRIAL AREA, ZAHOOR ROAD, MANZOOR PARK, OPP. OLD COCA COLA WAREHOUSE, SAGGIAN BYPASS, LAHORE",MR. NAEEM AHMAD - Proprietor,"042-37146766, 042-37146767",qnap@hotmail.com,BOOKS,"BOOKS, NOTE BOOKS"
,PERFESSIONAL PRINTERS,"MANZOOR PARK, OPP. YA RASOOL ALLAH MASJID, SAGGIAN ROAD, LAHORE",MR. MUHAMMAD IMRAN HANIF - Proprietor,"042-37150199, 042-34150199",perfessionalprinters@gmail.com,BOOKS,BOOKS PRINTING MACHINE
,BOOK WORLD,"OPPOSITE CIVIL DEFFENCE OFFICE, OUT FAL ROAD, LAHORE",MIAN MUHAMMAD IMRAN - Proprietor,042-37224604,bkworld26@gmail.com,BOOKS,BOOKS
,ATLAS BOOK BANK,"39-40-F, MIRAJ PLAZA, FIRST FLOOR, MAIN MARKET, GULBERG-II, LAHORE",MR. BASHIR AHMAD - Proprietor,"042-35873333, 042-35873334",atlasbooksbank@yahoo.com,BOOKS,BOOKS
,CH. GHULAM RASUL & SONS,"AL-KAREEM MARKET, HAQ STREET, URDU BAZAR, LAHORE",MR. GHULAM YAZDANI - Managing Partner,"042-37233909, 042-37243055",mails@cgras.com,BOOKS,BOOKS
,JAMSHED TRADERS,"ZEE AVENUE, 7-A, COOPER ROAD, LAHORE",MR. JAMSHED AHMAD - Proprietor,-,-,BOOKS,SCHOOL BOOKS
,ISLAMIC PUBLICATIONS (PVT) LTD,"MULTAN ROAD, MANSOORA, LAHORE",MR. TARIQ MEHMOOD - Chief Executive,"042-35252501, 042-35252502",islamicpak@gmail.com,BOOKS,BOOKS
,SCHOLARY PUBLICATIONS,"18-BASEMENT SANAM ARCADE, MOZANG CHUNGI, 37- FEROZPUR ROAD, LAHORE",MR. MUHAMMAD ALI CHEEMA - Proprietor,042-36374808,alicheema@pakbook.com,BOOKS,BOOKS/JOURNALS
,PHONICS CLUB (PVT) LTD,"179, BLOCK-A, UET SOCIETY, SATTO KATLA, LAHORE",MR. ABDUL REHMAN - Chief Executive,-,fatimatuzzahra@gmail.com,BOOKS,SALE BOOKS
,QURAN HOUSE,"GHAZNI STREET, URDU BAZAR, LAHORE",HAFIZ MUHAMMAD AZAM - Proprietor,042-37361485,786quraanhouse@gmail.com,BOOKS,HOLLY QURAN
