"Mship No","Company Name","Address","Name","Ph (Off)","Email","Business Sector(s)","Business Speciality"
"43150-C","UNIVERSAL METALS (PVT) LTD","NAYAB CHAMBER, 13- NISHTER ROAD LAHORE","CH. KASHIF JALIL - Chief Executive","042-35778215","","RAW MATERIAL","COPPER WIRE, ROD, COPPER STRIP,"
"41643-C","FAST CABLES LTD.","192-Y, COMMERCIAL AREA, PHASE III, DHA, LAHORE","MR. KAMAL MAHMOOD AMJAD MIAN - Director","042-35742396 042-35742393 111-000-343","kamalmian@fast-cables.com","ELECTRIC CABLES","ELECTRIC CABLES"
"101331-A","NOOR INDUSTRY","HOUSE # 8, MEHMOOD STREET CHOWK ARAIAN BUILDING, MOHNI ROAD, LAHORE","MR. MUHAMMAD ZAHID - Proprietor","042-37312107","ashrafcableindustry@gmail.com","ELECTRIC CABLES","CABLES"
"51543-C","EAGLE CABLES (PVT) LTD.","HOUSE NO.45, RACHNA BLOCK, ALLAMA IQBAL TOWN, LAHORE","MR. MUHAMMAD BILAL TAHIR - Director","042-37150437","info@eaglecables.net","ELECTRIC CABLES","CABLES & CONDUCTORS"
"59300-A","MUHAMMAD ASLAM","72-ALAM STREET, MALIK PARK, BILAL GUNJ, LAHORE","MR. MUHAMMAD ASLAM - Proprietor","042-37227740","mshaban2010@hotmail.com","ELECTRIC CABLES","ELECTRIC WIRE"
"60125-C","ADNAN CABLES INDUSTRIES","H # 15/A,MAKI ST # 4, MOHAMMAD PURA,JATTAN WALI GALI, BAGHBANPURA, LAHORE","MR. MEHMOOD ALI - Proprietor","042-36824389","tmcables@yahoo.com","ELECTRIC CABLES","ELECTRIC CABLES, COOPER WIRE"
"60713-A","BAT-HA TRADING COMPANY","IST FLOOR MAKKA ELECTRIC MARKET 24-B SHAHALAM MARKET LAHORE","MR. IRFAN AHMED - Proprietor","042-37653325","batha.trading.co@gmail.com","ELECTRIC CABLES","ELECTRIC CABLES"
"69459-A","TAWAKAL ELECTRIC STORE","47- MADINA MARKET, SHAHALAM GATE, LAHORE","MR. MUHAMMAD SAEED UL ZAMAN - Proprietor","042-37668881 042-37668882","burqcables@yahoo.com","ELECTRIC CABLES","ELECTRIC CABLES AND ACCESSORIES"
"73821-A","MAHMOOD ELECTRIC STORE","SHOP NO.1, JAMAL ELECTRIC MARKET, SHAHALAM GATE, LAHORE","MIAN MUHAMMAD MAHMOOD - Proprietor","042-37656056","","ELECTRIC CABLES","ELECTRIC WIRE"
"78908-C","G.M. CABLES & PIPES (PVT) LTD","22-K.M- FEROZEPUR ROAD, ROHI NALA, LAHORE","MR. MUHAMMAD SHAKIL - Chief Executive","042-35276143 042-35276145","info@gmcables.com","ELECTRIC CABLES","ELECTRIC WIRE & CABLES, U-PVC PIPES & FITTINGS"
"81507-A","HI-STANDARD CABLES","40-D, COMMERCIAL, RAIWIND ROAD, NAWAB TOWN, LAHORE","MR. MUHAMMAD IRFAN MUNIR - Proprietor","042-32217093","irfankisana@yahoo.com","ELECTRIC CABLES","ELECTRIC CABLES"
"81514-C","COPPERGAT CABLES (PVT) LTD.","109-DIVINE MEGA-2, AIRPORT ROAD, LAHORE","MIAN SAFDAR HUSSAIN - Chief Executive","042-35700461 042-35700462 111-222-425","ceo@coppergat.com","ELECTRIC CABLES","ELECTRIC CABLES"
"84812-A","MIAN CABLES","DOCTOR HAMEED ELECTRIC MARKET, INSIDE SHAHALAM, LAHORE","MR. MAQBOOL SIDDIQUE - Proprietor","042-37633687","miancables@hotmail.com","ELECTRIC CABLES","CABELS AND ELECTRIC SWICH BOARDS"
"85158-C","SWAT INDUSTRY","3.6-K.M KALA KHATAI ROAD, SHAHDARA, LAHORE","MR. MUHAMMAD ISMAIL - Proprietor","042-37918813","","ELECTRIC CABLES","ELECTRIC WIRE"
"86789-A","WISI CABLE","957-E1, CAMPUS VIEW, CLY JOHAR TOWN, LAHORE","MR. NISAR AHMAD - Proprietor","042-35221112","nisarcable@yahoo.com","ELECTRIC CABLES","CABLE"
"87373-A","G.A. AUTO INDUSTRIES","HOUSE # 126A/2, STREET # 3, CHAMMAN PARK, FATEH GARH, LAHORE","CH. AHMAD RAZA - Proprietor","","","ELECTRIC CABLES","AUTO CONTROL CABLES"
"95695-C","QZ CABLES (SMC-PVT.) LTD","HOUSE NO.4,STREET NO.1, MAIN BAZAR, LAL PUL MUHAMMAD PURA, LAHORE","MR. QAMAR UL ZAMAN - Chief Executive","042-37168456 042-37168456","qzcables@gmai.com","ELECTRIC CABLES","CABLES"
"131763-C","NISHAN CABLE INDUSTRIES (PVT) LTD","61/A, IBRAHIM COLONY, NEAR JAMIA MASJID GHOUSIA INAYAT, MAIN RING ROAD, HARBANSPURA, AZIZ BHATTI TOWN, LAHORE","MR. MUHAMMAD SAKHI - Chief Executive","","info@nishancables.pk","ELECTRIC CABLES","CABLE INDUSTRY"
"39974-A","GOJJAR ELECTRICAL COMPANY","36-MADINA ELECTRIC MARKET, SHAHALAM GATE LAHORE","MALIK MUHAMMAD KHALID - Proprietor","042-37667655 042-37662036","gojjars@gmail.com","ELECTRIC CABLES","LIGHTING FIXTURE"
"104719-C","BRISTOL CRAFT WIRE (PVT.) LTD","49/7/3A, STREET NO.1, TAJ PARK, SHALIMAR TOWN, LAHORE","MR. SHAKEEL MAJEED - Director","","info@bristolcraftwire.com","ELECTRIC CABLES","CABLES & ELECTRICAL GOODS"
"107927-C","UT CABLES","OFFICE # 21, 1ST FLOOR, HAFEEZ CENTER, GULBERG-III, LAHORE","MR. FAHAD MEHMOOD - Proprietor","042-35712273","fahad@ultratech.com","ELECTRIC CABLES","CABLES"
"108514-A","SIC INDUSTRIAL CABLES","PUNJAB MUKHTAR MARKET, 6- 8 NISHTAR BRANDRETH ROAD, LAHORE","MR. SAJID MUNIR - Proprietor","042-37666162","sajid.munir97@gmail.com","ELECTRIC CABLES","ELECTRIC CABLES"
"113709-C","NAFEES CABLES (PVT.) LTD.","5-S, 27 NISHTER TOWN, G.T ROAD INDUSTRIAL AREA, DAROGHAWALA, LAHORE","MR. MUBASHAR SADIQ - Director","042-36541902 042-36551902","sales@nafeescables.com","ELECTRIC CABLES","POWER CABLES, FLEXIBLE, SHIELDED CABLES, ETC"
"118302-A","ALLIED CABLES","Z-5 2ND FLOOR, COMMERCIAL AREA, PHASE-III, DHA, LAHORE","MR. DANISH AFTAB - Partner","042-35742715 042-35742717","danish@alliedgroup.com.pk","ELECTRIC CABLES","ELECTRICAL WIRES, COPPER ENMELLED WIRE"
"118655-A","DELTA CABLES","PLOT # 32/1, STREET 11, IJAZ STREE NEAR SHAHZAN FACTORY, BAND ROAD, MUSHTAQ TOWN, LAHORE","MR. ALI MURTAZA DAR - Proprietor","","ali.dar.88@gmail.com","ELECTRIC CABLES","ELECTRIC WIRES AND CABLES"
"123101-C","SUPER BULLION WIRE (SMC-PVT) LTD","21, CHOWK ARA HASSAN SHAH, BILAL GUNJ, LAHORE","MR. MUHAMMAD PERVAIZ - Chief Executive","","superbullionwire@gmail.com","ELECTRIC CABLES","BULLION WIRE"
"127652-C","UNICORE CABLE INDUSTRIES","3-KM DEFENCE ROAD, OFF RAIWIND ROAD, AWT PHASE-1, LAHORE","MR. SAMI UR REHMAN SARWAR - Partner","","info@uni-core.pk","ELECTRIC CABLES","GWC AND POWER CABLES"
