Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-538,ABN FOOD (PVT) LTD.,13-KM MULTAN ROAD,,5411630,,CONFECTIONERY,CONFECTIONERY
NEW-539,CORAL ENTERPRISES,(PVT) LTD. 3.75-KM DEFENCE ROAD MOHLANWAL,,7541801-2,,CONFECTIONERY,CONFECTIONERY
NEW-540,FAMOUS FOOD INDUSTRIES,348-S INDUSTRIAL ESTATE KOT LAKHPAT,,,,CONFECTIONERY,CONFECTIONERY
NEW-541,K.M FOOD INDS. (PVT) LTD.,8-KM MULTAN ROAD,,7510710,,CONFECTIONERY,CONFECTIONERY
NEW-542,MODERN FOOD 349/S INDUSTRIAL AREA KOT LAKHPAT TOWN SHIP,,,5118945,,CONFECTIONERY,CONFECTIONERY
NEW-543,NAGINA FOOD INDUSTRIES,"PLOT NO.153, INDUSTRIAL AREA KOT LAKHPAT",,5110304-5,,CONFECTIONERY,CONFECTIONERY
NEW-544,NEW ENGLISH BISCUITS MULTAN ROAD,,,,,CONFECTIONERY,CONFECTIONERY
NEW-545,REGAL ENTERPRISES,(PVT) LTD. 7 KM MULTAN ROAD,,"7841555, 7842555",,CONFECTIONERY,CONFECTIONERY
NEW-546,ZEESHAN FOOD PRODUCTS 95-KATAR BUND ROAD THOKAR NIAZ BAIG,,,5416853,,CONFECTIONERY,CONFECTIONERY
,MEEMU`S INTERNATIONAL (SMC-PVT) LTD.,"332, Z BLOCK, DHA PHASE 3, LAHORE",MR. ABDULLAH SOHAIL - Chief Executive,,abdullahmughal79@gmail.com,CONFECTIONERY,CAKE BAKERY AND DESSERTS
,EXCELLENT MARKETING PAKISTAN,"320-D, FAISAL TOWN, LAHORE",MR. ARSLAN AHMED FAIZ - Proprietor,,aarslan449@gmail.com,CONFECTIONERY,SUGAR CONFECTIONERY
