Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-552,NFU INDUSTRIES,(PVT) LTD. 20 KM RAIWIND ROAD,,7587844,,COTTON TAPE,COTTON TAPE
,COTTONBURG (PVT) LTD,"OFFICE # 13, BLOCK N, GULBERG-II, LAHORE",MIRZA ASIF BAIG - Chief Executive,042-35754349,aleem.faysal@gmail.com,COTTON,COTTON
,HUNZA INTERNATIONAL,"38-L, (EX.AIR AVENUE) COMMERCIAL AREA, PHASE-VIII, DHA, LAHORE",MR. MUHAMMAD ADNAN - Partner,042-34550624,hunzainternational21@gmail.com,COTTON,COTTON
,QUANTUM FORGE (PVT) LTD,"OFFICE # 29-MZ-1 MZ1 FLOOR, AL HAFEEZ SHOPPING MALL, 82-D/1 MAIN BOULEVARD, GULBERG III, LAHORE",MR. MUHAMMAD UZAIR SHAHID - Director,,info@quantumforgepvt.com,COTTON,COTTON TOWELS
,EJAZ SPINNING MILLS LIMITED,"34-E/I - GULBERG-III, LAHORE",MR. GOHAR EJAZ - Chief Executive,042-35758576 111-699-699,info@ejazgroup.com,COTTON,COTTON
,PAK SHADMAN EXPORTS,"616 M BLOCK, LDA AVENUE 1, LAHORE",MR. MUHAMMAD ASLAM - Partner,,khurram@kkatco.com,COTTON,COTTON MOPS & ACCESSORIES
,AZLAN YARN CHANNELS,"69-P-1, VALANCIA TOWN, LAHORE",MR. MUHAMMAD AFZAL MAHMOOD - Managing Partner,042-35134710 042-35955092,gondal_green@hotmail.com,COTTON,YARN/COTTON/COTTON WASTE
,ALI HAMZA TRADERS,"12 AL-SADIQ BLOCK, B.O.R. JOHAR TOWN, LAHORE",MR. ABDUL WAHEED - Proprietor,,abdulwaheed641@gmail.com,COTTON,"COTTON- YARN, COTTON WASTE"
,WAQAS RAFIQUE INTERNATIONAL,49-KM MULTAN ROAD BHAI PHERU LAHORE,MR. MUHAMMAD AMJAD - Proprietor,042-35174833,,COTTON,"COTTON, YARN"
,AZEEM TEXTILE ENTERPRISES,"253-M BLOCK, M.A. JOHAR TOWN, LAHORE",MR. M.A. AZEEM CHAUDHRY - Managing Partner,042-35241167 042-35300167,azeem_textile@yahoo.com,COTTON,COTTON WASTE AND YARN
,SILVER FIBER TRADING CORPORATION,"225-B, PUNJAB GOVT. HOUSING FOUNDATION MOHALANWAL, LAHORE",MISS AMBREEN MAZHAR - Managing Partner,042-36138380,riyaanhassan12@gmail.com,COTTON,COTTON WASTE
,AAYAN COTTON INDUSTRIES,"OFFICE NO.7, 2ND FLOOR, SAMAN ARCADE 1 J, GULBERG-2, LAHORE",MR. SHERAZ RAZA - Proprietor,,sheraz@aayancotton.com,COTTON,ABSORBENT COTTON ROLL
,COTCOT INTERNATIONAL (PVT) LTD.,"354-N, PHASE 1, D.H.A, CANTT, LAHORE",MR. HARIS BIN NASEER - Chief Executive,042-35746354 042-35740714,cotcot@cyber.net.pk,COTTON,RAW COTTON
,MEDI TEX INDUSTRIES,"80-XX BLOCK, STREET NO.12, PHASE-III, DHA, LAHORE",RANA MUHAMMAD TANVEER - Managing Partner,042-35693612,info@meditexind.com,COTTON,"ABSORBENT COTTON,GAUZE, ZIG ZAG COTTON, COTTON BALLS"
,OASIS TEXTILE,"6.5-K.M- RAIWIND ROAD, LAHORE",MR. MUHAMMAD SHAHBAZ RAFIQUE - Proprietor,042-37723411,rafique.shahbaz@oasis-bh.com,COTTON,COTTON
,ARMAN COTTON (PVT) LTD.,"130-Y, ST NO.19, PHASE NO.3, D.H.A, LAHORE",MR. NAJEEB MALIK - Chief Executive,042-35752620 042-35752622,,COTTON,COTTON
,HAMZA COTTON,"32-K, A-II, GULBERG, LAHORE",MRS. ANAB SALMAN - Proprietor,042-35754986 042-35754987,accounts@hamzacotton.com,COTTON,COOTON
,ALI WAHAB COTTON TRADERS,"22-A, COMMERCIAL AREA, BLOCK-A, VALENCIA TOWN, LAHORE",MR. ALI ASHIR BIN JAVEED - Partner,,awc786lhr@gmail.com,COTTON,COTTON & YARN
,TEHRIM TRADERS,"OFFICE # 72, P-1 FLOOR, JEFF HEIGHTS, GULBERG III, LAHORE",MR. ABID ALI - Proprietor,042-35774082,tehvimtraders@hotmail.com,COTTON,RAW COTTON
