"Mship No","Company Name","Address","Name","Ph (Off)","Email","Business Sector(s)","Business Speciality"
"107377-A","RIZWAN SOAP FACTORY","STREET # 3, MOHALLAH EID GHA PATTOKI DIST, KASUR","MR. MUHAMMAD RIZWAN ANWER - Proprietor","","rizwan94pk@gmail.com","SOAPS","SOAPS"
"96979-C","PEARL SOAP & CONSUMER PRODUCTS","OFFICE NO.2, 2ND FLOOR, MERAJ GULSHAN CENTER, CIRCULAR ROAD, KISAN STREET, LAHORE","MR. ARBAB GHANI - Managing Partner","","pscp.pakistan@gmail.com","SOAPS","SOAPS"
"96457-C","ANMOL HEALTH CARE INDUSTRIES","LINK KATAR, BUND ROAD JINNAH INDUSTRIAL AREA, THOKAR NIAZ BAIG, LAHORE","MR. UZAIR SAEED - Proprietor","","","SOAPS","SKIN CARE"
"88114-C","SUNWAY TRADING CO.","201-C, ALI ARCADE, P.I.A. HOUSING SOCIETY, LAHORE","MR. MOHSIN ALI AFZAAL - Partner","042-35212906","sunwaytrading@live.com","SOAPS","SOAPS AND DETERGENTS"
"87424-C","PASBAN SOAP INDUSTRIES (PVT) LTD","8-B, HABIB ULLAH ROAD, OFF DAVIS ROAD, LAHORE","MR. EJAZ JILANI MALIK - Chief Executive","","ceo.pasbansoap@gmail.com","SOAPS","SOAP"
"78549-C","TATA SOAP FACTORY","24, REHMAT ROAD, SAMANABAD, LAHORE","MR. MUHAMMAD ALI IQBAL - Proprietor","042-37566947 042-37567058","tatasoa@yahoo.com","SOAPS","SOAPS"
"55919-C","TREET HOLDINGS LIMITED","72-B, INDUSTRIAL AREA, KOT LAKHPAT, LAHORE","SYED SHEHARYAR ALI - Chief Executive","042-35830881 042-35122296","s.ali@treetgroup.com","SOAPS","TOILET SOAPS"
"46475-C","AL-HILAL INDUSTRIES (PRIVATE) LIMITED","103-HABITAT, JAIL ROAD SHADMAN-II, LAHORE","CH. MAJID FAKHRI - Director","111-737-111","info@al-hilal.com.pk","SOAPS","Soaps"
"43229-C","DERMA TECHNO PAKISTAN","18-C, JINNAH PARK, SULTAN PURA ROAD, LAHORE","MR. TAHIR IDRIS - Proprietor","042-36812614","info@dermatechnopakistan.com","SOAPS","MEDICATED SOAPS, ALLIED PRODUCTS"
"33755-C","ASHRAF SOAP INDUSTRIES (PVT) LTD.","52/2 T KHUDA BAKSH HOUSING SCHEME, NEW AIRPORT ROAD, CANTT- LAHORE","MR. YASIR HARIS - Director","042-37396828","asil345@hotmail.com","SOAPS DETERGENTS","SOAPS AND ALLIED,"
"127588-A","ISLAM SOAP FACTORY","PLOT 563, STREET NO.1, GANDA NALA, MUSLIM ROAD, BUND ROAD, SHERAKOT, LAHORE","MR. MUHAMMAD TAYYAB KHAN - Proprietor","042-37412898","tayyab-khan1970@hotmail.com","SOAPS","SOAP"
"123699-C","KING ENTERPRISES","PLOT NO.4, HARBANSPURA, ROAD, JALAL PARK, LAHORE","MR. ATIF FASIH ABID - Managing Partner","","kingent786@yahoo.com","SOAPS","MANUFACTRER OF SOAP AND CLEANING POLISH"
"120925-A","NAEEM & BROTHERS","AKHRI MINT STOP, BEHIND MILLAP GARDEN MARRIAGE HALL, NADIA GHEE MILL, SHALAMAR BAGH, LAHORE","MR. NAEEM AHMAD - Proprietor","","naeembrother7557@gmail.com","SOAPS","SOAP"
"1811-C","SUFI SOAP & CHEMICAL INDUSTRIES (PVT) LTD","1-B GARDEN BLOCK GARDEN TOWN LAHORE","MR. TANVIR AHMAD SUFI - Director","042-35886640 111-100-786","info@sufigroup.biz","SOAPS","LAUNDRY SOAP,TOILET SOAP, DETERGENT POWER FOR DISHWASH"
"108906-C","DADA SOAP AND DETERGENTS (PVT.) LTD","MOOZA CHAK 65, NEAR GRID STATION, KOT RADHA KISHAN, MANGA RAIWIND ROAD DISTT: KASUR","MR. FAHAD HAMID - Director","","","DETERGENTS","DETERGENTS"
"33755-C","ASHRAF SOAP INDUSTRIES (PVT) LTD.","52/2 T KHUDA BAKSH HOUSING SCHEME, NEW AIRPORT ROAD, CANTT- LAHORE","MR. YASIR HARIS - Director","042-37396828","asil345@hotmail.com","SOAPS DETERGENTS","DETERGENTS"
"39413-C","HADAYAT SOAP & CHEMICAL INDUSTRIES (PVT) LTD","1-B GARDEN BLOCK GARDEN TOWN LAHORE","MR. TANVIR AHMAD SUFI - Director","042-35086682 111-100-786","info@sufigroup.biz","DETERGENTS","DETERGENTS for DISHWASH PURPOSES"
"48141-A","UNITED DETERGENTS","F-15, BILAL CENTRE, 9- NICHOLSON ROAD, LAHORE","MR. TAHIR SOHAIL - Managing Partner","042-36284214 042-36284215","info@uniteddetergents.com","DETERGENTS","DETERGENTS POWDER"
