"Mship No","Company Name","Address","Name","Ph (Off)","Email","Business Sector(s)","Business Speciality"
"7805-C","UNITED FOAM INDUSTRIES (PVT) LTD","71-A RAVI ROAD LAHORE","MR. KHALID RASHID SHAIKH - Chairman","042-37511241 111-100-555","unifoam@brain.net.pk","FOAM PRODUCTS","FOAM PRODUCTS"
"102319-C","MALEK FOAM INDUSTRY (PVT) LTD","43-D, PHASE 6, DHA, LAHORE","MR. FAROOQ IQBAL MALIK - Chief Executive","","saarimmalek@gmail.com","FOAM PRODUCTS","FOAM"
"119522-C","MINI STAR FOAM","KHAWAIT 285, KHATOONI # 1369, KHASRA 2893, MO, LAHORE","MR. AMMAR ABID - Proprietor","","ammarabid817@gmail.com","FOAM PRODUCTS","FOAM PRODUCTS"
"127826-A","USAF TRADERS","NEAR DR BASIT CLINIC, 31 AYOUB ROAD, NEW SHAD BAGH, LAHORE","MR. MUHAMMAD YOUSAF SALEEM - Proprietor","","usaftraders1@gmail.com","FOAM PRODUCTS","FOAM INDUSTRIES"
"128928-C","ALKHAIR FOAM (PVT) LTD","HOUSE NO.43-T, GURUMANGAT ROAD, GULBERG II, LAHORE","MR. MUHAMMAD TARIQ AMIN - Director","042-35246811","info@alkhairfoam.com","FOAM PRODUCTS","FOAM MATTRESS"
"27753-C","CANNON FOAM INDUSTRIES (PVT) LTD","43-TARIQ BLOCK, NEW GARDEN TOWN, LAHORE","SH. MUHAMMAD IBRAHIM - Chief Executive","042-35888901 042-35888904 111-774-629","ibrahimbusinesscg@gmail.com","FOAM PRODUCTS","FOAM MATTRESS & CUSHIONS"
"32535-C","AL-KHAIR GADOON LTD","AL-KHAIR HOUSE, 43-T, GULBERG-II, LAHORE","MR. MUHAMMAD SAEED SHAIKH - Director","042-35753653 111-111-043","info@alkhairgadoon.com","FOAM PRODUCTS","FOAM"
"46619-C","DIAMOND INDUSTRIES LTD","23-K.M. MULTAN ROAD MOHLANWAL, LAHORE","MR. SHARIQ IFTIKHAR - Chief Executive","111-111-666","INFO@DIAMONDFOAM.COM","FOAM PRODUCTS","FOAM"
"72102-C","AL-KHAIR GLOBAL (PVT) LTD","AL-KHAIR HOUSE, 43-T, GULBERG-II, LAHORE","MR. MUHAMMAD AFZAL SHEIKH - Director","042-35716580 111-111-043","info@alkhairglobal.com","FOAM PRODUCTS","FOAM PRODUCTS"
"74117-C","DIAMOND STYROLON INDUSTRIES (PVT.) LTD.","PLOT # 412, SUNDAR INDUSTRIAL ESTATE, RAIWIND SUNDAR, LAHORE","MR. MUSTAFA LUQMAN - Chief Executive","111-111-168","md@mpil.com.pk","FOAM PRODUCTS","FOAM"
"74525-C","RESTWELL FOAM INDUSTRIES (PVT) LTD.","16-K.M- MULTAN ROAD, LAHORE","MR. FARHAN ALI SYED - Chief Executive","042-37511241 042-37511242","unifoam@brain.net.pk","FOAM PRODUCTS","FOAM"
"74526-C","UNIFLEX (PVT) LTD.","16-K.M- MULTAN ROAD, LAHORE","MR. MUBASHAR IMRAN - Chief Executive","042-37510789 111-100-555","uniflex.2010@gmail.com","FOAM PRODUCTS","FOAM"
