Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
,LAJPAL BROTHERS & COMPANY,"SHOP NO.51, SABZI MANDI, RAVI LINK ROAD, BADAMI BAGH, LAHORE",SYED ASAD ABBAS - Proprietor,,asadabbasrizvi1214@gmail.com,FRUITS AND VEGETABLES,VEGETABLES
,GOLDVIZ TRADE SOLUTIONS (PVT.) LTD,"2A, BUILDING 75, SECTOR B, ASKARI XI, LAHORE",MR. FARRUKH RASHEED - Director,,frrasheed98@gmail.com,FRUITS AND VEGETABLES,FRUIT & VEGETABLES
,AL-BABA ENTERPRISES,"216-E1, WAPDA TOWN, LAHORE",SYED MUHAMMAD ARIF HUSSAIN - Managing Partner,042-35968129,albabaenterprises@yahoo.com,FRUITS AND VEGETABLES,FRUIT & VEGETABLES
,ZIYYA ENTERPRISES,"HOUSE # 10, JINNAH STREET BOSTAN COLONY, OPPOSITE PEL FACTORY, MAIN FEROZEPUR ROAD, LAHORE",MR. MUHAMMAD FARHAN HAFIZ - Proprietor,,ZIYYAENTERPRISES@GMAIL.COM,FRUITS AND VEGETABLES,FRUIT & VEGETABLES
,HB GROUP ENTERPRISES,"PLOT N0.40, TRUCK STAND, RAVI LINK ROAD, LAHORE",MR. GHULAM MURTAZA - Proprietor,,hbgroup101@gmail.com,FRUITS AND VEGETABLES,FRUIT & VEGETABLES
,WAQAS EJAZ ENTERPRISES,"OFFICE NO.8, STREET NO.5, SCHEME MORE, MULTAN ROAD, LAHORE",MR. WAQAS EJAZ - Proprietor,,waqasejazenterprises@gmail.com,FRUITS AND VEGETABLES,FRUIT & VEGETABLES
,MUSTAFA BROTHERS,"PLOT # 19, NEW VEGETABLE FRUIT MARKET, RAVI LINK ROAD, BADAMI BAGH, LAHORE",HAFIZ NOOR E MUSTAFA - Proprietor,,noor50083@yahoo.com,FRUITS AND VEGETABLES,FRUITS AND VEGETABLES
,HUKAM ENTERPRISES,"SHOP NO. G-5, SUNRISE MALL, SUNRISE ROAD COMMERCIAL ZONE, BLOCK P-1 VALENCIA TOWN, LAHORE",RANA HASSAN NAWAZ KHAN - Proprietor,,hukamenterprises666@gmail.com,FRUITS AND VEGETABLES,"FRUIT, VEGITABLE ETC."
,SSR ENTERPRISES,"OFFICE # 17, OLD ANARKALI, LAKE ROAD, LAHORE",MR. SAAD RIAZ - Managing Partner,,saadriaz7327@gmail.com,FRUITS AND VEGETABLES,FRUITS & VEGETABLES
,ELIXIR,"UNIT # 5, JAMIA SHAMSIA, FAIZ BAGH, LAHORE",MR. HAFEEZ AZHAR - Managing Partner,,hafeez_azhar@hotmail.com,FRUITS AND VEGETABLES,VEGETABLES JUICES & HERBAL PRODUCTS
,SUPERIOR GRAINS TRADERS,"36 BLOCK B, RAJPOOT TOWN, LAHORE",MR. HASSAN RIAZ - Partner,,hassanriaz1991@gmail.com,FRUITS AND VEGETABLES,RICE AND FRUITS AND VEGETABLES
