Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
,D.S APPARELS,"PLOT NO.21, STREET NO.1, ALLAH HOO INDUSTRIAL ESTATE, ROHI NALA, GAJUMATA, LAHORE",MR. MUHAMMAD SAQIB - Managing Partner,-_____ -_____ --___,saqib@dsapparels.com,GARMENTS ALL KIND,GARMENTS
,ZAINAB TEXTILE (PVT) LTD,"1-KM, DEFENCE ROAD, OFF BHOBTIAN CHOWK, RAIWIND ROAD, LAHORE",MR. MUHAMMAD ASIM - Chief Executive,042-35330331 042-35330332 --___,info@zainabtextile.com,GARMENTS ALL KIND,GARMENTS
,A.S GARMENTS,"PLOT # 10, STREET # 3, ALLAH HOO INDUSTRIAL ESTATE, ROHI NALA, 22-KM FEROZPUR ROAD, LAHORE",MR. MUHAMMAD ASIF - Proprietor,-_____ -_____ --___,asgarments.pk@gmail.com,GARMENTS ALL KIND,GARMENTS
,ALI GARMENTS,"HOUSE NO.1, STREET NO.1, MOHALLA USMANIA, NEAR MASJID USMANIA, BAGHBANPURA, LAHORE",MR. ALI RAZA - Proprietor,-_____ -_____ --___,aligarments.pk@gmail.com,GARMENTS ALL KIND,GARMENTS
,TEXCO SOURCING,"OFFICE # 3, 2ND FLOOR, AL-HAFEEZ SUITES, 69-B-II, GULBERG-III, LAHORE",MR. MUHAMMAD TAHIR - Partner,-_____ -_____ --___,tahir@texcosourcing.com,GARMENTS ALL KIND,GARMENTS
,AL-KARAM APPAREL,"PLOT # 1, STREET # 1, ALLAH HOO INDUSTRIAL ESTATE, ROHI NALA, GAJUMATA, LAHORE",MR. MUHAMMAD KARAMAT ALI - Proprietor,-_____ -_____ --___,alkaramapparel@gmail.com,GARMENTS ALL KIND,GARMENTS
,STYLE TEX (PVT) LTD,"1-KM, DEFENCE ROAD, OFF RAIWIND ROAD, BHOBTIAN CHOWK, LAHORE",MR. MUHAMMAD ASIF - Chief Executive,042-35321051 042-35321055 --___,styletex@styletex.com.pk,GARMENTS ALL KIND,GARMENTS
,ZS TEXTILE,"PLOT # 10, STREET # 1, ALLAH HOO INDUSTRIAL ESTATE, ROHI NALA, GAJUMATA, LAHORE",MR. ZULFIQAR ALI - Proprietor,-_____ -_____ --___,zstextile.pk@gmail.com,GARMENTS ALL KIND,GARMENTS
,A.R APPAREL,"PLOT # 3, STREET # 1, ALLAH HOO INDUSTRIAL ESTATE, ROHI NALA, GAJUMATA, LAHORE",MR. MUHAMMAD ARSHAD - Proprietor,-_____ -_____ --___,arapparel.pk@gmail.com,GARMENTS ALL KIND,GARMENTS
,AL MADINA GARMENTS,"PLOT # 4, STREET # 1, ALLAH HOO INDUSTRIAL ESTATE, ROHI NALA, GAJUMATA, LAHORE",MR. MUHAMMAD ASLAM - Proprietor,-_____ -_____ --___,almadinagarments.pk@gmail.com,GARMENTS ALL KIND,GARMENTS
