Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
,ARIF HANDI CRAFTS,"SHOP # 11-12, BASEMENT MUHAMMADI MARKET, NEW ANARKALI, LAHORE",MR. MUHAMMAD JAVED - Managing Partner,042-37324212,araf_handicrafts@yahoo.com,HANDICRAFTS,HANDICRAFTS
,GRAPHIC IMPRESSIONS,"PLOT NO.109 M/7A, QUAID-E-AZAM INDUSTRIAL AREA, KOT LAKHPAT, LAHORE",MR. UMAR AMJAD MALIK - Partner,042-35213617,info@graphicimpression.net,HANDICRAFTS,HANDICRAFTS
,MARHABA,"S-8/A, KARACHI BLOCK, FORTRESS STADIUM, CANTT- LAHORE",MR. JAHANGIR ALI MALIK - Proprietor,042-36685151,marhabahandicraft@outlook.com,HANDICRAFTS,"WOODS, CRAFTS"
,STARLITE ENGINEERING,"764-2DI, SHAH JILANI ROAD, QAID-E-AZAM TOWN, TOWNSHIP, LAHORE",MR. SHAZADA KHURAM - Proprietor,042-35120105,shazadakhuram@yahoo.com,HANDICRAFTS,HANDICRAFTS
,NATIVE TRIBAL ART,120-C JOHAR TOWN LAHORE,MR. MUHAMMAD SAEED TARIQ - Proprietor,,info@nativetribal.com,HANDICRAFTS,Handicrafts
,UMAR & COMPANY,"HOUSE NO.235, BLOCK-A, SABZAZAR SCHEME, LAHORE",MR. MUHAMMAD SHAFIQUE - Proprietor,,umar.co72@gmail.com,HANDICRAFTS,HANDICRAFTS
,AHSAN HANDI CRAFT,"OFFICE NO. 9-10, MUSHTAQ MARKET, FIAZ ROAD, NEW ANARKALI, LAHORE",MR. MUHAMMAD IMRAN - Proprietor,,imranahsan1972@gmail.com,HANDICRAFTS,HANDICRAFTS
,V.I.P. ENTERPRISES,"3-MAIN BAZAR, GUNJ MUGHALPURA LAHORE",MR. MUHAMMAD LUTFULLAH - Proprietor,042-36851441,lutfullah_68@yahoo.com,HANDICRAFTS,HANDICRAFTS AND ANTIQUES
,MAQBOOL FOODS,"159 H TARIQ GARDEND, LAHORE",MISS ABIDA MAQBOOL CHISHTIE - Proprietor,,rabees.collection@yahoo.com,HANDICRAFTS,HANDICRAFTS
,JAMSHAID IMPEX,HASSAN BIN SABIT ROAD NEAR NAZ CINEMA ROAD KASUR,MR. JAMSHAID IQBAL - Proprietor,049-2721959_,jamshaidimpex@gmail.com,HANDICRAFTS,HANDICRAFTS
,ORIENTAL CRAFTS,"MEHAR SOBA PARK, FAISAL STREET # 3, KOT KHAWAJA SAEED, LAHORE",MR. IMRAN QASIM - Proprietor,,orientalcrafts2000@yahoo.com,HANDICRAFTS,BRASS LAMPS
,AL-SHARIF INTERNATIONAL,399-SECTOR 2-C-II TOWNSHIP LAHORE,MR. MUNIR AHMAD - Managing Partner,042-35711647,,HANDICRAFTS,HANDICRAFTS
,FATIMA INTERNATIONAL EXPORT,"HOUSE NO.72, BLOCK-C, GULSHAN RAVI, LAHORE",MR. ZAFAR IQBAL CHOUDHRY - Proprietor,042-37324212,,HANDICRAFTS,WOODEN HANDICRAFT
,HEBA INTERNATIONAL,"HOUSE NO.31,STREET NO.10 TAJ PARK RAJ GARH LAHORE",MR. SHUAIB MIRZA - Proprietor,042-37470496,,HANDICRAFTS,WOODEN HANDICRAFTS
,NEW VERITY PALACE,"GULBERG PLAZA, LIBERTY MARKET, LAHORE",MR. MUHAMMAD ASLAM - Proprietor,,,HANDICRAFTS,HANDI CRAFT
,OFFSET PRINTING CO.,"36-S QUAID-E-AZAM INDUSTRIAL ESTATE, KOT LAKHPAT, LAHORE",MR. WASEEM IKRAM HASHMI - Managing Partner,042-35400460,offsetprintingcompany@gmail.com,HANDICRAFTS,HANDICRAFTS
,VCEELA (PVT.) LTD,"41-A, JUDICIAL COLONY , PHASE 1, LAHORE",MR. AQEEL KHALID - Chief Executive,042-35313178,akeel.khalid@gmail.com,HANDICRAFTS,HANDICRAFTS
,UNIVERSE BIZ,"HOUSE NO.7, STREET NO.36, AMIN PARK, SAID PUR, MULTAN ROAD, LAHORE",MR. MUHAMMAD NAEEM - Managing Partner,042-37063584,saleem_ebfi@yahoo.com,HANDICRAFTS,HANDICRAFTS
,INDUS DESIGNS,"143-D, PCSIR STAFF SOCIETY, COLLEGE ROAD, LAHORE",SYED ADNAN ASIM MASHADI - Proprietor,-,indusdesigns@gmail.com,HANDICRAFTS,HANDICRAFTS
,AL-ALI ISMAN INTERNATIONAL,"331-B, SABZA ZAR SCHEME, LAHORE",MR. IRFAN RASHEED - Partner,042-37496413,-,HANDICRAFTS,HANDICRAFT
,JAPAN TRADERS,"MEHARAN COTTAGE, 76-C, QAZI TOWN, RASOOL PARK, MULTAN ROAD, SABZAZAR, LAHORE",MR. MUHAMMAD ZAFAR AKRAM - Proprietor,042-37841000,japan.traders@yahoo.com,HANDICRAFTS,HANDICRAFTS
,H.M. BILAL & SONS,"SAEED PARK, RAVI TOLL PLAZA, SHAHDARA, LAHORE",MR. MUHAMMAD BILAL BUTT - Proprietor,042-37915736,-,HANDICRAFTS,HANDICRAFTS
,MADNI GIFT CENTRE,"PLOT NO.24, HOUSE NO.2, BLOCK NO.1, KARIM PARK, RAVI ROAD, LAHORE",MR. YASEEN ASGHAR - Proprietor,042-37213502,-,HANDICRAFTS,HANDI CRAFTS
,QAISER BROTHER,"9-A ,ASLAM CENTRE SHAHALAM MARKET LAHORE",MR. QAISER MEHMOOD - Proprietor,042-37663594,-,HANDICRAFTS,HANDICRAFTS
,SAEED TRADING & CONSTRUCTION COMPANY,"195-MEHRAN BLOCK, ALLAMA IQBAL TOWN, LAHORE",MR. ADNAN SAEED - Proprietor,042-35843731,icma_adnan@yahoo.com,HANDICRAFTS,HANDICRAFTS
