Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
,OSAMA BROTHERS,"5- MACLAGAN ROAD, LAHORE",MR. HAMZA ZAFAR ALVI - Proprietor,,,LABORATORY EQUIPMENT,LABORATORIES EQUIPMENTS
,TRUSTEK ENTERPRISES,"OFFICE NO.17, 5TH FLOOR SAITH CENTRE, EDWARD ROAD SYED MOUJ DARYA ROAD, LAHORE",MR. KASHIF RAZA - Proprietor,,biz@trustek.org,LABORATORY EQUIPMENT,LAB EQUIPEMENT
,OWNWAY TRADERS,"OFFICE NO.317, 5TH FLOOR SAITH CENTRE EDWARD ROAD, SYED MOUJ DARYA ROAD, LAHORE",CH. ZULIFQUAR ALI - Proprietor,,ownwaytraders@gmail.com,LABORATORY EQUIPMENT,LAB EQUIPMENTS
,HANI BROTHERS (PVT.) LTD,"153-P, JOHAR TOWN, LAHORE",MR. MANSOOR AHMED - Chief Executive,,mansoor@hanibrothers.com,LABORATORY EQUIPMENT,LABORATORY EQUIPMENT & CHEMICALS
,TOPLINE INTERNATIONAL,"LG OFFICE NO.20 MEMONA CENTRE SYED MOUJ DARYA ROAD, LAHORE",MR. JUNAID IRFAN - Partner,,topline.int01@gmail.com,LABORATORY EQUIPMENT,LAB EQUIPMENTS
,BMT TRADERS,"HOUSE NO.885, BLOCK B, FAISAL TOWN, LAHORE",MR. MUHAMMAD USMAN - Proprietor,,bmttechnology.traders@gmail.com,LABORATORY EQUIPMENT,"GIAAGNOSTIC EQUIPMENT, BIO MEDICAL"
,HEALTH BRIDGE LABORATORIES (PVT.) LTD,"90-B/8, CANAL PARK, GULBERG II, LAHORE",MR. ZAFAR MEHMOOD - Chief Executive,042-35958821 042-37911824,zafarnzee@hotmail.com,LABORATORY EQUIPMENT,LAB
,MARSHAL TRADING CORPORATION,32 ABKARI ROAD ANARKALI LAHORE,MR. KHALID MAHMOOD RANA - Proprietor,042-37324321 042-37115443,khalidr32@gmail.com,LABORATORY EQUIPMENT,LABORATORY EQUIPMENT
,RAYVET INTERNATIONAL,"287-Q, MODEL TOWN EXT. LAHORE",MR. MUHAMMAD ZULQARNAIN HANIF - Managing Partner,042-35833312,rayvet@yahoo.com,LABORATORY EQUIPMENT,LABORATORY EQUIPMENT
,LABORATORY & TECHNICAL SUPPLY CO.,"2ND FLOOR, 47-COMMERCIAL AREA, CAVALRY GROUND, CANTT- LAHORE",MR. FAISAL SIDDIQUE - Proprietor,042-36677186 042-36677187,info@labtech-me.com,LABORATORY EQUIPMENT,ENVIRANMENTAL MEASURING & MONITORING INSTRUMENTS
,RAYS TECHNOLOGIES,"7/I, BLOCK-F, NEAR MAIN MARKET, GULBERG-II, LAHORE",MR. ZAHID JAMIL - Proprietor,042-35753903 042-35753904,info@raystechno.com,LABORATORY EQUIPMENT,LABORATORY EQUIPMENT
,ABDUL KALAM TRADERS,"62- ABKARI ROAD, NEW ANARKALI LAHORE",MR. MUHAMMAD QASIM - Proprietor,042-37360478,abdulkalam_trade@yahoo.com,LABORATORY EQUIPMENT,LABORATORY EQUIPMENT
,BIOSORIN,"19-USMAN BLOCK, MAIN BOULEVARD, NEW GARDEN TOWN, LAHORE",MR. MUHAMMAD MURTAZA KHAN - Proprietor,042-35940533 042-35940534,info@biosorin.com,LABORATORY EQUIPMENT,LABORATORY EQUIPMENT
,CITI SCIENCE TRADERS,YASEEN CENTRE JAN MUHAMMAD ROAD NEW ANARKALI LAHORE,MR. PERVAIZ IQBAL - Proprietor,042-37355342,citiscience@live.com,LABORATORY EQUIPMENT,LABORATORY EQUIPMENT
,RAVI SCIENTIFIC TRADERS,"14/2 ABKARI ROAD, NEW ANARKALI, LAHORE",MR. FAISAL SIDDIQUE - Proprietor,042-37361658,ravi_seientific@yahoo.com,LABORATORY EQUIPMENT,LABORATORY EQUIPMENT
,SHEHARYAAR DIAGNOSTIC LABORATORIES,"2ND FLOOR BASEMENT, M. MEDICINE MARKET FEROZEPUR ROAD LAHORE",MR. IMRAN ASLAM - Proprietor,,drimran49@yahoo.com,LABORATORY EQUIPMENT,SERVICES
,BIO MEDICAL LABORATORY,"23-GULSHAN BLOCK, ALLAMA IQBAL TOWN, LAHORE",MR. MUHAMMAD SHOUKAT IQBAL - Proprietor,042-37805024,biolab487@gmil.com,LABORATORY EQUIPMENT,LABORATORY EQUIPMENT
