"Mship No","Company Name","Address","Name","Ph (Off)","Email","Business Sector(s)","Business Speciality"
"2385-C","PAK WEST INDUSTRIES (PVT) LTD","IST FLOOR, GHANI CHAMBERS 28-29 PATIALA GROUND LINK MCLEOD ROAD LAHORE","MR. NADIR ZULFIQAR MANNOO - Chief Executive","042-35775540 042-35775541","sales@pakwestindustries.com","ARTIFICIAL LEATHER","ARTIFICIAL LEATHER"
"10010-C","HASSAN LEATHER INDUSTRIES","OPP. HASSAN CA FACTORY 10.5 KM SHEIKHUPURA ROAD LAHORE","SH. AMIR JAVED - Managing Partner","042-37632017","","ARTIFICIAL LEATHER","Artificial Leather"
"116388-C","AHMED LUGGAGE INDUSTRIES","FACTORY # 49/11, STREET # 2, ROHI NALA, NADIR STREET GUJJUMATA, LAHORE","MR. SHOAIB AHMED - Partner","","malikrizwan1211@gmail.com","ARTIFICIAL LEATHER","LUGGAGE, BAGS"
"117297-A","IBRAHIM TANNERY","OFFICE NO.11, IBRAHIM STREET, NEW ANARKALI, LAHORE","MR. MUHAMMAD ISMAIL - Proprietor","","umerismail347@gmail.com","ARTIFICIAL LEATHER","LEATHERS"
"118641-A","IMTIAZ BAGS MANUFACTURER","H # 45, ST # 12, NABI PURA, LAHORE","MR. IMTIAZ ALI SHAH - Proprietor","","imtiazalishah4584653@gmail.com","ARTIFICIAL LEATHER","HANDBAGH"
"120094-C","BAGGIES","16-A, COMMERCIAL MILITARY ACCOUNTS CO-OPERATIVE HOUSING SOCIETY, LAHORE","MR. ABDULLAH NAWAZ DHARIWAL - Proprietor","","abdullah.dhariwal@gmail.com","ARTIFICIAL LEATHER","LADIES HANDBAG"
"128423-A","GHUFRAN SHEHZAD ENTERPRISES","98, ST # 2, CHAMBERLAIN ROAD, GAWAL MANDI, LAHORE","MR. MUHAMMAD GHUFRAN - Proprietor","","","ARTIFICIAL LEATHER","BAGS"
"129983-A","NICE PURSE MAKER","CHURCH WALI GALI, NEAR BANDOOK SAYIN DARBAR, DHER, SHAHDARA TOWN, LAHORE","MR. NAVEED MASIH - Proprietor","","","ARTIFICIAL LEATHER","LADIES BAGS"
"25497-C","PAKISTAN VINYL INDUSTRIES","ASAD CHAMBER UMER MARKET MCLEOD ROAD LAHORE","MIAN TARIQ NISAR - Proprietor","042-37358834","pakvinyl@gmail.com","ARTIFICIAL LEATHER","ARTIFICIAL LEATHER"
"28477-C","T.U. PLASTIC INDUSTRY CO.(PVT) LTD","20- CHAMBER LANE ROAD, LAHORE","MR. ABID SAEED PAUL - Chief Executive","042-37666884 042-37639478","","ARTIFICIAL LEATHER","ARTIFICIAL LEATHER"
"29014-C","A.T.S. SYNTHETIC (PVT) LTD","4-KM- KACHA ROAD, KAHNA NAU, LAHORE","MIAN SOHAIL NISAR - Director","042-35978091","sohailnisar.ats@gmail.com","ARTIFICIAL LEATHER","ARTIFICIAL LEATHER"
"35736-C","SABINA POLYMER PRODUCTS","1ST FLOOR, RAMZAN ARCADE, 66 GHANDI SQUARE, 10- RAILWAY ROAD, LAHORE","MR. MUHAMMAD NASEEM - Managing Partner","042-35393072","sabinapoly@cyber.net.pk","ARTIFICIAL LEATHER","ARTIFICIAL LEATHER"
"36515-C","TARIQ LEATHER INDUSTRIES","16-KM MULTAN ROAD SHAHPUR KANJRAN LAHORE","MR. MUHAMMAD TARIQ - Proprietor","042-37510127 042-37640928","tariq.leather@gmail.com","ARTIFICIAL LEATHER","REXINE"
"58133-A","S.A. TRADING CORPORATION","ROOM # 1,IST FLOOR, SHAHRYAR BUILDING, 117- CIRCULAR ROAD, LAHORE","MIAN ANJUM NISAR - Proprietor","042-37243144 042-37322495","ATSINT@BRAIN.NET.PK","ARTIFICIAL LEATHER","ARTIFICIAL LEATHER"
"89422-A","SARMAD ENTERPRISES","70-F, 1ST FLOOR, AUTO CENTRE, 108- LYTTON ROAD, LAHORE","SYED MUHAMMAD NOOR ALI MAKHDOOM - Proprietor","042-37236942","sarmad_ent@hotmail.com","ARTIFICIAL LEATHER","ARTIFICAL LEATHER/RUBBER ADHESIVE"
"91267-C","RANYAL SYNTHETIC (PVT.) LTD","38-TIMBER MARKET, RAVI ROAD, LAHORE","MR. FAYYAZ MAALIK - Director","042-37721755 042-37332441","ranyal@hotmail.com","ARTIFICIAL LEATHER","ARTIFICAL LEATHER/ TANNING & DRESSING OF LEATHER"
"108616-A","AROOJ LEATHER GARMENTS","H # 34, ST # 36, CANAL PARK, GULBERG-II, LAHORE","MRS. AROOJ SAFYAN DAR - Proprietor","","roshanhajjrahaleema@hotmail.com","TANNED LEATHER","TANNING & DRESSING"
"115986-C","MIMA LEATHER (PVT) LTD.","1.5 KM HALLOKI ROAD, KAHNA KACHA, LAHORE","MR. ZEESHAN ASLAM SHEIKH - Director","","unit2@mimaleather.com","TANNED LEATHER","FINISHED LEATHER"
"116544-A","AHS IMPEX","CHAMRA MANDI, DIN GARH, KASUR","MR. GHULAM ABBAS - Proprietor","","ga777604@gmail.com","TANNED LEATHER","DRESSING OF LEATHER, MANUFACTURING OF LUGGAGE, HANDBAGS ETC"
"16286-C","REHMAN BROTHERS & CO.","JAMIA MASJID STREET DIN GARH KASUR","MR. FAZAL-UR-REHMAN SHAIKH - Partner","049-2760966_ 049-2722889_","rbc@rbcpk.com","TANNED LEATHER","TANNED LEATHER"
"18201-C","ALI LEATHER WORKS (PVT) LTD","97-B- GULBERG-II, LAHORE","MIAN ARIF RAFI - Director","042-35756707 042-35757861","arifrafi2009@hotmail.com","TANNED LEATHER","TANNERY & FINISH LEATHER"
"41355-C","PAUL LEATHER INDUSTRY","25-JINAH COLONY, THOKAR NIAZ BAIG, MULTAN ROAD, LAHORE","MR. ATIF ANWAR PAUL - Partner","042-35422362 042-35413564","paulleatherind@yahoo.com","TANNED LEATHER","LEATHER & PLASTIC PRODUCTS"
"44530-A","SHAHID TANNERIES","HOUSE NO.3, HAIDER STREET NO.29, NEAR SAMNABAD TOWN, SADDIQE PARK, NEW MOZANG, LAHORE","MR. SHAHID MUNIR - Partner","","s.sleather@yahoo.com","TANNED LEATHER","TANNED LEATHER"
"114230-C","TAUHEED INTERNATIONAL (PVT) LTD.","NEAR ROHI NALA BYPASS, 4.2-KM, MANGA ROAD, RAIWIND, LAHORE","MR. KASHIF MUSHTAQ - Chief Executive","042-35395344","kashif@tauheedinternational.com","LEATHER MADEUPS","FINISH LEATHER"
"114677-A","RIZWAN LEATHERS","IBRAHIM TANNERY CHOWK, NIAZ NAGAR, KASUR,","MR. MUHAMMAD RIZWAN - Proprietor","","arts.leathers@gmail.com","LEATHER MADEUPS","ALL KINDS OF LEATHERS PRODUCTS"
"114678-A","AYS LEATHER","KOT MOLVI ABDUL QADIR, KASUR","MR. MUHAMMAD YOUNAS SHAUKAT - Proprietor","","aysleather@yahoo.com","LEATHER MADEUPS","LEATHER ITEMS"
"115135-A","AMAFHSTAR INTERNATIONAL","HOUSE NO.771, BLOCK NO.E-1, JOHAR TOWN, LAHORE","MRS. SADIA FIRDOUS - Managing Partner","","amafhstarinternational@gmail.com","LEATHER MADEUPS","LEATHER GOODS & SPORTS WEAR"
"123629-A","THE AMARK SOLUTIONS","BUILDING NO.34, ST NO.1, NEAR BUTT SWEETS, 21-KM FEROZEPUR ROAD, SATELLITE TOWN, LAHORE","MR. KHURSHID AHMAD - Proprietor","","khurshidajab@gmail.com","LEATHER MADEUPS","SCHOOL BAGS"
"123891-C","VOHRA ASIAN LEATHER CRAFTS (PVT) LTD.","ATARI INDUSTRIAL ESTATE, 18 KM FEROZEPUR ROAD, LAHORE","MR. MUHAMMAD WAQAS NAEEM VOHRA - Director","042-35402000","mail@valc.com.pk","LEATHER MADEUPS","LEATHER AND LEATHER PRODUCTS"
"124782-C","DECENT TANNERIES","OFFICE NO.45, STREET NO.36, MADINA PARK, QILLA GUJJAR SINGH, LAHORE","MR. MUHAMMAD AHMAD - Managing Partner","","ahmadjuttm95@gmail.com","LEATHER MADEUPS","DRESSING AND DYEING OF FUR"
"124796-C","THE FOOT FACTORY (PVT) LTD.","19 BABAR BLOCK, NEW GARDEN TOWN, LAHORE","MR. IRFAN WAHEED - Chief Executive","","forestblueinc@gmail.com","LEATHER MADEUPS","LEATHER PRODUCTS"
"129250-C","NEXUS PREMIER LEATHERS (PVT) LTD","E-8 SUKH CHAYN GARDEN, CANAL ROAD, LAHORE","MR. HUNAIN REHMAN - Chief Executive","","ceo@nexusleathers.com","LEATHER MADEUPS","LEATHER GLOVES, LEATHER JACKETS, BAGS, ETC"
"131436-C","MI INDUSTRIES (PVT) LTD.","249- SHADMAN 1, LAHORE","MR. MUHAMMAD AHMAD - Director","042-37420167","ahmad@mitraders.pk","LEATHER MADEUPS","LUGGAGE"
"15820-A","BEHTREEN LEATHER WORKS","UMAR STREET,NABI PARK, QILA MUHAMMADI, RAVI ROAD, LAHORE","MR. SHEIKH MUHAMMAD RAEES - Proprietor","042-37722038","behtreenleatherworks@gmail.com","LEATHER MADEUPS","Leather Belts, Wallets, Key Chain, Leather File Bag, Lap Top Bag"
"16215-C","G.N.K. SONS (PVT) LTD","169-CAVALRY GROUND, STREET NO.11, CANTT- LAHORE","KH. MOEED AFZAAL - Director","","gnkslhr@gmail.com","LEATHER MADEUPS","LEATHER WORKING GLOVES & INDUSTRIAL WORK WEAR"
"28482-C","H.U. LEATHERS","131/1 INDUSTRIAL AREA, KOT LAKHPAT, LAHORE","MR. ZAHIR MAJID - Managing Partner","042-35122137 042-35122138","huleathers@gmail.com","LEATHER MADEUPS","LEATHER MADEUPS"
"30647-C","BRIGHT STAR INTERNATIONAL","67- G.T. ROAD, HIDE MARKET, LAHORE","MR. MUDASSAR MASOOD - Managing Partner","042-36817393","office@leather-age.com","LEATHER MADEUPS","LEATHER APPAREL,"
"33944-C","RIAZ TANNERIES","STREET # 2 NADER CHOWK ROHI NALA 21-KM- FEROZPUR ROAD, LAHORE","SH. RIAZ AHMAD - Managing Partner","042-35443082","riaz@riaztanneries.com","LEATHER MADEUPS","LEATHER GARMENTS"
"38991-A","AR YOUSAF","PLOT # 32, STREET # 1, ATTARI INDUSTRIAL ESTATE, 18-KM- FEROZEPUR ROAD, LAHORE","MR. ALI YOUSAF - Proprietor","042-35401803 042-35401807","aryousaf@mail.com","LEATHER MADEUPS","LEATHER GARMENTS"
"39472-C","ADVANTAGE (PVT) LTD","18-K.M FEROZEPUR ROAD, LAHORE","MR. MUHAMMAD ARSHAD BAIG - Director","042-35824185 042-35824186","info@advantage_leather.com","LEATHER MADEUPS","LEATHER MADEUPS"
"43653-A","GENUINE LEATHER GARMENTS","OFFICE NO.2, 2ND FLOOR, LAHORE PLAZA, TOWNSHIP, LAHORE","MR. ABDUL SHAKOOR - Partner","042-34251999","ganuinelether111@yahoo.com","LEATHER MADEUPS","Leather Jeckets"
"44001-C","ATLAS EXPORTS (PVT) LTD","51-52-53/B, MOHALANWAL SCHEME, CANAL BANK ROAD, SHAHKAM CHOWK, 53801, LAHORE","RANA ABDUL MANNAN - Chief Executive","042-35230203 042-35230204","amannan@lhr.comsats.net.pk","LEATHER MADEUPS","LEATHER & COTTON GLOVES"
"44388-C","HAROON USMAN & COMPANY","PLOT NO. 01, SHARIFABAD INDUSTRIAL ESTATE, NADAR CHOWK, 22-KM- FEROZEPUR ROAD, LAHORE","MR. IRSHAD AHMED - Proprietor","","huc786@yahoo.co.uk","LEATHER MADEUPS","LEATHER JACKETS (GARMENTS)"
"45986-A","HORIZON FOODS","699-J BLOCK, LDA AVENUE OFF RAIWIND ROAD, LAHORE","MR. AMIR HAMEED - Managing Partner","","horizongrouppk@gmail.com","LEATHER MADEUPS","LEATHER GARMENTS"
"47665-C","FABRO INTERNATIONAL (PVT) LTD","164-B-ASKARI-X- CANTT- LAHORE","MR. ALAMDAR HUSSAIN GOHAR - Chief Executive","042-36502757","fabro55@yahoo.com","LEATHER MADEUPS","LEATHER MADEUPS AND BAGS"
"56270-A","SHABBIR LEATHER","50, NADEEM PARK, KOTLAKHPAT STATION, LAHORE","MR. QAMAR ARIF - Managing Partner","","shabbirleatherpk@gmail.com","LEATHER MADEUPS","Leather Madeups"
"57688-C","LEATHER LEGEND","192-BLOCK D, GROUND FLOOR, PCSIR STAFF HOUSING SOCIETY, COLLEGE ROAD, LAHORE","MR. GRIGORIOS VAINAS - Proprietor","042-35474605","leather_legendpk@yahoo.com","LEATHER MADEUPS","LEATHER JACKETS"
"60897-A","A.M LEATHER","GODOWN # 1,ST # 19 HIDE MARKET LAHORE","MR. ABDUL WAHEED - Proprietor","042-37602259","ABDULWAHEED670@YAHOO.COM","LEATHER MADEUPS","LEATHER GARMENTS"
"62377-A","JWC TRUCKER LEATHER","248-S, QUAID-E-AZAM INDUSTRIAL ESTATE, KOT LAKHPAT, LAHORE","MR. BALEEGH-UR-REHMAN - Proprietor","","jwc09@hotmail.com","LEATHER MADEUPS","LEATHER, LEATHER GARMENTS BAGS"
"72350-C","ALI INTERNATIONAL COMPANY","FLAT NO.73, D BLOCK, EDEN ABAD, LAHORE","MR. ALI ASGHAR - Proprietor","","aic_786pk@yahoo.com","LEATHER MADEUPS","LEATHER PRODUCTS & NONWOVEN BAGS."
"81915-C","MUHAMMAD LATEEF & BROTHERS","NIAZ NAGAR, KASUR","MR. RASHEED - Managing Partner","049-2765283_ 049-2765284_","","LEATHER MADEUPS","LEATHER MADEUPS"
"90544-A","BEST WAY LEATHER","120 NALEEM BLOCK, IQBAL TOWN, LAHORE","SYED MUHAMMAD IRFAN SHAH - Proprietor","042-37841064","smirfanshah@yahoo.com","LEATHER MADEUPS","LEATHER JACKETS"
"71802-A","MONGOL LEATHER ASSOCIATES","OFFICE NO.21,3RD FLOOR, AL HAFEEZ TOWER, OPP. PIZZA HUT, MM ALAM ROAD, GULBERG II, LAHORE","MR. AURANG ZEB MIRZA - Proprietor","042-35785508","info@mongolleather.pk","RAW MATERIAL","FINISH LEATHER LEATHER RAW FINISHED"
"156-C","H. SADAR ALI AKHTAR ALI (PVT) LTD","HIDE MARKET, 14- G.T.ROAD, LAHORE","MR. NAEEM AKHTAR - Chief Executive","042-36861452","info@hsaleather.com","LEATHER","Leather And Tanneries"
"10249-C","EPCT (PVT) LTD.","45-50 INDUSTRIAL AREA GULBERG-III LAHORE","MR. JAVED USMAN - Chief Executive","042-35756192 042-35756197","epct@brain.net.pk","LEATHER","FINISHED LEATHER, SHOES"
"103791-C","HASHMAT LEATHER","AHLO ROAD, GULSHAN MUNIR SCHEME, FEROZEPUR ROAD, LAHORE","MR. MUHAMMAD ASIF - Proprietor","","info@hashmat-leather.com","LEATHER","LEATHER"
"105036-C","PRIMO ENTERPRISES","19- COOPER ROAD, LAHORE","MR. SAAD UR REHMAN - Partner","042-36362110 042-36362111","saad.primoenterprises@gmail.com","LEATHER","WOLLEN"
"105530-C","PREMIER EXPORTS (PVT) LTD","H # 213, BLOCK G3, M.A JOHAR TOWN, LAHORE","MR. ATIF ZAFAR - Director","042-35301342","info@premierexports.com.pk","LEATHER","GLOVES"
"10571-C","SIDDIQ LEATHER WORKS (PVT) LTD","47 G.T. ROAD HIDE MARKET LAHORE","MR. MUHAMMAD MUSADDIQ - Director","042-36883600 042-37970576","sales@siddiqleather.com","LEATHER","FINISHED LEATHER"
"106610-C","K.T STAR FOOTWEAR","LINK AL JANAT ROAD, NAIN SUKH, LAHORE","MR. SHER AGHA - Proprietor","","sheraghakhan@iclould.com","LEATHER","FOOTWEAR"
"107482-C","SSC MANUFACTURING (PVT.) LTD","2ND FLOOR, EFU HOUSE, 6-D MAIN GULBERG, JAIL ROAD, LAHORE","MR. HAMID HUSSAIN - Director","042-35790611","","LEATHER","LEATHER PRODUCTS"
"109755-C","MONAFA HUSSAIN & CO.","1ST FLOOR, 60- FLAMING ROAD, LAHORE","MR. MATEEN BUTT - Proprietor","","abdulmateenbutt@hotmail.com","LEATHER","LEATHER PRODUCT"
"110222-C","HIDE AND STYLE","O/S MUNIR SHAHEED COLONY, GAMAN SHAH ROAD, KASUR","MR. MUHAMMAD NAUMAN MALIK - Proprietor","","hideandstyle@gmail.com","LEATHER","LEATHER PRODUCTS"
"110709-A","CAPACE LEATHERS","21-KM, FEROZPUR ROAD, SHARIFABAD INDUSTRIAL ESTATE, NADIR CHOWK, LAHORE","MRS. IRAM SHAHZADI - Proprietor","","capaceleather@gmail.com","LEATHER","LEATHER GARMENTS, TEXTILE GARMENTS"
"111305-C","GOLDEN HORSE LUGGAGE FACTORY (SMC PVT.) LTD","4.5-KM, RAIWIND MANGA ROAD, LAHORE","MR. YU CHENGYUAN - Chief Executive","","yu.chengyuan19@hotmail.com","LEATHER","LEATHER PRODUCTS,"
"111933-A","BOXER SHOES","KHASRA NO.721, BILAL COLONY, SHADI PURA, CANTT LAHORE","MR. MUHAMMAD RAFIQ - Proprietor","","boxershoes24@gmail.com","LEATHER","LEATHER SOES"
"111990-C","I M LEATHER","NIAZ NAGAR, KASUR","MR. MAHMOOD ALI - Managing Partner","","leatherim@yahoo.com","LEATHER","LEATHER ITEMS"
"112930-C","SWISS PRO MANUFACTURING CO.","17-KM, G.T ROAD, BAGH WALI PULI, NEAR BATAPUR, LAHORE","MR. ABDUL JABBAR - Partner","","","LEATHER","LEATHER AND SPORTS PRODUCTS"
