Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-1798,EAGLE MACHINERY SERVICE SHAM NAGAR ROAD,,,7281065,,MACHINE TOOLS,LATHE MACHINE
NEW-1799,EMPIRE ENGINEERING WORKS SHALIMAR LINK ROAD,,,6846144,,MACHINE TOOLS,LATHE MACHINE
NEW-1800,FINE ENGINEERING,"WORKS DIN ROAD, BADAMI BAGH,",,7286597,,MACHINE TOOLS,LATHE MACHINE
NEW-1801,HAMAN ENGINEERING,"WORKS 84J GULSHAN RAVI SCHEME PLOT NO.45,",,4247395,,MACHINE TOOLS,LATHE MACHINE
NEW-1802,M. MUHAMMAD DIN AND SONS,"NAI ABADI MOMINPURA, G.T. ROAD",,6545689,,MACHINE TOOLS,MACHINE TOOLS
NEW-1803,MUGHAL ENGINEERING WORKS AAKHRI MINT NEAR MIRAJ FOUNDRY SHALIMAR TOWN,,,6860275,,MACHINE TOOLS,LATHE MACHINE
NEW-1804,MUNIR AHMAD ENGINEERING,"WORKS KHOKHAR ROAD, BADAMI BAGH",,6275132,,MACHINE TOOLS,LATHE MACHINE
NEW-1805,NARI MAHMOOD ENTERPRISES,", G.T. ROAD, DAROGHAWALA",,6544981,,MACHINE TOOLS,LATHE MACHINE
NEW-1806,NAWAB BROTHERS,ENGG NAWAB PARK,,7148669,,MACHINE TOOLS,LATHE MACHINE
NEW-1807,PRIMA INDUSTIRES 82-SHAM NAGAR ROAD,BADAMI BAGH,,7280907,,MACHINE TOOLS,LATHE MACHINE
NEW-1808,SAJID IQBAL ENGINEERING,WORKS GHAUSIA PARK SINGPURA,,6844980,,MACHINE TOOLS,LATHE MACHINE
NEW-1809,ZAHID IQBAL ENGINEERING,WORKS GHAUSIA PARK SINGHPURA,,6844980,,MACHINE TOOLS,LATHE MACHINE
,MUQADAS TOOLS COMPANY,"SHOP#19- BRANDRETH ROAD, LAHORE",SH. MUQADAS AHMED - Proprietor,"042-37644032, 042-37635462",meraaks@hotmail.com,MACHINE TOOLS,MACHINE TOOLS
,TOOL MAX,"143-A, FAZAL-E-HAQ GARDEN SHEIKHUPURA ROAD, LAHORE",MR. SHAFQAT MASOOD - Proprietor,"042-37339320, 042-37339440",info@toolmax.pk,MACHINE TOOLS,METAL CUTTING BAND SAW BLADE AND TOOLS
