Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
70597-A,FRIENDS ENGINEERING WORKS,NEW SAGHIAN RAVI PUL BY PASS NAIN SUKH LAHORE,MR. ABDUL GHAFFAR - Proprietor,042-37919676,,PHARMACUTICAL PRODUCTS,PHARMACEUTICAL MACHINERY
65639-A,TEAMS INTERNATIONAL,"8-KM SHEIKHUPURA ROAD, OPP. MILLAT TRACTORS, LAHORE",MR. EHSAN ELAHI - Proprietor,042-37910999,teamsinternational786@gmail.com,EARTH MOVING MACHINERY,EARTH MOVING MACHINERY
101396-C,POWER ZONE ENGINEERING & SERVICES (PVT) LTD,"PLOT # 30, SECTOR C-43, MAIN COMMERCIAL AREA, LAKE CITY, LAHORE",MIAN MOHSIN ALI - Director,042-35427209 042-35427210,mohsin@pzcs.co,GENERAL MACHINERY,GENERATOR
104029-C,UMER TECH INDUSTRIES,"OFFICE NO.2, 2- MONTGOMERY ROAD, LAHORE",MR. FAHAD AHMAD - Proprietor,042-36290822 042-36290833,nadeemarif@ahmadglass.com,GENERAL MACHINERY,MACHINE
104543-A,QALANDER BELTING,"23-BADAR CENTER, 86- RAILWAY ROAD, LAHORE",MR. MUHAMMAD IKRAM - Managing Partner,042-37641417,qalanderbelting@gmail.com,GENERAL MACHINERY,V-BELTING
105598-C,AHMED USMAN ENTERPRISES (PVT.) LTD,"PLOT # 208-209, BLOCK A-1, CHINA SCHEME, LAHORE",MR. SHOUKAT ALI - Chief Executive,042-36885661 042-36885662,usman-enterprises@hotmail.com,GENERAL MACHINERY,PACKING MACHINERY
105626-C,IMPODEL PLASTIC MACHINERY,"NEAR PEPSI WAREHOUSE, MOMIN PURA ROAD, NEAR RING ROAD, LAHORE",MR. MUHAMMAD ANIS - Managing Partner,,impodelmac@gmail.com,GENERAL MACHINERY,BLOW MOULDING MACHINES
107376-C,STRIVE DEALT (SMC-PVT.) LTD,"FIRST FLOOR, RAMZAN PLAZA 3-A, COMMERCIAL, PAK ARAB SOCIETY, FEROZPUR ROAD, LAHORE",MR. AMMAD MONUS - Chief Executive,042-35804666,info@strivedealt.com,GENERAL MACHINERY,INDUSTRIAL EQUIPMENT
111186-C,AL KARAM COTTON ROLL & CALENDER,"156, BLOCK-G MARGHZAR COLONY, MULTAN ROAD, LAHORE",MR. MUHAMMAD HASSAAN - Proprietor,,akte6622@gmail.com,GENERAL MACHINERY,ALL PAPERS & TEXTILE PROCESSING MACHINERY & PARTS
111250-C,MEHMED TECHNIK (PVT.) LTD,"HOUSE NO.6, STREET NO.3, BLOCK C, ITTEHAD PARK, LAHORE",MR. MUHAMMAD KHALID YASIN - Chief Executive,,mehmedtechnik@outlook.com,GENERAL MACHINERY,MANUFACTURE OF OTHER SPECIAL MACHINERY
111798-C,AAI INDUSTRIES (PVT) LTD.,"BEHIND SUPER KANTA, OPP.MUGHAL SHAHEEN MILL, BAND ROAD, LAHORE",SH. AHSAN IDREES - Director,042-36885755 042-36885655,aaiindustriespvtltd@gmail.com,GENERAL MACHINERY,"IMPLIMENTS, AGRI MACHINERY & PARTS"
