Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
,ENFUTURE INSIGHTS (PVT)LTD.,"520, F BLOCK, 1ST FLOOR, JOHAR TOWN, LAHORE",MRS. MAJIDA NAVEED - Managing Director,042-35291999,majida@enfuture.net,MARKETING COMPANIES,"RESEARCH, ADVERTISING"
,CARGO HUB,"HOUSE NO.190, BLOCK A1, NEAR WATER TANK, GUJJAR PURA, CHAINA SCHEME, LAHORE",MR. NAEEM SALEEM - Partner,-,nsaleem@cargohub.com.pk,CARGO COMPANIES,CARGO
,GHILANI CARRIAGE COMPANY,"BARI MOR GOL CHAKKAR, NEAR CH MOBILE CENTRE, BAND ROAD, MEHMOOD BOOTI, LAHORE",MR. ATIF MUBASHIR - Proprietor,-,atif01ali32@gmail.com,CARGO COMPANIES,GOODS TRANSPORTATION & CARGO SERVICES
,OPEN SKY CARGO SERVICES (PVT) LTD,"13-H HUSSAIN ROAD, NEAR RANGER HEAD QUARTERS, ZARAR SHAHEED ROAD, LAHORE",SYED SHAHZAD HUSSAIN SHAH - Chief Executive,042-36631122,waqar@openskycargo.com,CARGO COMPANIES,CARGO
,ON TIMES LOGISTIC,"KHURSHEED BUILDING, 10- ABBOT ROAD, LAHORE",MR. MUHAMMAD NAEEM SALAMAT - Proprietor,042-37233878,707naeem@gmail.com,CARGO COMPANIES,LOGISTICS SERVICES
,CS SHIPPING & LOGISTICS (PVT) LTD.,"384-A1, GULBERG III, LAHORE",MR. MUHAMMAD IMRAN GHAURI - Chief Executive,"042-35781751, 042-35781752",info@csshipping.com,CARGO COMPANIES,TRANSPORTATION & CARGO SERVICES
,TRANSPARENT DEALS,"OFFICE NO.3, ST NO.12, ROYAL GARDEN NEAR PRIMER AMERICAN SCHOOL CANAL ROAD, HARBANSPURA, LAHORE",MR. MUHAMMAD HASSAN - Proprietor,-,transparentdeals.llc1@gmail.com,CARGO COMPANIES,CARGO
,LAND CONNECT CARGO (PVT) LTD.,"HOUSE NO.27, STREET NO.01, LINK 2, CAVALRY GROUND, LAHORE-CANTT.",MR. QAZI MUHAMMAD AHSAN ASIM - Chief Executive Officer,042-36661952,info@lcg.com.pk,CARGO COMPANIES,CARGO SERVICES
,ADYPARTNER,"10 PARK LINE, TEMPLE ROAD, LAHORE",MR. ALI RAZA - Proprietor,,alirazacheema.info@gmail.com,MARKETING COMPANIES,MARKETING
,QUETZAL (PVT) LTD,"46, A1, SHAYAN LANE, MAIN GULBERG, LAHORE",MR. WAQAR IKRAM - Chief Executive,,,MARKETING COMPANIES,ADVERTISING
,PIXELS PROP,"103-A, STREET NO.2, MAIN ROAD, SHAH JAMAL COLONY, LAHORE",MR. SAMI UDDIN AHMAD YAZDANI - Proprietor,,samiyazdani@gmail.com,MARKETING COMPANIES,DIGITAL MARKETING & SOFTWARE EXPORT
,NAXOSTECH,"BUILDING A4/11, 2ND FLOOR, H BLOCK, COMMERCIAL, VALENCIA TOWN, LAHORE",MR. MUHAMMAD HAIDER KHAN - Proprietor,,naxopk@gmail.com,MARKETING COMPANIES,SOCIAL MEDIA MARKETING
,NEXA TECH,"P-1, STREET # 3, ALIMRAN BOOK CENTER, REHMAT COLONY, NEAR NISHTAR COLONY, FEROZEPUR ROAD, LAHORE",MR. MUHAMMAD FURQAN - Proprietor,,furqan7577@gmail.com,MARKETING COMPANIES,"WEB DESIGNING, SOCIAL MEDIA MARKETING, DIGITAL MARKETING"
