Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
104356-A,CHAND MARBLE,"HASSANABAD MIAN SINGH, BARKI ROAD, LAHORE",MR. MUHAMMAD IMRAN - Proprietor,,chandmarble@gmail.com,MARBLE & MARBLE PRODCUTS,MARBLE
5472-A,PAK SOUVENIRS,15- FEROZEPUR ROAD LAHORE,MR. IRFAN ALI - Managing Partner,042-37576381,info@paksouvenirs.com,MARBLE & MARBLE PRODCUTS,Marble
99395-A,SHAHEEN CARBONATE,"29/5, BLOCK H, MODEL TOWN, LAHORE",CH. IFTIKHAR BASHIR - Partner,,shaheencarbonates@gmail.com,MARBLE & MARBLE PRODCUTS,MARBLE PRODUCTS
98290-A,CANAL MARBLE & GRANITE,"18-KM, MULTAN ROAD, LAHORE",MR. KHALID MEHMOOD - Proprietor,,,MARBLE & MARBLE PRODCUTS,MARBLE PRODUCTS
97747-C,S.S MARBLE & GRANITE,"CROLL GHATTI, MEHMOOD BOOTI, BUND ROAD, LAHORE",MR. MUHAMMAD SALEEM - Managing Partner,042-36885405,m.saleem1962@hotmail.com,MARBLE & MARBLE PRODCUTS,MARBLE & GRANITE
96247-A,CHENAB MARBLE,"74-D, SUNDAR INDUSTRIAL ESTATE, RAIWIND, LAHORE",MR. JAVED HAYAT - Partner,042-35297446,chenab786@hotmail.com,MARBLE & MARBLE PRODCUTS,"MARBLE AND GRANITE BLOCK,"
94095-C,NEW SHAHID GRINDING INDUSTRIES,"21-K.M FEROZEPUR ROAD, ROHI NALA, LAHORE",MIAN SAGHEER AHMAD - Proprietor,,newshahidmills@gmail.com,MARBLE & MARBLE PRODCUTS,STONE GRINDING
92345-A,AL FATAH MARBLE & TILE CENTRE,"ICHHRA MARBLE MARKET, 180- MAIN FEROZEPUR ROAD, LAHORE",MR. MASOOD ALI - Proprietor,,aliboby7860@gmail.com,MARBLE & MARBLE PRODCUTS,MARBLE & MARBLE PRODUCTS
88676-C,HUNZALA ENTERPRISES (SMC-PVT) LTD,"PLOT NO.6, BLOCK-01, SECTOR C-1, QUAID-E-AZAM TOWN, COLLEGE ROAD, TOWNSHIP, LAHORE",MR. AMIR EJAZ - Director,042-35774920,amir.hunzalaent@gmail.com,MARBLE & MARBLE PRODCUTS,GRANITE
86210-A,US MARBLE GRANITE & TOOLS,"SHOP NO.5, LIAQAT PARK IMAM BRA STREET, QUAID-E-AZAM MARBLE, ICHRA, LAHORE",MR. MUHAMMAD JAMIL SHAHID - Proprietor,042-37560321,shahid.iqbal1980@icloud.com,MARBLE & MARBLE PRODCUTS,"GRANITE, MARBLE"
86170-A,FAROOQ STONE KARASHAR,"HOUSE NO.3, ST NO.2, PIR QANDHARI PARK, NLM AIMS SCHOOL SYSTEM, SHAHDARA TOWN, LAHORE",MR. MUHAMMAD FAROOQ - Proprietor,,,MARBLE & MARBLE PRODCUTS,"PLASTIC OF PARIS, STONE"
73521-C,LUNA ABRASIVI (PVT) LTD.,"216- MAIN FEROZEPUR ROAD, NEAR WAPDA HOSPITAL, LAHORE",MR. KHADIM HUSSAIN - Chief Executive,042-37536291 042-37536293,hr@hussaintradingco.com,MARBLE & MARBLE PRODCUTS,MARBLE AND GRANITE
68531-C,INDUS MINING (PVT) LTD.,"61-A, MAIN GULBERG, LAHORE",MR. ALI KHAN TAREEN - Director,042-35750018,maqsoodmalhi@jksugarmills.com,MARBLE & MARBLE PRODCUTS,MINING ACTIVITIES
67997-C,SHAHEEN GRINDING MILLS (PVT) LTD.,"9-K.M. BHOPTIAN CHOWK, RAIWIND ROAD, LAHORE",CH. IFTIKHAR BASHIR - Chief Executive,042-35322531 042-35322533,iftikharmolana@hotmail.com,MARBLE & MARBLE PRODCUTS,"STONE PRODUCTS, STONE GRINDING"
67729-A,T.M. MARBLES,"MAIN DEFENCE ROAD, NEAR EDEN EVENUE, NEAR AIRPORT ROAD, CANTT, LAHORE",MR. TARIQ MEHMOOD - Proprietor,042-35747214,,MARBLE & MARBLE PRODCUTS,FINSHED MARBLE
62094-A,QADRI CHISHTI MARBLE COMPANY,"IMAM BARA ST # 188, FEROZEPUR ROAD, LAHORE",MR. UMAIR MUSHTAQ BHATTI - Proprietor,042-37570344,umairmushtaqbhatti@gmail.com,MARBLE & MARBLE PRODCUTS,MARBLE SLABS
58329-A,J.K.R. TRADERS,"57-R-I, JOHAR TOWN, LAHORE",MR. JAVED HAYAT - Managing Partner,042-35291957,chenab786@hotmail.com,MARBLE & MARBLE PRODCUTS,MARBLES AND GRANITE
107858-C,AL-RAKHAM (PVT.) LTD,"PLAZA NO.150, BLOCK-MB, DHA PHASE VI, LAHORE",MR. ASSAM ANSARI - Chief Executive,,sales@alrakham.com,MARBLE & MARBLE PRODCUTS,MARBLE FURNITURE & INTERIOR
108795-C,IZHAR PAVERS (PVT.) LTD,"39-TIPU BLOCK, NEW GARDEN TOWN, FEROZPUR ROAD, LAHORE",MR. MARGHOOB SHAKIR IZHAR - Director,042-35888000 042-11132311,marchoob@izhar.com,MARBLE & MARBLE PRODCUTS,"PAVERS, KERB STONE, EDGE STONE, SOLID BLOCKS, CONCRETE BLOCKS, PC MATERIAL"
11520-C,MEC CORPORATION (PVT) LIMITED,"P.O.BOX 1060, 36 - LAWRENCE ROAD, LAHORE",SYED HASAN MAHMOOD ZAIDI - Chief Executive,042-36366666 042-36366670,info@mecartworks.com,MARBLE & MARBLE PRODCUTS,"Marble Mosaic, Glass Mosaic, Patterns,"
117315-A,ANMOL MARBLE GREANITE,"TIBBA PAJIAN, RAIWIND ROAD, LAHORE",MR. SAMAR ABBAS - Proprietor,,,MARBLE & MARBLE PRODCUTS,MARBLE GREANITE
122028-A,FB MARBLE & GRANITE,"NEAR HASAN CHOWK, NEAR RING ROAD, PHASE-6 DHA, LAHORE",MR. KASHIF HUSSAIN - Managing Partner,,kashifnfml12@gmail.com,MARBLE & MARBLE PRODCUTS,MARBLE AND GRANITE
127709-A,MAKKAH MADINA MARBLE,"180 GHOUSIA MARBLE MARKET, LINK FEROZPUR ROAD, ICHRA, LAHORE",MR. MUHAMMAD ASLAM - Proprietor,,,MARBLE & MARBLE PRODCUTS,MARBLE
128953-C,PESHAWAR MARBLE AND GRANITE,"HOUSE NO.1, NEAR ROZI KHAN MARKET, YOUSAF PARK, RUSTAM SOHRAB FACTORY, SHAHDARA, LAHORE",MR. NAVEED KHAN - Proprietor,,nk6279374@gmail.com,MARBLE & MARBLE PRODCUTS,MARBLE AND GRANITE
130977-A,ZAKRIYA ENTERPRISES,"285, LCCI COOPERATIVE HOUSING SOCIETY, LAHORE",MR. MUHAMMAD ZAKRIYA - Proprietor,,m.zakriya000@gmail.com,MARBLE & MARBLE PRODCUTS,"LINK ROLLER, MARBLE PRODUCTS"
26843-A,MUNIR HUSSAIN & SONS,9-ASIF PLAZA WALTON ROAD DEFENCE CHOWK CANTT LAHORE,MR. SALEEM RAZA - Proprietor,042-36660546,,MARBLE & MARBLE PRODCUTS,MARBLE & MARBLE PRODCUTS
35343-C,FAROOQ MARBLE INDUSTRIES,208 FEROZEPUR ROAD REHMANPURA STOP LAHORE,MR. TAYYAB HAMEED BHATTI - Managing Partner,042-30300444,frqbhatti@yahoo.com,MARBLE & MARBLE PRODCUTS,Marble & Marble Prodcuts
39634-A,YASIR & COMPANY,"382-P BLOCK, PHASE-1, DHA, LAHORE",MR. ASIF ALI - Proprietor,042-35722297,yasirco2000@hotmail.com,MARBLE & MARBLE PRODCUTS,HANDMADE CERAMIC TILES
51929-C,AL-BASIT MARBLE & GRANITE,"70/A-MUZAFIZ TOWN, PHASE-1, LAHORE",MR. JAVED IQBAL - Managing Partner,042-36114822,albasitmarble@yahoo.com,MARBLE & MARBLE PRODCUTS,MARBLE & MARBLE PRODCUTS
58613-A,MOHSIN ALI MARBLE,LINK MAIN GHAZI ROAD DEFENCE FORT SCHEME LAHORE CANTT LAHORE,MR. MUHAMMAD HAMEED - Proprietor,042-35812493 042-35812494,mh_marbles@yahoo.com,MARBLE & MARBLE PRODCUTS,MARBLE
80526-A,ARWAR EMRY STONE,"AL SIRAJ PARK,STREET NO.2 PLOT NO.1 NEAR SIDDQUE ENGG.WORKS, DAROGHAWALA, LAHORE",MR. RAFI ULLAH - Proprietor,042-36554077,attsupplies48@yahoo.com,GRINDING,GRINDING STONE
15685-C,ABUZAR GRINDING MILLS (PVT) LTD,"ABUZAR PLAZA, MOCHIPURA MORE, PECO ROAD, LAHORE",MIAN ABUZAR SHAD - Chief Executive,042-35114610,abuzargrinding@hotmail.com,GRINDING,Grinding
64875-C,SALAMAT ENTERPRISES (PVT) LTD.,"2-KM, KALA KHATAI ROAD, SHAHDARA, LAHORE",MIAN ZAFAR HUSSAIN - Chief Executive,042-37925783,salamatent@yahoo.com,GRINDING,MINERAL GRINDER
59254-C,MASTER METALS,"53/D,HAJI PARK, BUND ROAD, SHAD BAGH, LAHORE",MR. ALTAF ZAFAR - Proprietor,042-37609492,AZHAR224@HOTMAIL.COM,GRINDING,PLATES GRINDED
22401-C,MESHMAKERS (PVT) LTD,"APT NOS.8 & 8-A, 3RD FLOO AL-HAFEEZ SUITES, OFF M.M. ALAM ROAD,69-B/II, GULBERG-III, LAHORE",MR. HAYAT MUHAMMAD KHAN - Chief Executive,042-35876218 042-35712478,meshmakers@yahoo.com,GRINDING,MINERAL GRINDING
100909-A,NOOR GRINDING INDUSTRY,"2-KM, KATAAR BUND ROAD, MULTAN ROAD THOKAR NIAZ BAIG, LAHORE",MR. RASHID JAHANGIR - Proprietor,,,GRINDING,GRINDING
45077-C,MESH PAK PROCESSING (PVT) LTD.,THAY PUNJU DEFENCE ROAD KHANA LAHORE,MIAN ABUZAR SHAD - Director,042-35115032,abuzargrinding@hotmail.com,GRINDING,STONES CRUSHING GRINDING
