Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-1829,BLUE STAR INDUSTRIES,", ITTEFAQ PARK, MOMINPURA ROAD, OFF:",,36533661,,MOTOR CYCLE / RICKSHAW,MOTOR CYCLE
NEW-1830,EAGLE AUTO RICKSHAW INDUSTRIAL. ESTATE KOT LAKHPAT,,,,,MOTOR CYCLE / RICKSHAW,AUTO RICKSHAW
NEW-1831,HKF ENGINEERING (PVT) LTD.,"2.5 KM., DEFENCE ROAD OFF: BHOBTIAN CHOWK, RAIWIND ROAD",,5320876-7,,MOTOR CYCLE / RICKSHAW,MOTOR CYCLE
NEW-1832,KASHIF INDUSTRIES,AL-SIRAJ PARK MOMINPURA,,6536671,,MOTOR CYCLE / RICKSHAW,AUTO PARTS
NEW-1833,KING VESPA G.T. ROAD DAROGHAWALA,,,,,MOTOR CYCLE / RICKSHAW,AUTO RICKSHAW
NEW-1834,NEW ASIA AUTOMOBILE MANZOOR PARK ZAHOOR ROAD SAGGIAN PUL,,,7146565 7148419,,MOTOR CYCLE / RICKSHAW,MOTOR CYCLE
NEW-1835,PAK HERO INDUSTRY (PVT) LTD.,", 10 KM., RAIWIND ROAD",,"5321370-1,
www.pakhero.com",,MOTOR CYCLE / RICKSHAW,"MOTOR CYCLE, AUTO RICKSHAW"
NEW-1836,PAK STAR AUTOMOBILE (PVT) LTD.,", 19-KM MULTAN ROAD BEHIND HIGHNOON LIBORATORY",,4237511778,,MOTOR CYCLE / RICKSHAW,MOTOR CYCLE
NEW-1837,SAIGALS QINGQI MOTOR LTD.,", 43 KM., MULTAN ROAD",,"7211506-10,
www.qingqi.com.pk",,MOTOR CYCLE / RICKSHAW,"MOTOR CYCLE, AUTO RICKSHAW"
NEW-1838,SENIOR AUTOMOBILE (PVT) LTD.,",   7-A PUNJAB INDUSFTRIAL ESTATE KOT LAKHPAT",,35806502,,MOTOR CYCLE / RICKSHAW,AUTO RIKSHAW
NEW-1839,SHAFIQ AUTO MOTIVE INDUSTRIES,TEZGHARH ROAD GOPAL PURA POST OFFICE BATTA PUR YADGAR-E-SHUHADA G.T. ROAD,,35522842,,MOTOR CYCLE / RICKSHAW,AUTO RIKSHAW
NEW-1840,SHAHE-E-PAKISTAN RICKSHAW G.T. ROAD OPP: ENGINEERING UNINVERSITY,,,,,MOTOR CYCLE / RICKSHAW,AUTO RICKSHAW
NEW-1841,SIWA INDUSTRIES,"(PVT) LTD., PLOT NO.6 OPP ST.NO.2 NIZAMI ENGINEERING BUND ROAD BHAMMA SHADBAGH",,37604970,,MOTOR CYCLE / RICKSHAW,AUTO RIKSHAW
NEW-1842,STAHLCO AUTOMOBILE INDUSTRIES,6.5-KM RAIWIND ROAD THOKAR NIAZ BAIG,,"5320240, 5322001-4",,MOTOR CYCLE / RICKSHAW,MOTOR CYCLE
NEW-1843,STAR ASIA,HARBANSPURA ROAD,,"6632167,
www.starasia.com.pk",,MOTOR CYCLE / RICKSHAW,AUTO RICKSHAW
NEW-1844,TIGER AUTO RICKSHAW INDUSTRIES,225-S INDUSTRIAL ESTATE KOT LAKHPAT,,630531,,MOTOR CYCLE / RICKSHAW,AUTO RICKSHAW
NEW-1845,ZXMCO PAKISTAN (PVT) LTD.,", DEFENCE ROAD OFF: RAIWIND ROAD",,5320378 8412736,,MOTOR CYCLE / RICKSHAW,MOTOR CYCLE
,RISAN ENGINEERING IND.,"660-ROHI NALA, BURKI ROAD, LAHORE",MR. IFTIKHAR AHMAD - CE,042-37167010,risan.rist@gmail.com,MOTORCYCLES,MOTORCYCLES PARTS
,AHMED BROTHERS,"OFFICE NO. 11, GROUND FL FAROOQ CENTER, LAHORE HOTEL, MECLOD ROAD, LAHORE",MR. AHMED ABDUL HAKEEM - Proprietor,,,MOTORCYCLES,MOTORCYCLES
,AA CORPORATION,"SHOP # 192, NEAR GM BUILDING, SHEIKHUPURA ROAD, SHAHDARA, LAHORE",MR. MUHAMMAD ALI - Proprietor,,adilautos740@gmail.com,MOTORCYCLES,WHOLE SALE & RETAIL TRADE MOTORCYCLE
