Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
,CHEMI COATS (PVT) LTD,"25-A,F.C.C., SYED MARATAB ALI ROAD, GULBERG-IV, LAHORE",SYED MARATIB ALI - Chief Executive,042-35322204 042-35322209 --___,finance@chemcoats.com.pk,OTHER CHEMICALS,CHEMICALS USED FOR CONSTRUCATION
,ATF AGRI SCIENCES (SMC-PVT.) LTD,"61-A, MAIN GULBERG, LAHORE",MR. ALI KHAN TAREEN - Chief Executive,042-35750018,maqsoodmalhi@jksugharmills.com,AGRI CHEMICALS,PESTICIDES & FERTILIZERS
,ORGANO TRIX,"30-B, SALLY TOWN, HARBANSPURA ROAD, NEAR JORRAY PULL, LAHORE",MIRZA NAEEM BAIG - Managing Partner,042-36632638,organotrix@gmail.com,AGRI CHEMICALS,"PESTICIDES, INSECTICIDES, FUNJICIDES, FERTILIZERS"
,CHEMCO,"29-KM, FEROZPUR ROAD, LAHORE",MR. MUBASHAR NASEER BUTT - Proprietor,,,TEXTILE CHEMICALS,TEXTILE CHEMCALS & AUXILIARIES
,NEXUS CHEMICAL SYSTEMS,"150-S, STREET IH-5, IMPERIAL GARDEN HOMES, CLASS MARI BARKI ROAD, PARAGON CITY, LAHORE",MR. IMTIAZ ALI - Managing Partner,042-37184150,imtiaz12@hotmail.com,TEXTILE CHEMICALS,TEXTILE & INDUSTRIAL CHEMICALS
,ARCANE CHEMICALS,"21-N, GULBERG-II, LAHORE",CH. UMER HUSSAIN - Managing Partner,042-35716437 042-35716439,umer@nayyerindustries.com,TEXTILE CHEMICALS,TEXTILE CHEMICALS & PET
,DADA VISION (PVT) LTD.,"170-A2, SECTOR-A, DEFENCE ROAD, ENGINEERS TOWN, LAHORE",MR. JAHANGIR GULL - Chief Executive,,jahangir@dada-vision.com,TEXTILE CHEMICALS,"IMPOR TEXTILE CHEMICALS, EXPORT GARMENTS"
,S.A. INTERNATIONAL TRADERS,"494-F BLOCK, M.A. JOHAR TOWN, LAHORE",SH. MUHAMMAD SHAHID - Managing Partner,,saitradersco@yahoo.com,TEXTILE CHEMICALS,TEXTILE CHEMICALS
,AMERICOS INDUSTRIES INC.,"OFFICE NO.3, MAIN PLAZA, NAWAB TOWN ROAD, LAHORE",MR. AHSAN IQBAL - Managing Partner,,,TEXTILE CHEMICALS,CHEMICALS FOR TEXTILE
,K & U INTERNATIONAL,"308, Y-BLOCK, PHASE-III, DHA, LAHORE",MR. USMAN PERVAIZ - Proprietor,042-35784447,usmanpervaiz@hotmail.com,TEXTILE CHEMICALS,TEXTILE CHEMICALS
