Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
83190-C,ZENITH PACKAGES INDUSTRIES (PVT) LTD.,"16-KMOFF FEROZEPUR ROAD, 1-KM CHANDRAI ROAD, CHUNGI AMAR SIDHU, LAHORE",MR. SAAD AAMER - Director,042-35402220 042-35402221,finance@zenithpackages.com,ELECTRIC ITEMS,PACKING MATTERIAL
101603-C,SHAFIQ PAK PACKAGING (PVT) LTD.,"PLOT # 9,10,11, SUNDAR INDUSTRIAL ESTATE, RAIWIND ROAD, LAHORE",MR. SHAFIQ UR REHMAN - Chief Executive,042-35114101 042-35114102,pakpackages@hotmail.com,PACKING EQUIPMENT,PRINTING
103016-C,INSAF PACKAGES,"OFFICE # 96-R-1, COURT STREET, LOWER MALL, LAHORE",MR. JUNAID SALEEM - Managing Partner,042-37320341 042-37320342,,PACKING EQUIPMENT,PRINTING & PACKAGING
103739-C,PRINT WELL (PVT.) LTD,"FIAZI STREET, 21-KM, FEROZEPUR ROAD, LAHORE",MR. KHALID RASHID - Chief Executive,042-35950600,print-well@hotmail.com,PACKING EQUIPMENT,"PACKAGING CARTON BOXES, MATERIAL & EQUIPMENT"
105780-A,ABDULLAH PACKAGING,"17-RAILWAY ROAD, MOON MARKET, LAHORE",MR. TANZEEL-UR-REHMAN PIR ZADA - Proprietor,042-37120624,tanzeelpirzada@yahoo.com,PACKING EQUIPMENT,PACKING
105993-C,LYALLPUR METALS (PVT.) LTD,"125-B, QUAID-E-AZAM, INDUSTRIAL ESTATE, KOT LAKHPAT, LAHORE",MR. HADI HAFEEZ - Chief Executive,042-35213414 042-35157045,hadihafeez@gmail.com,PACKING EQUIPMENT,PACKAGING EQUIPMENTS
107799-C,STELLAR PACKAGING (PVT) LTD.,"3-KM ISLAM PURA ROAD, OFF MOUZA KHANA KACHA, LAHORE",MR. USMAN MALIK - Managing Director,,finance@texoindustries.pk,PACKING EQUIPMENT,PACKING EQUIPMENT
108975-A,OMEGA PACKAGES,"962-C, CANAL VIEW HOUSING SOCIETY, LAHORE",MR. TARIQ WASEEM - Managing Partner,,omegatechlahore@gmail.com,PACKING EQUIPMENT,CORRUGATED PAPER & PAPER BOARD
109293-A,AMIR MAJEED PRINTERS,"BUILDING NO.11, KALAMKAR ROAD, 19-K.M., FEROZEPUR ROAD, GLAXO TOWN, LAHORE",MR. AMIR MAJEED - Proprietor,042-35953338,unitedartpk@gmail.com,PACKING EQUIPMENT,PACKAGING
109409-C,ABC PACKAGES,"ABUBAKAR SIDDIQUE COLONY, FARZAND GHATTI NEAR DOUBLE SARAK BUND ROAD, LAHORE",MRS. NOSHEEN ADNAN - Proprietor,042-37413111,packges.abc@gmail.com,PACKING EQUIPMENT,PACKAGING
110075-C,ENSURE PRINTING & PACKAGING,"8-D, DAVIS ROAD, LAHORE",HAFIZ HASAN MUNIR - Proprietor,,,PACKING EQUIPMENT,PACKAGING EQUIPMENT
115970-C,TARA PACKAGES (PVT) LTD.,"OFFICE NO.1, BLOCK G-II, CANAL BANK ROAD, JOHAR TOWN, LAHORE",DR. MIAN KHALID HAMEED - Director,042-35398100 042-35398101,khalidhameed@taragroup.com.pk,PACKING EQUIPMENT,PACKING
124127-A,AL BURAQ PLASTIC,"RAVI CHOWK, NEAR WAQAR PLASTIC, MANGA ROAD, RAIWIND, LAHORE",MR. HAYAT KHAN - Partner,,alburaq20222022@gmail.com,PACKING EQUIPMENT,MANUFACTURE OF PACKING
127508-C,PRIME MANUFACTURES,"MOUZA SULTANKAY, SUNDER ROAD, RAIWIND, LAHORE",MR. AIJAZ UL MULK - Proprietor,,primemanufacture99@gmail.com,PACKING EQUIPMENT,PACKING OF TEA
132076-C,SWERA PACKAGING INDUSTRIES (PVT) LTD.,"10-A, LINK ROAD, SHADMAN, LAHORE",MR. MARDAN ALI ZAIDI - Chief Executive,042-35960025,swerapackaging@gmail.com,PACKING EQUIPMENT,PACKAGING PRODUCTS
16060-C,INDUSTRIAL ENTERPRISES (PVT) LTD.,"6-N, INDUSTRIAL AREA, GULBERG-II, LAHORE",MR. HASSAN MUMTAZ - Chief Executive,042-35713119,,PACKING EQUIPMENT,THERMOPORE INSULATION SHEETS
44229-C,PACK TECH (PVT) LTD,"138-INDUSTRIAL ESTATE, KOT LAKHPAT, LAHORE",SH. MUNIR HUSSAIN - Chief Executive,042-35153786,munirsh@packtech.pk,PACKING EQUIPMENT,PACKAGING AND PRINTING
67463-C,CANMASTER COMPANY (PVT) LTD.,"10.5 K.M- SHEIKHUPURA ROAD, LAHORE",MR. RAHEEL AHMAD - Chief Executive,042-37914881 042-37914883,hussain_can@hotmail.com,PACKING EQUIPMENT,PACKING EQUIPMENT
67491-C,D.E. TECHNICS (PVT) LTD.,"GLAXO TOWN, 20TH- KM, FEROZEPUR ROAD, LAHORE",MR. MUHAMMAD HAROON - Chief Executive,042-35272601 042-36168023,info@de-technics.com,PACKING EQUIPMENT,PACKING MACHINES & WAFER PLANTS
74185-C,HAMEED PACKAGING INDUSTRY (PVT) LTD.,"113/17A, 113/17B-M, QUAID-E-AZAM INDUSTRIAL ESTAT, KOTLAKHPAT , LAHORE",MR. ATIF UR REHMAN - Chief Executive,042-35153487,hpi@wol.net.pk,PACKING EQUIPMENT,PACKAING
74187-C,KING PACK INDUSTRIES,12.5 KM SHEIKHUPURA ROAD LIBERTY TOWN LAHORE,MR. MUHAMMAD AFZAAL - Managing Partner,042-37933370,,PACKING EQUIPMENT,PACKAGING
77375-C,XEBEC PACKAGING,"14.5 KM- ATTAHIR SHAHEED ROAD, OFF MULTAN ROAD, LAHORE",MR. NOMAN MANZOOR - Proprietor,042-36187770,xebecpackaging@gmail.com,PACKING EQUIPMENT,PACKAING EQUPMENT
77514-C,DELTA PACKAGING (PVT) LTD,"PLOT# 711, SUNDER INDUSTRIAL ESTATE, RAIWIND ROAD, LAHORE",MR. MUHAMMAD AFZAL - Chief Executive,042-35297311 042-35297312,afzalpackages@gmail.com,PACKING EQUIPMENT,PACKING EQUIPMENT
80115-A,ARSLAN PRINTING & PACKAGING,"ALI BUILDING , 1- MISSION ROAD, LAHORE",MR. MUHAMMAD ASLAM JAVAID - Proprietor,042-37313531,javaid_aslam@yahoo.com,PACKING EQUIPMENT,PACKING EQUIPMENT
81729-C,NEW ROYAL PRINTING AND PACKRITE (PVT) LTD,"HOUSE NO.250-D, PIA HOUSING SOCIETY, LAHORE",MR. KHALID MOHAMMAD AMIN - Chief Executive,042-37971015 042-37332314,khalid.butt87@yahoo.com,PACKING EQUIPMENT,CORRUGATED BOX
81837-C,PRIME PUBLISHERS,"ALI STREET, NEAR PSO PUMP, SAGGIAN BY PASS, LAHORE",MR. KAMRAN GUL AGHA KHAN - Proprietor,042-37163504 042-37163505,info@primepublishers.org,PACKING EQUIPMENT,BOX BOARD UNIT CARTON
