"Mship No","Company Name","Address","Name","Ph (Off)","Email","Business Sector(s)","Business Speciality"
"22878-C","GRAND PARENT POULTRY (PVT) LTD","2/A AHMAD BLOCK, NEW GARDEN TOWN, LAHORE","MR. ABDUL KARIM - Director","042-35835374 042-35835373 111-111-220","bigbird@bigbirdgroup.com.pk","HATCHERIES & BREEDERS","DAY OLD PARENTSTOCK CHICK"
"23251-C","FAMOUS POULTRY BREEDERS (PVT) LTD","171 SHADMAN-II LAHORE","DR. MUSADDIQ ASIF - Chief Executive","042-35961021 042-35961028","musaddiqa@hotmail.com","HATCHERIES & BREEDERS","HATCHERIES POULTRY"
"57643-C","HI-TECH FARMS","1-A,SHADMAN CHOWK, JAIL ROAD, LAHORE","MR. MUHAMMAD ASIM KHAN - Partner","042-35408244 042-35408248 111-000-180","info@hitechgroup.pk","HATCHERIES & BREEDERS","BROILER CHICKS,"
"91878-A","UNITED POULTRIES","OFFICE NO.7-B AGRO FLATS, 47- SHADMAN MARKET, LAHORE","MR. RAZA MEHMOOD KHURSAND - Proprietor","042-37426888 042-37426889","khursands@hotmail.com","HATCHERIES & BREEDERS","POULTRY FARMING"
"17481-C","BIG BIRD POULTRY BREEDERS (PVT) LTD","2/A AHMAD BLOCK NEW GARDEN TOWN LAHORE","MR. SALMAN BASIT - Director","042-35837512 042-35837514 111-111-220","bigbird@bigbirdgroup.com","HATCHERIES & BREEDERS","DAY OLD BROILER CHICKS"
"132044-A","MID-WEST FARMS","HOUSE # 23, GREEN FORTS 02, CANAL BANK ROAD, JEHLUM BLOCK, LAHORE","MR. AZHER IQBAL - Managing Partner","","farms.midwest@gmail.com","POULTRY FARMS & PRODUCTS","LAYER"
"76479-C","KAUSAR FARMS","KAUSAR HOUSE, 13-C, NEW MUSLIM TOWN, LAHORE","MR. SAJID ALI MALIK - Partner","042-35847325 042-35847326","sajid@kausar.com.pk","POULTRY FARMS & PRODUCTS","POULTRY BROKER"
"26170-C","HI-TECH POULTRY BREEDERS (PVT) LTD","1-A-SHADMAN CHOWK JAIL ROAD LAHORE","MR. MUHAMMAD ASIM KHAN - Director","042-35408244 042-35408248 111-000-180","info@hitechgroup.pk","POULTRY FARMS & PRODUCTS","DAY OLD BROILER CHICKS"
"26702-C","OLYMPIA POULTRY BREEDERS (PVT) LTD","23 DAVIS ROAD LAHORE","MIAN HUMAYUN MONNOO - Director","042-36301979 042-36306781","oil.imports@ymail.com","POULTRY FARMS & PRODUCTS","DAY OLD CHICKS"
"57575-C","BIO-POUL INTERNATIONAL","F-15,IST FLOOR, COMMERCIAL PHASE-1, D.H.A., LAHORE-CANTT","DR. HANIF NAZIR CHAUDHRY - Proprietor","042-35740743","drhanifnazir@yahoo.com","POULTRY FARMS & PRODUCTS","POULTRY FARMS & PRODUCTS"
"73475-C","SUPREME FARMS (PVT) LTD.","OFFICE NO.176 SHADMAN-1 LAHORE","MR. BASHARAT KHALEEQ - Chief Executive","042-37425744 042-37425748","basharat@supreme.com.pk","POULTRY FARMS & PRODUCTS","DAY OLD CHICKS"
"86417-C","AL BARAKAH FOODS","PEERAN WALA ROAD, 1-KM, MANGA RAIWIND ROAD, MULTAN ROAD, LAHORE","MR. MUHAMMAD OMER NASEEM - Managing Partner","042-35384444","omernsm@msn.com","POULTRY FARMS & PRODUCTS","LAYER, EGGS"
