Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
130848-C,SEVEN WORLD VIEW (SMC-PVT) LTD,"103/2, FAZIL ROAD, CANTT- LAHORE",MRS. MISBAH MOMIN - Chief Executive,042-36674301,sevenworldv@gmail.com,NEWSPAPER AND MAGAZINES,MAGAZINE & (NEW PAPER)
33039-C,MASHRIQ EMPLOYEES MANAGEMENT (PVT) LTD,"35 BLOCK B, PUBLIC HEALTH SOCIETY, LAHORE",SYED MUMTAZ AHMAD - Director,042-36288293 042-36288294,mumtazahmad36@gmail.com,NEWSPAPER AND MAGAZINES,NEWSPAPER AND MAGAZINES
100919-C,GRAVURE ZONE,"PLOT # 103, SECTOR- A MULTAN ROAD MOHAFIZ TOWN, LAHORE",MR. MUHAMMAD UZAIR SIDDIQI - Proprietor,042-35516178,gravurezone@yahoo.com,BOOKS,NOTE BOOKS
104639-A,ROMAN TRADERS,"13-RATIGAN ROAD, LAHORE",MR. MUHAMMAD UMAR RASOOL - Proprietor,042-37231160,mianomer267@yahoo.com,BOOKS,BOOKS
104640-A,USMAN TRADERS,"SULTANI MOHALLA URDU BAZAR, LAHORE",MR. AHMAD USMAN RASOOL - Proprietor,042-37231160,mianomer267@yahoo.com,BOOKS,BOOKS
105442-C,USWA (PVT) LTD,"313-CANAL BANK ROAD, OPPOSITE DOCTORS HOSPITAL, NEAR PCSIR COLONY, LAHORE",SYED WAQAS UR REHMAN JAFRI - Chief Executive,042-35421557 042-35421558,info@das.edu.pk,BOOKS,PRINTING & BOOKS
110583-A,MAKTABA TUL HASSAN,"33 HAQ STREET, URDU BAZAR, LAHORE",MR. MUHAMMAD QADEER ALI - Proprietor,042-37241355,maktabatulhassan786@gmail.com,BOOKS,BOOKS
110751-C,MIAN ABDULLAH ART PRESS,"10- HAZRAT USMAN GHANI ROAD, MAIN SAGGIAN ROAD, LAHORE",MIAN KHURRAM SHAHZAD - Proprietor,042-37163413,shanim004@gmail.com,BOOKS,BOOKS
111861-C,FAZAL NAZIR (PVT) LTD.,"OFFICE NO 857, STREET NO 71, SADDER, LAHORE",MR. AFZAAL AHMAD - Chief Executive,,fazal.nazir.ntnpk@gmail.com,BOOKS,"LAW BOOKS, TECHNICALS BOOKS, CHILDREN BOOKS"
112666-C,1-PRIDE PRINTERS.,"WATER LAND ROAD, FAIZPUR SAGGIAN BYPASS, LAHORE",MR. MUSSARAT HUSSAIN - Managing Partner,042-37339856,,BOOKS,PRINTING OF BOOKS AND EDUCATIONAL BOOKS
114326-A,BOOK FACTORY,"OFFICE 4-URDU BAZAR, 2ND FLOOR ABOVE AZHAR PUBLISHERS, LAHORE",MR. MUHAMMAD ALI AZHAR - Proprietor,042-37124984,maliazhar@outlook.com,BOOKS,"BOOKS,PRINTERS & PUBLISHERS"
114382-A,TIGER INTERNATIONAL PUBLISHER,"SHOP NO.1 ZEESHAN PLAZA, AHATA SHAHDARIYAN, URDU BAZAR, LAHORE",MR. NAFEES SALEEM - Proprietor,,nafeessaleem303@gmail.com,BOOKS,BOOKS
114615-A,EXCEL BOOK COMPANY,"OFFICE # 6, 2ND FLOOR, HAJVARY SHOPPING CENTRE, ORANGE TRAIN STOP, CHUBURJI, LAHORE",MRS. LUBNA WAQAR - Proprietor,042-37410867,info@excelbookcompany.com.pk,BOOKS,SCHOOL BOOKS
115200-A,HAMID QURAN PUBLICATIONS,"38, URDU BAZAR, LAHORE",MR. AHSAN IJAZ - Partner,042-37312173 042-37123435,syedahsan1969@gmail.com,BOOKS,BOOKS NOTE BOOKS
118438-A,AL KAREEM QURAN COMPANY,"MAKKAH CENTER, 3 LOWER MALL ROAD, LAHORE",MR. MUHAMMAD MUKARAM - Proprietor,042-37361234,alkareemqurancompany@gmail.com,BOOKS,QURAN PAK
119680-A,DARUL HUSNA PUBLISHERS,"SHOP NO.20, AL FAZAL MARKET, 17- URDU BAZAR, LAHORE",MR. NADEEM SAEED BUTT - Proprietor,042-37361591,darulhusna2009@gmail.com,BOOKS,BOOKS
