Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
,BASHIR RICE MILLS,"OFFICE NO.929-B, FAISAL TOWN, LAHORE",MR. AZEEM IQBAL - Managing Partner,"042-35178606, 042-35178607",brmricemills@gmail.com,RICE,RICE
,BISMILLAH FOOD INDUSTRIES (PVT.) LTD,"HOUSE # 580, AA-BLOCK, STREET NO.1, SECTOR-D, BAHRIA TOWN, LAHORE",MR. QAMAR UL ZAMAN - Chief Executive,-,bismillahfood351@gmail.com,RICE,RICE
,EAST RICE COMPANY (PVT) LTD,"H-116 EME, DHA, LAHORE",MR. ALI NARANG - Director,-,info@eastrice.com,RICE,RICE
,AGROPEX,"XX-181, DHA, LAHORE",MR. MUHAMMAD UMAR SHAHZAD KH. - Proprietor,042-37951252,agropex.rice@gmail.com,RICE,BASMATI RICE
,AROMA AGROWTEC (PVT.) LTD,"3RD FLOOR, PLAZA # 42-F3, OPPOSITE BUNDU KHAN SWEET, PUNJAB COOPERATIVE SOCIETY, GHAZI ROAD, CANTT- LAHORE",MR. HUSSNAIN KHALID - Director,049-4752580,ceo@aromaagrowtec.com.pk,RICE,RICE
,FAISAL RICE DEALER,"97-E, PHASE-III EX. PARKVIEW, DHA, LAHORE",HAFIZ FAISAL MEHMOOD - Proprietor,"042-37668347, 042-37668348",faisalbrother@hotmail.com,RICE,RICE
,ZAFAR RICE DEALER,"97-E, PHASE VIII EX.PARKVIEW, DHA, LAHORE",HAFIZ ZAFAR MEHMOOD - Proprietor,042-37668347,faisalbrother@hotmail.com,RICE,RICE
,NOORWAY FOOD COMPANY (PVT.) LTD,"OFFICE NO.1009, 10TH FLOOR, HALY TOWER, 301-R, LALIK JAAN CHOWK, PHASE 2, DHA, LAHORE",MR. NABEEL IQBAL MINHAS - Chief Executive,042-32177000,nabeelminhas@hotmail.com,RICE,RICE
,SUPREME RICE MILLS (PVT.) LTD,"FLAT NO.3, 2ND FLOOR, URBAN STORE, URBAN PLAZA, PUNJAB SOCIETY, GHAZI ROAD, CANTT- LAHORE",MR. MUHAMMAD SHAFIQUE - Chief Executive,-,info@supremerice.com,RICE,RICE
,MUSFFA TRADER,"M.A DOLLA TRADE CENTER, 80- FEET, MARGHZAR ROAD, SHADIWAL, LAHORE",MR. ABDUL REHMAN AHMAD - Proprietor,042-42374422,musffa@gmail.com,RICE,RICE
,EHSANIA ENTERPRISES,"HOUSE NO. 22/L ST NO-1 ALTAF PARK, SHER SHAH ROAD, SHAD BAGH, LAHORE",RANA MUHAMMAD EHSAN KHAN - Proprietor,-,ranaehsan99@gmail.com,RICE,RICE
,REHMAN GREEN FOODS (PVT.) LTD,"SECOND FLOOR, 248-MB PLAZA, SECTOR J, PHASE 06, LAHORE",MR. MOHSIN JAVED - Chief Executive,-,safian@supremerim.com,RICE,SUPER BASMATI BROWN RICE
,HEAVEN FOODS & PROCESSING MILLS,"343-D-1, NESPAK SOCIETY, LAHORE",SH. ABDUL RAZZAQ - Managing Partner,-,miannauman@yahoo.com,RICE,RICE
,ABDUL WALI & COMPANY,"H # 809, AKBARI MANDI, LAHORE",MR. ABDUL WALI - Proprietor,042-37379000,abdulwali@mkricemills.com,RICE,RICE & DRY FRUITS
,M-AHMAD & MAHNOOR ENTERPRISES,"727, NEELAM BLOCK, ALLAMA IQBAL TOWN, LAHORE",MR. MUHAMMAD ARIF CHAUDHRY - Partner,-,raziaarif1214@gmail.com,RICE,RICE
,BIN RAMZAN FOODS (PVT) LTD.,"FAJAR BUILDING, 1ST FLOOR 19-A ABBOTT ROAD LAHORE",MR. MUHAMMAD TUFAIL - Chief Executive,042-36301711,binramzanfoods@gmail.com,RICE,RICE
,AL-JANNAT RICE TRADERS,"8G, MUSHTAQ AHMAD GURMANI ROAD, GULBERG II, LAHORE",SH. WAHEED AHMED - Proprietor,"042-35958811, 042-35958812",sheikh.waheed84@gmail.com,RICE,RICE
,S B CORPORATES,"OFF # 26, FLOOR M2, EDEN TOWER, MAIN BOULEVARD, GULBERG, LAHORE",MR. SOHAIL LATIF BHATTI - Proprietor,-,bhatti.bkk@hotmail.com,RICE,RICE EXPORTER
,HASSAN EXPORTAHOLIC,"MAIN SIDDIQIA COLONY ROAD, KHUDIAN KHAS, KASUR",MR. EJAZ UL HASSAN - Proprietor,-,rjazge@gamil.com,RICE,RICE
,A R INTERNATIONAL,"488 BLOCK G/3, M A JOHAR TOWN, LAHORE",MIAN RIAZ AHMAD - Proprietor,042-35315050,abufood@gmail.com,RICE,RICE
,HORIZON TRADERS,"HOUSE NO.2, AZHAR COLONY, KHARA ROAD, KASUR",MR. TAYYAB ASLAM - Proprietor,-,horizontraders1.ksr@gmail.com,RICE,RICE
,KANAK,"PROPERTY NO.SIII -88-S-17, MAIN ABDALI ROAD, LAST BUS STOP ISLAMPURA, LAHORE",MR. ZULFIQAR ALI - Partner,-,zulfiqaralijutt042@gmail.com,RICE,RICE
,GREEN FIELD RICE MILLS (PVT) LTD,"SUITE # 6, PLAZA NO.53/F, 3RD FLOOR, NEAR NAEEM SURGICAL HOSPITAL, PUNJAB COOPERATIVE HOUSING SOCIETY, GHAZI ROAD, CANTT- LAHORE",MR. ZAFAR IQBAL - Chief Executive,042-35924010,exports@greenfield.com.pk,RICE,"SUPER BASMATI BROWN RICE, WHITE RICE"
