"Mship No","Company Name","Address","Name","Ph (Off)","Email","Business Sector(s)","Business Speciality"
"59326-A","IMAN RICE MILLS","37-IMAN VILLAS, MEHAR COLONY, M.A. JINNAH ROAD, OKARA","MR. MUHAMMAD AKRAM SAJJAD - Proprietor","044-2528700_","akramsajjad@inamricemills.com","RICE","RICE"
"31216-C","KHAWAJA RICE PROCESSORS","XX-181, DHA, LAHORE","MR. SHAHZAD AFZAL - Proprietor","042-37951251 042-37951253","khawajaricepro@hotmail.com","RICE","RICE PROCESSING"
"36318-C","WHITE PEARL RICE MILLS LTD.","29-BRIDGE COLONY, CANTT- LAHORE","MALIK MUHAMMAD JAHANGIR - Director","042-36604722 042-36604733","wprml@brain.net.pk","RICE","RICE"
"38314-A","PERFECT FOODS INDUSTRIES","NEAR RAVI CLIFTON COLONY, BUND ROAD, SHAHDRA TOWN, LAHORE","CH. MUHAMMAD RIAZ - Managing Partner","042-37009486","","RICE","Rice"
"39750-C","KHALID RICE MILLS","SUIT NO.2, 4TH FLOOR, SHAN ARCADE, BARKET MARKET, NEW GARDEN TOWN, LAHORE.","MR. MUHAMMAD IQBAL BHATTI - Managing Partner","042-35869027 042-35941424","khalid_ricemills@yahoo.com","RICE","RICE PROCESSING"
"41397-C","AL-RASHID RICE & GENERAL MILLS","275-G.T. ROAD, GHALLAH MANDI, BAGHBAN PURA, LAHORE","MIAN ABID RASHID - Proprietor","042-36857925 042-36827925","shalimarrice275@hotmail.com","RICE","RICE"
"43824-C","EURO GUARD (PVT) LTD","8-KM- RAIWIND ROAD, LAHORE","MR. MOHAMMAD MOMIN ALI MALIK - Director","042-35320643 042-35320645 111-007-555","mmalik_77@hotmail.com","RICE","RICE PROCESSING"
"44838-C","BEST RICE MILLS","SHAH KHALID TOWN 12-K.M G.T.ROAD SHAHDRA LAHORE","MR. MUBASHAR ALI - Partner","042-37950391","ceo@bestricemills.pk","RICE","RICE"
"47383-C","M.J.M. RICE MILLS","60 F, FCC SYED MARATAB ALI ROAD, LAHORE","MR. QUWAT ALI SHEIKH - Partner","042-37163100 042-37163103","mjmrice786@gmail.com","RICE","RICE PROCESSING"
"48587-A","CHAUDHARY BROTHERS","75- GHALLA MANDI, OKARA","MR. NAEEM AHMAD - Managing Partner","044-2525441_","","RICE","RICE"
