Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
,HAMZA CLOTH HOUSE,"SHOP # 2, UMAR BLOCK, AZAM CLOTH MARKET, LAHORE",MR. HAMZA MAQBOOL - Proprietor,-_____ -_____ --___,,SECURITY SERVICES,SERVICES
,KUN TRADERS,"G-49, I.T TOWER, HALI ROAD, GULBERG-III, LAHORE",MR. NAVEED ATTIQUE - Proprietor,042-35238811 -_____ --___,naveed.attique@yahoo.com,SECURITY SERVICES,"CAMERAS, CCTV, I.T GADGETS"
,DEFENCE SOLUTIONS & SYSTEMS (PVT) LTD.,"34/5, LINK SARWAR ROAD, CANTT- LAHORE",MR. ZEESHAN ZAKARIA - Chief Executive,042-36675806 -_____ --___,zeeshanzakaria@hotmail.com,SECURITY SERVICES,SECURITY EQUIPMENTS
,LOGICON,"8-D, FAZAL PLAZA (1ST FLOOR) PIA MAIN BOULEVARD, NEAR WAPDA TOWN, LAHORE",MR. MURAD HASAN - Partner,,murad.hasan@logicon.tech,I.T. SERVICES,SOFTWARE
,IBEES ENTERPRISES,"FIRST FLOOR, CITY TOWER, 12- ABBOT ROAD, ROYAL PARK NEAR LAKSHAMI CHOWK, LAHORE",MR. MUHAMMAD IRFAN - Partner,042-36313360,smairfan@ibees.biz,I.T. SERVICES,PAPER PRODUCTS & DESIGNING
,TRICAN INTERNATIONAL (PVT) LTD,"15-AA, KB SOCIETY, NEW AIRPORT ROAD, LAHORE",MR. ZEESHAN MIRBAZ - Chief Executive,042-37169107,zmirbaz@gmail.com,I.T. SERVICES,EXPORT OF SOFTWARE
,GPL GLOBAL PROJECT LEADER,"77-K, PHASE-6, DHA, LAHORE",MR. UMER WAQAR - Proprietor,,umerwaqar@gmail.com,I.T. SERVICES,"COMPUTER,SOFTWARE DEVELOPER"
,I.T EYE SOLUTIONS,"H # 390, SUNFLOWER BLOCK, BAHRIANASHEMAN, FEROZPUR ROAD, LAHORE",MR. KAMRAN AHMED SIDDIQI - Proprietor,,iteyesolutions@outlook.com,I.T. SERVICES,I.T SERVICES PROVIDER
,INVOBYTE,"HOUSE NO.31-J, MOHALLAH IZMIR TOWN, LAHORE",MR. NISAR AHMAD CHEEMA - Managing Partner,042-35458541,sma@wizlinx.com,I.T. SERVICES,IT SERVICES
,DATA MAGNETICS TECHNOLOGIES,"64-D1, BAIG ROAD, PHASE-1, JOHAR TOWN, LAHORE",MR. FAYYAZ-UR-REHMAN - Proprietor,,FAYYAZ.REHMAN@DATAMAGNETICS.COM,I.T. SERVICES,ALL I.T SERVICS
,BETTERSOURCE (PRIVATE) LIMITED,"376-A, PHASE-5, DHA, LAHORE",MR. EJAZ HUSSAIN MINHAS - Chief Executive,042-37582860,ejaz7075@hotmail.com,I.T. SERVICES,I.T. SERVICES
,WAYS CORPORATIONS,"OFFICE NO.42, FLOOR MA, BIG CITY TOWER, 3/E-2, GULBERG-III, LAHORE",MRS. MEHWISH ZAHRA - Proprietor,,wayscorporation@yahoo.com,I.T. SERVICES,IMPORT & EXPORT
,HQ ANALYTICS HEALTHCARE QUALITY,"OFFICE # 305, 3RD FLOOR, SIDDIQ TRADE CENTER, GULBERG, LAHORE",MR. IRFAN QADIR - Managing Partner,042-35817114,irfan@hqanalytics.com,I.T. SERVICES,IT SERVICES
,MILESTONE APPS,"177-A1, M.M ALAM LINK ROAD, GULBERG-III, LAHORE",MR. USAMA ZAHEER - Proprietor,,usama@milestoneapps.com,I.T. SERVICES,IT SERVICES
,NOAH TECHNOLOGIES (PVT) LTD,"23-A, ALI BLOCK NEW GARDEN TOWN, LAHORE",MR. WAQAS AHMED KHAN PITAFI - Chief Executive,042-35911327,salman@devbatch.com,I.T. SERVICES,"SOFTWARE, WEBSITE, CALLCENTRE"
,KHAWAJA IT ASSOCIATES,"493-W, STREET NO.15, PHASE-3, DHA, LAHORE",MR. MUNEEB SHAHID KHAWAJA - Proprietor,,muneebshahidkhawaja@gmail.com,I.T. SERVICES,SOFTWARE INFORMATION TECHNOLOGY
,GALLANT IT SOLUTIONS & ENGINEERING,"52- CENTRAL COMMERCIAL AREA, BLOCK-A, KHAYABAN-E-AMIN, LAHORE",MR. ADEEL ZAHID ROOMANI - Proprietor,,adeelroomani@yahoo.com,I.T. SERVICES,IT SERVICES
,TAJ TECHNOLOGY,"OFFICE NO.5, ST NO.23-A, ARTIST PARK, JHAGLIAN FURNITURE MARKET, BAND ROAD, LAHORE",MR. MUHAMMAD MAQSOOD - Proprietor,,maqsood.taj@gmail.com,I.T. SERVICES,I.T. SERVICES
,DESIGN MARK,"MUHAMMAD ALI STREET, SANDA, LAHORE",MR. WISHAL GHORI - Proprietor,,infodesignmark@gmail.com,I.T. SERVICES,I.T SERVICES
,AL-NAFEH ENTERPRISES,"HOUSE NO.140-A, ASIF BLOCK, ALLAMA IQBAL TOWN, LAHORE",MR. SHAHZAD HUSSAIN - Proprietor,,abdulkhaliqfareed@gmail.com,I.T. SERVICES,DIGITAL MARKETING
,TECHYOM,"AWAN COLONY, PO KHAS USMAN WALA TEHSIL & DISTRICT KASUR",MR. MAHMOOD UL HASSAN - Proprietor,,,I.T. SERVICES,I.T SERVICES
,ROOT POINTERS,"13-COMMERCIAL ZONE, FLAT 3 CANAL VIEW, CO-OPERATIVE HOUSING SOCIETY, MULTAN ROAD, LAHORE",MR. ALI FARAZ ABBASI - Managing Partner,,rootpointerspk@gmail.com,I.T. SERVICES,I.T SERVICES
,LEVEL9 STUDIOS (PVT.) LTD,"OFFICE NO.1, AL-AMIR MARKET, NEAR NADRA OFFICE, KOT LAKHPAT, LAHORE",HAFIZ MUHAMMAD SAJID - Chief Executive,,hafizsajid007@gmail.com,I.T. SERVICES,SOFTWARE
,THE USHER HUB SOLUTIONS,"HOUSE NO.20, STREET NO 9-E MOHALLAH MIRAN HUSSAIN, CHAH MIRAN, LAHORE",MR. SHAHWAIZ FAISAL - Proprietor,,info@theushersolutions.com,I.T. SERVICES,IT SERVICES
,CREATIVE DOTS (PVT) LTD.,"HOUSE NO.249-W, MOHALLAH PHASE III, DHA, LAHORE",MR. RASHID PERVEZ MUGHAL - Chief Executive,,,I.T. SERVICES,I.T. SERVICES
,FALCON TERA AXIS,"HAJI PARK, QUADI WIND ROAD, KASUR",MR. FALAK SHER - Proprietor,,info@falcontera.com,I.T. SERVICES,I.T.SERVICES
,NOVATORESOLS (PVT) LTD.,"121-C, PCSIR-III, COLLEGE ROAD, LAHORE",MR. AMEER HAIDER - Chief Executive,042-34004426,info@novatoresols.com,I.T. SERVICES,I.T AND I.T ENABLED SERVICES
,LATTICE,"51-B3, LAWRANCE ROAD, LAHORE",MR. FAIZAN E ILAHI - Partner,,faizaneilahi97@hotmail.com,I.T. SERVICES,WEB DEVELOPMENT & SOFTWARE
,CODENINJA (PVT) LTD,"5TH FLOOR, BUILDING 58, EX PARK VIEW, EXTENSION, PHASE 8, D.H.A, LAHORE",MR. NADEEM SHAHZAD - Director,042-37136907,hello@codeninja.pk,I.T. SERVICES,I.T SERVICES
,GROWTHECHO (PVT) LTD.,"316-N, JOHAR TOWN, LAHORE",MR. FARAZ YASIN - Director,,ihsan.aspire@gmail.com,I.T. SERVICES,SERVICES (ACCOUNT MGT SERVICES FOR ONLINE SCLLENS)
,DIGITAL VIRTUAL WORKS,"HAJI PARK, QUADI WIND ROAD, KASUR",MR. FALAK SHER - Proprietor,,info@digitalvirtualworks.com,I.T. SERVICES,I.T EXPORT
,NASK SOFT (PVT) LTD,"3RD FLOOR, 21 CC/A, BLOCK D, DHA-08, EX PARK VIEW, LAHORE",MR. MUHAMMAD NAVEED - Chief Executive,,accounts@nasksoft.com,I.T. SERVICES,I.T. SERVICES
,AGILE TECHNOLOGIES,"337-B2, JOHAR TOWN, LAHORE",MR. MAMOON RASHID - Partner,,irfanch6041981@gmail.com,I.T. SERVICES,I.T SERVEIES
,TRADEWISE INTERNATIONAL,"P2-32, JEFF HEIGHTS, MAIN BOULEVARD, GULBERG-II, LAHORE",MR. WASIM AKRAM - Managing Partner,042-35751127,wasim@tradewiseint.com,I.T. SERVICES,I.T SERVICES
,INFOSTACK TECH,"HOUSE # 122, BLOCK F-1 PHASE-1, WAPDA TOWN, LAHORE",MR. ALI RAZA ULLAH - Managing Partner,,admin@infostacktech.com,I.T. SERVICES,I.T SERVICES COMPUTER AND SOFTWARE
,ETUGRA,"HOUSE # 296, H BLOCK, JOHAR TOWN, LAHORE",MR. ISRAR AHMED - Managing Partner,042-32335449 042-35463402,israr.ahmed22@gmail.com,I.T. SERVICES,I.T SERVICES
,CLOUD1 (PVT) LTD.,"25-CCA, D-BLOCK, DHA PHASE 8, (EX.PARK VIEW) LAHORE",MR. ARSALAN KHALID - Chief Executive,042-37137115,akhalid@cloud-1.com,I.T. SERVICES,"SOFTWARE, OTHER I.T SERVICES"
,CONNEX,"FIRST FLOOR # 153, SECTOR AA, PHASE-4, D.H.A, LAHORE",MIAN JAVAID IQBAL - Partner,042-37196050,accounts@connex.com.pk,I.T. SERVICES,"OUT BOUND CALL CENTER, SERVICES"
,JEREMY CONSULTANTS,"179-S BLOCK, MODEL TOWN, LAHORE",MRS. MEHWISH RIZWAN - Proprietor,,mehwishrizwan7042@gmail.com,I.T. SERVICES,INFORMATION TECHNOLOGY ETC
,ABOUT DIGITAL,"1-C, AL-HAMAD GARDENS, MAIN PINE AVENUE, NEAR DHA RAHBAR, DEFENCE ROAD, LAHORE",MR. MUHAMMAD SALMAN NASIR - Proprietor,,aboutdigitalpk@gmail.com,I.T. SERVICES,"IT, DIGITAL MARKETING"
,MZ SERVICES,"HOUSE NO.2, BLOCK-D, RAILWAYS OFFICERS COLONY, WALTON, LAHORE",MR. MUHAMMAD ZUBAIR - Proprietor,042-36627230,zubair3344@gmail.com,I.T. SERVICES,"SEO, FRONT END, BACK END, WEB DEVELOPMENT"
,ATLA TECHNOLOGIES (PVT) LTD.,"OFFICE NO.1, SECOND FLOOR, CENTER POINT PLAZA GULBERG-III, LAHORE",MRS. RABIYA ATHER - Chief Executive,,,I.T. SERVICES,IT
,EAZETECH SOLUTIONS,"OFFICE NO.672-B, FAISAL TOWN, LAHORE",MR. KHIZER AHMAD KHAN - Proprietor,,khizerkhan1122@hotmail.com,I.T. SERVICES,"SOFTWARE DEVELOPMENT, DIGITAL MARKETING"
,H&H COMMUNICATIONS,"258-G 4, BLOCK-G, JOHAR TOWN, LAHORE",MR. TALAL SHERAZI - Proprietor,,info@h7hcommunications.com,I.T. SERVICES,CALL CENTER
,MOBIUS TECHNOLOGY (PVT) LTD.,"73 BOLAN BLOCK, CHINAR BAGH, RAIWIND ROAD, LAHORE",CH. MUHAMMAD ABDUL REHMAN AYUB - Chief Executive,,ch.maan02@gmail.com,I.T. SERVICES,INFORMATION TECHNOLOGY
,AB ARK (PVT) LTD.,"452-G4, JOHAR TOWN, LAHORE",MR. MUHAMMAD WALEED BUTT - Director,,abark@gmail.com,I.T. SERVICES,INFORMATION TECHNOLOGY SOFTWARE
,UPROOT TECHNOLOGIES (PVT) LTD,"725 JANIPER BLOCK, SECTOR C, BAHRIA TOWN, LAHORE",MR. ADNAN MAQSOOD - Chief Executive,,addy.maqsood@gmail.com,I.T. SERVICES,INFORMATION TECHNOLOGY & COMPUTER SERVICE
,TECHPRO,"84-B, 5TH FLOOR TULIP COMMERCIAL BLOCK, BAHRIA TOWN, LAHORE",SYED ZEESHAN HAIDER - Proprietor,042-35976253,xeeshan.hamdani@gmail.com,I.T. SERVICES,IT & IT ENABLED SERVICES
,DINCLOUD PAKISTAN (PVT) LTD.,"62-C2 GULBERG-III, LAHORE",MR. KHURRAM SHAFIQUE - Chief Executive,,kshafique@atsg.net,I.T. SERVICES,"COMPUTER PROGRAMING AND CONSULTANCY , IT SERVICES"
,WORLD SOURCE OUTSOURCING,"HOUSE NO.153, MOHALLAH GULGHASHT COLONY. RUSTAM PARK, MULTAN ROAD, LAHORE",MR. FURQAN SHAHID - Proprietor,,furqan.shahid786@gmail.com,I.T. SERVICES,VIRTUAL ASSISTANT SERVICES
,SMP SOLUTIONS INC,"OFFICE NO.417, 7TH FLOOR, MEGA TOWER, 63-B, MAIN BOULEVARD, GULBERG TOWN, LAHORE",MR. MUHAMMAD BILAL - Proprietor,,mbilal.myself@gmail.com,I.T. SERVICES,IT AND COMPUTER SERVICES
,FA-AGHNA (PVT) LTD,"11-B, SAINT MARY PARK, MAIN BOULEVARD, GULBERG III. LAHORE",MR. MUDDASSAR MEHMOOD - Chief Executive,042-35774341,ceo@fa-aghna.com,I.T. SERVICES,BUSINESS PROCESS OUT SOURCING
,QWQER EXPRESS PAKISTAN (PVT) LTD,"OFFICE # 703, AL-HAFEEZ HEIGHTS, GULBERG III, LAHORE",MR. MUHAMMAD TAYYAB SABIR - Chief Executive,,tayyab.sabir@outlook.com,I.T. SERVICES,RIDE HAILING
