"Mship No","Company Name","Address","Name","Ph (Off)","Email","Business Sector(s)","Business Speciality"
"60133-A","A.P FOOTWEAR","NOOR ROAD, SOHAIL PARK, BADAMI BAGH, LAHORE","MR. MAHAMMAD JAVAID BUTT - Proprietor","042-37282454 042-37720561","ap-footwear@hotmail.com","COSMETICS","SHOES"
"93-C","SERVICE SALES CORPORATION (PVT) LTD","6-D, 2ND FLOOR, EFU HOUSE, JAIL ROAD, MAIN GULBERG, LAHORE","MR. AHMAD SHAHID HUSSAIN - Director","042-35790611 042-35790620 111-111-501","ahmed.hussain@sscbrands.com","LEATHER SHOES","LEATHER SHOES"
"10249-C","EPCT (PVT) LTD.","45-50 INDUSTRIAL AREA GULBERG-III LAHORE","MR. JAVED USMAN - Chief Executive","042-35756192 042-35756197","epct@brain.net.pk","LEATHER SHOES","FINISHED LEATHER, SHOES"
"102836-C","FEETURE FASHIONS (PVT) LTD.","113/11, QUAID-E-AZAM INDUSTRIAL ESTATE, KOT LAKHPAT, LAHORE","MR. IMRAN SIDDIQUI - Director","042-35118300 042-35118400","","LEATHER SHOES","LADIES SHOES"
"103953-C","WORLD WALK SHOES","7-KM SHAEKHUPURA ROAD, NEAR BADHOO PULLY OPP. MILLAT TRACTOR, LAHORE","MR. OMAR ASRAR - Managing Partner","042-37339427","worldwalk92@gmail.com","LEATHER SHOES","LEATHER SHOES"
"105000-A","COMFORT SHOES","HOUSE # 1, MAIN ROAD KHARAK NALA STOP, NEAR WASA OFFICE, SABZAZAR, LAHORE","MR. WAQAS BIN ASHIQ - Proprietor","","comfort.shoes1984@gmail.com","LEATHER SHOES","SHOES"
"108032-A","SAADAT ALI ENTERPRISES","HOUSE # 3750, NOORANY STREET, LOHARI GATE, BAZAR SOOTER MANDI, LAHORE","MR. SAADAT ALI - Proprietor","","","LEATHER SHOES","SHOES"
"114075-A","SHOES MAKE","CHONGI G.T. ROAD, DUBAI PARK MOMANPURA, LAHORE","MR. MUHAMMAD SAEED - Proprietor","","zagrofootwear@gmail.com","LEATHER SHOES","SHOES"
"116793-C","SUKH CHAIN SHOES","LAL BADSHAH ROAD, 17 KM- MULTAN ROAD, KHAN PUR, LAHORE","MR. TANVEER AZAD - Proprietor","042-37512712","tanveerazad.ieo@gmail.com","LEATHER SHOES","LADY SHOES"
"121397-C","SOLES & SHOES EXPERTS","KHASRA NO.313, GULSHAN RIAZ COLONY, BUND ROAD, LAHORE","MR. MUHAMMAD SALMAN AFZAL - Proprietor","","msalmanafzal1992@gmail.com","LEATHER SHOES","SHOES/SHOE SOLE"
"122366-A","BEON DIGITAL SHOES PLATFORM","SHAHI MOHALLAH, NEAR TAJMAHAL SWEET, GUJJAR GALI, LAHORE","MR. MUHAMMAD AKHTAR - Proprietor","","advocatemeharjunaid505@gmail.com","LEATHER SHOES","MANS SHOES"
"122762-C","PLUTO LASER WORK","SHOP 1,2 FIRST FLOOR BISMILLAH CENTER, NEAR TIBI CITY POLICE STATION, LAHORE","MR. MUBAHID IJAZ - Proprietor","","mubahadejaz890@gmail.com","LEATHER SHOES","SHOES"
"123452-A","JAVED GENERAL TRADING COMPANY","STREET NO.165, CHAMAN PARK, BAGHBANPURA, LAHORE","MR. JAVED ASGHAR - Proprietor","","javedasgharali1985@gmail.com","LEATHER SHOES","LEATHER SHOES"
"125880-C","ESTILO (PVT) LTD.","QAINCHI METRO STATION, NEAR HABIB BANK LIMITED BANK, MAIN FEROZPUR ROAD, SHEIKH CENTER, LAHORE","MR. ALI HAIDER - Director","","estiloofficialapage@gmail.com","LEATHER SHOES","HANDMADE SHOES LEATHER"
"128466-A","LALA SHOE MAKER","PLOT # S-1-114, STREET # 8, AQIB VESHO STREET, GAWALMANDI, LAHORE","MR. UMAIR ASHRAF - Proprietor","","umairashraf762@gmail.com","LEATHER SHOES","SHOES MANUFACTURER"
"128601-A","BRAND SHOE","HOUSE NO. 03, STREET NO.2, SHAM NAGAR ROAD, CHABURJI, LAHORE","MR. ZOHAIB ALI - Proprietor","","","LEATHER SHOES","SHOES"
"130037-A","DEJAVU SHOES","SHOP NO. C 1670-1671 C 1687/A FATIMA CENTRE, ALI PARK, TAXALI LAHORE","MR. HAMID KHALIL - Proprietor","","hamidkhalil941@gmail.com","LEATHER SHOES","FOOTWEAR"
"130401-A","PRIME SOLE","PLOT NO.20, LYREX COLONY, BADAMI BAGH, LAHORE","MR. MUHAMMAD TAYYAB - Proprietor","","alphatango8822@gmail.com","LEATHER SHOES","FOOTWEAR"
"21683-C","FIRHAJ FOOTWEARS (PVT) LTD","21-KM., FEROZEPUR ROAD, LAHORE","MR. FARRUKH SALIM - Chief Executive","042-35273385 042-35273386","firhaj@umergroup.com","LEATHER SHOES","LEATHER SHOES, LEATHER GARMENTS,"
"30008-A","AIWA SHOES MANUFACTURING CO","OLD ROSE CINEMA BUILDING 34 RAILWAY ROAD LAHORE","MR. WASEEM SAIF - Managing Partner","042-37223747","aiwashoes@yahoo.com","LEATHER SHOES","LEATHER SHOES"
"39145-C","PRIME NAALAIN (PVT) LTD.","SULTAN PURA ROAD, HIDE MARKET, LAHORE","SH. SAEED AHMAD - Chief Executive","","prime@prime.com.pk","LEATHER SHOES","LEATHER SHOES"
"51617-C","U.E. (PVT) LTD","TAYABA INDUSTRIAL ZONE, MANDIALY STOP, 19-K.M. OFF SHEIKHUPURA ROAD, LAHORE","MR. MUHAMMAD AHMAD SHEIKH - Chief Executive Officer","042-37168737 042-37168738","uent@lhr.comsats.net.pk","LEATHER SHOES","LEATHER SHOES"
"53251-C","ELEGANT (PVT) LTD","19-B, ST. NO.1, SADAAT TOWN, (OFF BEDIAN ROAD), DHA, LAHORE","MR. NASIR ANWER SHEIKH - Chief Executive","042-37167939","nasir@elegantfootwear.com","LEATHER SHOES","LEATHER SHOES, FINISHED LEATHER & SPORTS SHOES"
"53472-C","SIMBA ENTERPRISES (PVT) LTD","PLOT# 122, 20 KM FEROZPUR ROAD, AL-NOOR INDUSTRIAL AREA, GLAXO TOWN, LAHORE","MIAN MUHAMMAD AFZAL - Chief Executive","042-35953341 042-35953388","catsimbashoes@gmail.com","LEATHER SHOES","LEATHER SHOES"
"60306-C","AYUB SHOES FACTORY","PLOT NO.39, SOBEDAR COLONY, NEAR GRAVEYARD, GHAZIABAD, LAHORE","MR. AYUB ALI - Proprietor","042-36857130 042-36371990","ayubshoefactory@yahoo.com","LEATHER SHOES","LEATHER SHOES"
"64940-A","BUSINESS LINK SHOES","2ND FLOOR, 19-CHAMBERLANE ROAD, NEAR MASJID TAJEE SHAH, GAWALMANDI, LAHORE","MR. MUHAMMAD ASHRAF - Proprietor","042-37632567","","LEATHER SHOES","LADIES SHOES"
"70692-A","IBRAHIM & SONS","NOOR STREET NEAR NIMRA MASJID MULTAN ROAD MUHAJIR ABAD LAHORE","MR. IBRAHIM - Managing Partner","042-37415725","ibrahimandsons@hotmail.com","LEATHER SHOES","SHOES"
"70992-C","MIAN CHANNU INDUSTRIES","PLOT NO.72, TIMBER MARKET RAVI ROAD, LAHORE","MR. RASHAD ISLAM - Managing Partner","042-37729696 111-335-893","naeemsultan79@gmail.com","LEATHER SHOES","LEATHER SHOES"
"71226-A","NOBLE SHOE INDUSTRIES","75/9-B-1, TOWNSHIP, LAHORE","MR. SHAKEEL AHMAD - Proprietor","042-35116318","noble@nexlinx.net.pk","LEATHER SHOES","SHOES"
"73688-C","SHAFI LIFESTYLE ( PVT) LTD.","3-KM BULHAR ROAD OFF 22-KM FEROZEPUR ROAD ROHI NALA LAHORE","MR. AMJAD HAFEEZ - Director","042-35260483 042-35260484","info@slfpk.com","LEATHER SHOES","LADIES LEATHER SHOES"
"74699-A","NEW MILLI SHOES","MOTTI BAZAR, MASTI GATE BEGUM SHAHI MASJID, LAHORE","RANA ALI WAQAS - Proprietor","042-37652271","newmillibrothers@gmail.com","LEATHER SHOES","SHOES"
"78242-C","HUSSAIN MANUFACTURING (PVT) LTD.","161-M, QUAID-E-AZAM INDUSTRIAL ESTATE, KOTLAKHPAT, LAHORE","MR. JAVED IQBAL SIDDIQUI - Chief Executive","042-35157210","javed@stylo.com.pk","LEATHER SHOES","LEATHER SHOES"
"79834-A","CORIO FOOTWEAR","501-C, EDEN TOWER, GULBERG-III, LAHORE","MR. MUHAMMAD SALMAN TALIB - Proprietor","","","LEATHER SHOES","LEATHER SHOES,FOOT WEAR"
"80023-A","ROCKY SHOES","BEHIND IMAM BARGHA, MAIN BAZAR KHAKI, 9.5-K.M- SHEIKHUPURA ROAD, LAHORE","MR. MUHAMMAD KHADIM - Proprietor","042-36150579","hafiz_zia@hotmail.com","LEATHER SHOES","LEATHER SHOES"
"82297-C","ARRORA FOOTWEAR","SAGHIAN BYPASS, NAIN SUKH CHOWK, LAHORE","MR. MUHAMMAD ISMAIL - Proprietor","042-37163611 042-37163612","ismailarrora@yahoo.com","LEATHER SHOES","LEATHER SHOES"
"83632-C","C.S. SOFT","AL-SAEED CHOWK, ZAIN PARK, SAGGAIN BYPASS ROAD, SHAHDRA, LAHORE","MR. ABDUL SATTAR - Proprietor","","","LEATHER SHOES","LEATHER SHOES"
"84332-A","ALL RITE FOOTWEAR","SHOP NO.4 & 5, HAJVERY MARKET, SWAMI NAGAR, 45- G.T. ROAD, LAHORE","MR. ABDULLAH AASHIR - Managing Partner","042-36857779","arshoeslhrpk@yahoo.com","LEATHER SHOES","LEATHER SHOES"
"86792-A","PUBLIC SOFT","99-TIMBER MARKET, RAVI ROAD, LAHORE","MR. NOMAN ZAFAR - Managing Partner","042-37725213 042-37723213","nomanzafar2@hotmail.com","LEATHER SHOES","SHOES"
"88032-C","WELCOME SOLE","GULSHAN RIAZ COLONY, NAWAZ ROAD, STREET NO.6 MUNSHI HOSPITAL BUND ROAD, LAHORE","MALIK MUHAMMAD AFZAL - Proprietor","042-37150855","malikafzal155@gmail.com","LEATHER SHOES","SHOES & FOOTWEAR"
"89728-A","FOOT KOMFORT","85/A, HAQ STREET NO.8, MUGHAL PARK, BUND ROAD, LAHORE","MR. KAZIM ALI - Proprietor","","kazim.ali20@outlook.com","LEATHER SHOES","LEATHER SHOES"
"94812-A","SHOE TECH","OPP. DARBAR CHANNU SHAH KHAN STREET,BHAMMA JHUGGIAN, 1-KM OFF RING ROAD, SHAD BAGH, LAHORE","MR. TARIQ JAVED - Managing Partner","","shoe.tech21@yahoo.com","LEATHER SHOES","LEATHER SHOES"
"102748-C","SAHIL SOLE CENTER","SHABIL TOWN, BUND ROAD, FAZAL COLONY, LAHORE","MR. MUHAMMAD MUNAZAM KHAN - Proprietor","","mm.khan3320@gmail.com","PLASTIC SHOES","PLASTIC SHOES"
"125396-C","KING`S FOOTWEAR","NEAR AMNA TRUST HOSPITAL, SALAMAT PURA, RAJ PAL ROAD, SHALAMAR TOWN, LAHORE","MR. MUHAMMAD ILYAS - Partner","","kingsfootwear77@gmail.com","PLASTIC SHOES","LEATHER SHOES"
"128677-A","ALI TRADERS","HOUSE # 10, MARZI PURA, RAVI ROAD, LAHORE","MR. MUHAMMAD ALI - Proprietor","042-37163459","hafizali1397@gmail.com","PLASTIC SHOES","PLASTIC, RUBBER & LEAHTER SHOES"
"46723-A","PIONEER PLASITCS","68-TIMBER MARKET, RAVI ROAD LAHORE","KH. NASIR IQBAL - Proprietor","042-37722067","pioneer456@hotmail.com","PLASTIC SHOES","PLASTIC SHOES"
"56292-C","GULAB PLASTIC","215-BLOCK-L, JOHAR TOWN, LAHORE","MR. MUHAMMAD AMJAD - Proprietor","042-37706700","saktimber@gmail.com","PLASTIC SHOES","PLASTIC SHOES"
