Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
,FUTURE BUSINESS ENTERPRISES,"OFFICE 4, MGI PLAZA, MCLEOD ROAD, NEAR MAJEED MOTORS, LAHORE",MR. FAISAL NAVEED AHMAD - Partner,-,future.business.ent@gmail.com,SOLAR ENERGY,SOLAR PANELS AND EQUIPMENTS
,SKYLAND ENERGY (PVT) LTD.,"286-H-1, JOHAR TOWN, LAHORE",MR. ABDUL HAMEED - Chief Executive,042-32353019,info@theskylandenergy.com,SOLAR ENERGY,SOLAR ENERGY AND RELATED ITEMS
,PRIMA INTERNATIONAL,"578-RAZA BLOCK, ALLAMA IQBAL TOWN, LAHORE",MR. MUHAMMAD SHOAIB - Proprietor,"042-35295978, 042-35862727",primashoaib28@gmail.com,SOLAR ENERGY,SOLAR PRODUCTS
,SOLARLY,"B-23/A, QAZI CENTRE, 16- HALL ROAD, LAHORE",MR. TALHA TAHIR - Partner,042-37273954,doublet43@live.com,SOLAR ENERGY,SOLAR PRODUCTS
,AIR SOLUTIONS,"P1-96, JEFF HEIGHTS, MAIN BOULEVARD, GULBERG-III, LAHORE",MR. EHSAN ALI - Partner,-,muhammad@airsolutions.com.pk,SOLAR ENERGY,"SOLAR INVERTOR, PANELS ETC."
,AMPUP ENERGY,"15-KM, MULTAN ROAD, NEAR TO BYPASS THOKAR NIAZ BAIG, LAHORE",MR. MOHAMMAD AMMAR MEHDI - Partner,-,ampupenergypk@gmail.com,SOLAR ENERGY,SOLAR PANEL AND INVERTER
,STAR WORLD TRADERS,"SHOP NO.2, 1ST FLOOR, MADINA CENTRE, 45- HALL ROAD, LAHORE",MR. SAQIB GHAFOOR - Proprietor,042-37233003,saqibghafoor111@gmail.com,SOLAR ENERGY,SOLAR ENERGY
,SMART4,"86-1ST FLOOR, ABID MARKET, TEMPLE ROAD, MOZANG, LAHORE",MR. ZAHID HUSSAIN - Partner,-,smart4.pak@gmail.com,SOLAR ENERGY,SOLAR PANEL
,DYNEX SYSTEMS,"1ST FLOOR, HALL 02, PLAZA NO.34-A, BLOCK- XX, PHASE 3C DHA, LAHORE",MR. RAZA ELAHI MALIK - Partner,-,info@dynexsystems.com,SOLAR ENERGY,"SOLAR, BATTERIES ETC."
,BAHUM GLOBAL (PVT) LTD,"13 A, KHAYABAN-E-IQBAL ROAD, SECTOR XX, PHASE 3, DHA, LAHORE",MR. ATHAR HAYAT - Chief Executive,042-37207982,info@bahumglobal.com,SOLAR ENERGY,"SOLAR, BATTERIES, ETC."
,AMMAR ENERGY SOLUTION,"SHOP NO.LG-1, GROUND FLOOR, AJWAD JAWAD CENTER, NEAR ISLAMIC BANK, MALL ROAD, LAHORE",MR. MUHAMMAD ADNAN MUNIR - Proprietor,-,adnanshy@yahoo.com,SOLAR ENERGY,SOLAR
,AMINA SOLAR ENGINEERING,"SHOP NO.LG-10, NEAR DUBAI ISLAMIC BANK, AJWAD JAWAD CENTER, HALL ROAD, LAHORE",MR. MUHAMMAD AMIR KHALID - Proprietor,-,aesolarpowergroup@gmail.com,SOLAR ENERGY,SOLAR/ENGINEERING
,GLOBAL SOLAR SOLUTION,"M 18-19, 1ST FLOOR, CITY STAR SHOPPING MALL, MODEL TOWN LINK ROAD, LAHORE",MR. ABDUL RAZAQ - Managing Partner,-,info@globalsolarsolution.com,SOLAR ENERGY,SOLAR PANELS
,AEROSPACE BAYKEE PAKISTAN (PVT.) LTD.,"10-L, AL HASEEB INDUSTRIAL ESTATE, 3-KM- DEFENCE ROAD, KAHNA, LAHORE",MR. MOHSIN ZAHIR JAMIL - Director,"042-35300112, 042-35300113",shafqat@begeen.com.pk,SOLAR ENERGY,SOLAR ENERGY
