Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
2200-C,SAYYED ENGINEERS LTD.,"68-B,1 OFF M.M. ALAM ROAD, GULBERG-III, LAHORE",SYED SAVAIL MEEKAL HUSSAIN - Chief Executive,042-35778324,sayyed@sayyed.com.pk,STATIONERY PRODUCTS,"Ball Point Pens, Markers, Pencils,"
107892-C,TRICA WRITING INSTRUMENTS (PVT.) LTD,"HOUSE # 12-K, MODEL TOWN, LAHORE",MR. AASHIR NAVEED - Chief Executive,042-35272410 042-35272411,aashir@bahadur.com,STATIONERY PRODUCTS,"SCHOOL & OFFICE STATIONERY PRODUCTS (PENCILS,PENS,ERASERS ETC"
117488-A,AHMAD COPY HOUSE,"SHOP # 16, RAJPUT MARKET, URDU BAZAR, LAHORE",MR. AHMED HAROON - Proprietor,042-37311200 042-37311349,riders213@live.com,STATIONERY PRODUCTS,PHOTO COPY
120698-C,MILEN INDUSTRIES,"PLOT NO.4, NEAR SHEET FACTORY, CHARAGH PARK, BUND ROAD, KASOOR PURA STOP, LAHORE",MR. AMEER ULLAH KHAN - Chief Executive,042-37130537 042-37724421,,STATIONERY PRODUCTS,STATIONERY
129725-A,RAFIQUE BOOK BINDING,"PLOT NO.4-105, RATTI GUN ROAD, LAHORE",MR. MUHAMMAD RAFIQUE - Proprietor,,mrafiqlatif@gmail.com,STATIONERY PRODUCTS,"REGISTER AND NOTE BOOK, BOOK BINDING"
26262-C,FASTLINE (PRIVATE) LIMITED,"68-B/1, OFF M.M ALAM ROAD, GULBERG-III, LAHORE",SYED SAVAIL MEEKAL HUSSAIN - Chief Executive,042-35778323 042-35778328,sayyed@sayyed.com.pk,STATIONERY PRODUCTS,BALL POINT PENS & LED PENCILS
43037-C,AFTAB SONS WRITING INSTRUMENTS INDUSTRIES,"16-K.M- LAHORE SHEIKHUPURA ROAD, LAHORE",KH. ASHFAQ AHMED - Partner,042-36284220,kaa@brain.net.pk,STATIONERY PRODUCTS,STATIONERY PRODUCTS
51424-C,MASHALLAH MADINA GLUE INDUSTRY,"42.KM,FEROZPUR ROAD, ON POLEKEY ROAD, KASUR",MR. GHULAM NABI - Managing Partner,049-2716164_,mmgi14@yahoo.com,STATIONERY PRODUCTS,GLUE
53503-C,BAHADUR INDUSTRIES PAKISTAN,MODERN COLONY PECO ROAD KOT LAKHPAT LAHORE,MRS. NAZIA NAVEED - Proprietor,042-35869125,naveediq@wol.net.com,STATIONERY PRODUCTS,STATIONERY PRODUCTS
55627-C,TORAY PLAST,"AL-JANAT ROAD,SAGGIAN RAVI BY PASS, NAN SUKH, LAHORE",MR. MAZHAR HAKIM GOREJA - Proprietor,042-37163485 042-37163486,torayplast@hotmail.com,STATIONERY PRODUCTS,STATIONERY PRODUCTS
57970-A,SHAKIR INTERNATIONAL,"28-KABIR STREET, URDU BAZAR, LAHORE",MR. MOHAMMAD SAEED - Proprietor,042-37124587,,STATIONERY PRODUCTS,FILES
89482-C,PEARLLITE COMPANY,"38- LAKE ROAD, OLD ANARKALI, LAHORE",MR. ATIF IKRAM - Managing Partner,042-37312341,pearlite_co@yahoo.com,STATIONERY PRODUCTS,STATIONERY PRODUCTS & EQUIPMENT
81939-C,PAKISTAN PENCILS (PVT) LTD,"24-KM-FEROZEPUR ROAD, NEAR PSO PETROL PUMP, C/O BAHADUR INDUSTRIES PAKISTAN, LAHORE",MR. NAVEED IQBAL - Chief Executive Officer,042-35272410 042-35272411,naveed@bahadur.com.pk,OFFICE AND STATIONERY PRODUCTS,WRITING INSTRUMENTS
81982-A,UNITED ENGINEER,"MODERN COLONY , PECO ROAD, KOT LAKHPAT, LAHORE",MR. IMRAN IQBAL - Proprietor,042-35946465,,OFFICE AND STATIONERY PRODUCTS,WRITING INSTRUMENTS
84008-A,R.A. TRADERS,"OFFICE # 08, 1ST FLOOR, BASHIR CENTRE, URDU BAZAR, LAHORE",MR. MUHAMMAD HUSNAIN - Proprietor,042-37111056,,COMPUTER STATIONERY,TONERS
NEW-2525,SALAHUDDIN TANNERY KOT KHAWAJA SAEED NEAR WAGON STAND,,,6855487,,TANNERY,FINISHED LEATHER
NEW-2526,SHAIKH BROS. (LAHORE TANNERY) 27-KM FEROZEPUR ROAD,,,5270718,,TANNERY,FINISHED LEATHER
NEW-2527,SHAMASH TANNERY CHOWK KOT KHAWAJA SAEED,,,6824542,,TANNERY,LEATHER TANNING/FINISHING
