"Mship No","Company Name","Address","Name","Ph (Off)","Email","Business Sector(s)","Business Speciality"
"68045-C","HAQ BAHU SUGAR MILLS (PVT) LTD.","65- INFANTRY ROAD, LAHORE CANTT.","MR. MUHAMMAD IRSHAD BUTT - Chief Executive","042-36834016 042-36834021","farrukh@maccagroup.com","SUGAR","SUGAR"
"35971-C","SHAHTAJ SUGAR MILLS LIMITED","72-C-1, M.M. ALAM ROAD, GULBERG-III, LAHORE","MR. WAQAR AHMAD - Director","042-35710482 042-35710484","mail@shahtajsugar.com","SUGAR","SUGAR"
"37072-C","PATTOKI SUGAR MILLS LIMITED","T-09,3RD FLOOR,75-E/1 MAIN BOULEVARD GULBERG-III LAHORE","MR. MOHAMMAD ASLAM - Chief Executive","042-35884180 042-35884185","chemrite@brain.net.pk","SUGAR","SUGAR"
"48479-C","HUNZA SUGAR MILLS (PVT) LTD.","1-A, NEW MUSLIM TOWN, LAHORE","MR. MUHAMMAD WAHEED CHAUDHRY - Director","111-161-161","hunzasugar.headoffice@gmail.com","SUGAR","SUGAR MILLS"
"48499-C","MACCA SUGAR MILLS (PVT) LTD.","65- INFANTRY ROAD,MILLTRY ACCOUNTS COLONY CANTT- LAHORE","MR. RIAZ QADEER BUTT - Managing Director","042-36834016 042-36834021","info@maccagroup.com","SUGAR","SUGAR"
"58231-C","GOJRA SAMUNDRI SUGAR MILLS LTD","MONNOO HOUSE, 3- MONTGOMERY ROAD, LAHORE","MR. DANISH KAISAR MONNOO - Managing Director","042-36364432 042-36316343","danish@monnoo.com","SUGAR","REFIEND SUGAR"
"58363-C","ALMOIZ INDUSTRIES LIMITED","2-D-1, GULBERG III, LAHORE","MR. NAUMAN AHMAD KHAN - Director","042-35771066 042-35771071","info@almoiz.com","SUGAR","SUGAR, POWER GENRATION & STEEL"
"59316-C","ETIHAD SUGAR MILLS LTD","4-BAWA PARK, UPPER MALL, LAHORE","MR. MUHAMMAD SHAKEEL - Director","042-35751865 042-35751866","shakeel@tapl.com.pk","SUGAR","SUGHAR & MOLASSES"
"64436-C","SGM SUGAR MILLS LTD","886-C, FAISAL TOWN, LAHORE","DR. TARA CHAND - Director","042-35179061 042-35179062","essaranitara@gmail.com","SUGAR","SUGAR"
"65425-C","RYK MILLS LIMITED","75/4D, SARFRAZ RAFIQUI ROAD, LAHORE-CANTT","MR. MAKHDUM OMAR SHERYAR - Chief Executive","042-36601381 042-36601384","","SUGAR","SUGAR"
