"Mship No","Company Name","Address","Name","Ph (Off)","Email","Business Sector(s)","Business Speciality"
"87434-A","AL-MALIK SCIENTIFIC AND ELECTRONIC INSTRUMENT INC.","45-S-48, SHARIF PARK, MULTAN ROAD, LAHORE","MR. SHAHBAZ HASSAN MALIK - Proprietor","042-37561119 042-37597697","almalikelectronics@hotmail.com","SCIENTIFIC EQUIPMENT","SCIENTIFIC EQUIPMENT"
"75750-A","DIGITAL SCIENTIFIC ENGINEERING WORKS","HOUSE NO.99/100, MOHALLAH ISLAMIA PARK, POONCH ROAD, SAMANABAD, LAHORE","MR. TALIB HUSSAIN MALLHI - Managing Partner","","","SCIENTIFIC EQUIPMENT","SCIENTIFIC EQUIPMENT"
"111345-C","KAT CO MEDICAL APPLIANCES (PVT.) LTD","605-D BLOCK, M.A JOHAR TOWN, LAHORE","MR. KHALID MAHMOOD - Director","042-35977745","info@katco.com.pk","LABORATORY EQUIPMENT","EALTH CARE ESSENTIALS, SURGICAL ITEMS"
"112483-A","LAB LINK INTERNATIONAL","13-JAN MUHAMMAD ROAD, NEAR BOMBAY CENTRE, NEW ANARKALI, LAHORE","MR. AURANG ZAIB ALAMGIR - Proprietor","042-37237755 042-37312855","lablinkinternational@gmail.com","LABORATORY EQUIPMENT","ALL KIND OF LABORATORY PRDUCTS"
"114928-C","GALVANO SCIENTIFIC (PVT) LTD","PLOT # 3-B, AL-JANAT SCHEME, NEAR LDA AVENU, RAIWIND ROAD, LAHORE","MR. SOHAIB AHMED PANNU - Director","","galvanosci@gmail.com","LABORATORY EQUIPMENT","LABORATORY INSTRUMENTS"
"20404-A","TAHIR INSTRUMENTS","OFFICE NO.13, FIRST FLOOR, ALI PLAZA, 13- FANE ROAD, LAHORE","MR. ZAHEER AHMED CHOUDHRY - Proprietor","042-37237039","tahirinstruments@yahoo.com","LABORATORY EQUIPMENT","LABORATORY EQUIPMENT, LAB OVEN"
"94777-C","QARSHI RESEARCH INTERNATIONAL (PVT.) LTD","15-G, GULBERG-III, LAHORE","MR. IQBAL AHMED QARSHI - Chief Executive","042-35882696","ceo@qarshi.com","LABORATORY EQUIPMENT","LAB TESTING SERVICES"
"125805-A","AL-NAFAY PHARMA GLASS","DUSAKO CHOWK, NEAR AL-SAEED CHOWK, SAGGIAN BYPASS ROAD, LAHORE","MR. TASSADDUQ ALI - Proprietor","","tassadduqali9645@yahoo.com","LABORATORY GLASSWARE","MEDICAL INJECTION GLASS"
"127400-C","32 ALIGN (PVT) LTD.","2ND FLOOR, 19-A, COMMERCIAL AREA, EDEN CITY, LAHORE","MR. SOHAIL HABIB - Chief Executive","042-35720000","hello@32align.com","DENTAL INSTRUMENTS","DENTAL ALIGNERS, DENTAL INSTRUMENTS & DEVICES"
"51238-C","SOAN CORPORATION","204,ABID MARKET, CHOWK QURTABA, LAHORE","MR. BASHARAT SULTAN - Proprietor","042-36367178 042-36367179","soancorporation@hotmail.com","DENTAL INSTRUMENTS","SURGICAL & DENTAL INSTRUMENTS"
"29665-C","TECHNODENT INDUSTRIES","SAFANWALA CHOWK, 62- MOZANG ROAD, LAHORE","MR. USMAN ALI - Managing Partner","042-36362002 042-36363763","shahbaztechnodent.lhr@gmail.com","DENTAL INSTRUMENTS","MANUFACTURER OF ARTIFICIAL ACRYLIC TEETH"
"22119-C","GLOW PAK INTERNATIONAL","129/5-M, QUAID-E- AZAM INDUSTRIAL ESTATE, KOT LAKHPAT, LAHORE","MR. MUHAMMAD IDREES QADRI - Managing Partner","042-35213701 042-35152996","info@glowpak.com","DENTAL INSTRUMENTS","DENTAL INSTRUMENTS"
"127123-A","DENTAL CARE INSTRUMENTS","H # 211, ST # 12, ZARAR SHAHEED ROAD, ASKARI 9, LAHORE","MRS. TAYYABA SAMI - Proprietor","","info@dentalcareinsturments.com","DENTAL INSTRUMENTS","MANUFACTRUING OF DENTAL, SURGICAL, EYE, BEAUTY INSTRUMENTS"
"118453-C","AFZAA DENTAL SUPPLIES","HOUSE NO.1082, MOHALLAH RAVI BLOCK, ALLAMA IQBAL TOWN, LAHORE","MR. MUHAMMAD UMER - Partner","","info@afzaadentalsupplies.com","DENTAL INSTRUMENTS","MEDICAL AND DENTAL INSTRUMENTS"
"117645-C","DBS SOLUTIONS (PRIVATE ) LIMITED","154/M, MAIN BOULEVARD, JOHAR TOWN, LAHORE","DR. WAQAS WAHAB - Chief Executive","042-35137514","hr@digitalbilling.pk","DENTAL INSTRUMENTS","DENTAL INSTRUMENTS"
