Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
,J.CELL TRADERS,"SHOP NO. 31, 2ND FLOOR, HASSAN CENTRE, HALL ROAD, LAHORE",MR. ZIAUDDIN - Proprietor,-,ziauddin@yahoo.com,TELECOM EQUPT. & ACCESSORIES,MOBILE ACCESSORIES
,KARAKORAM INTERNATIONAL,"112/J, DHA EME SECTOR, MULTAN ROAD, LAHORE",MR. WASEEM ALI KHAN - Proprietor,-,-,TELECOM EQUPT. & ACCESSORIES,TELECOMMUNICATION EQUIPMENT
,EXCELERON COMMUNICATION (PVT) LTD.,"100-XX, STREET NO.11, PHASE-III, D.H.A, LAHORE",MR. NADEEM AHMED KHAN - Chief Executive,042-35747066,-,TELECOM EQUPT. & ACCESSORIES,TELECOM EQUPT. & ACCESSORIES
,SN SKIES (PVT) LTD,"OFFICE NO.346, H-3, NEAR CITY SCHOOL RAVI CAMPUS, JOHAR TOWN, LAHORE",MR. MUHAMMAD ISMAIL - Chief Executive,042-35458540,ismail@snskies.com,TELECOM EQUPT. & ACCESSORIES,TELECOMMUNICATION EQUIPMENTS
,SHAHID ELECTRONICS,"SHOP NO.5-6, GROUND FLOOR REHMAN CENTRE, 16- HALL ROAD, LAHORE",MR. SHAHID MAHMOOD - Proprietor,-,shahid1mahmood1980@gmail.com,TELECOM EQUPT. & ACCESSORIES,TELECOMMUNICATION EQUIPMENT & PARTS
,1 AM TECHNOLOGIES,"HOUSE #1, MINHAS STREET, JINNAH COLONY, PIR GHAZI ROAD, ICHRA, LAHORE",MR. MUZAFFAR ZUBAIR - Proprietor,,muzaffar.minhas@itbs.pk,COMPUTER ACCESSORIES,IT ACCESSORIES
,FIVE RIVERS TRADING,"ROOM # 1, 4TH FLOOR ASSOCIATED HOUSE, BUILDING # 1, 7- EGERTON ROAD, LAHORE",MR. DANIYAL SULAIMAN MALIK - Proprietor,,five.riverstrading1@gmail.com,COMPUTER ACCESSORIES,COMPUTER ACCESSORIES
,EVERSHINE ENTERPRISES,"14-G MUGHAL CENTRE, LIAQAT ALI PARK HALL ROAD, LAHORE",MR. ZAIN UL ABIDEN - Proprietor,042-37321999,evershine381@gmail.com,COMPUTER ACCESSORIES,USED I.T LOT
,8TH GENERATION,"SHOP # 28, HAFEEZ CENTER, GULBERG TOWN, LAHORE",MR. KARAMAT ALI - Proprietor,,kamiali226@gmail.com,COMPUTER ACCESSORIES,"COMPUTER, LAPTOP"
,NEW CREATIVE COMPUTER,"T-24, RAFI PLAZA, HALL ROAD, LAHORE",MR. KHIZAR HUSSAIN - Proprietor,042-37222108,khizihussainx@gmail.com,COMPUTER ACCESSORIES,COMPUTER ACCESSORIES
