Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-2737,BATH ROBES (PVT) LTD,PLOT NO.80-81 SIE KOT LAKHPAT,,,,TOWEL,TOWELS
NEW-2738,FALAK TEXTILE,"23-KM FEROZEPUR ROAD, ROHI NALA",,5273401-3,,TOWEL,TOWELS
NEW-2739,QURESHI TOWELLERS MULTAN ROAD,,,7510705,,TOWEL,TOWELS
NEW-2740,RUSTAM TOWEL (PVT) LTD.,FEROZEPUR ROAD,,5271556,,TOWEL,TOWELS
NEW-2741,SHAHID ENTERPRISES,,,6667709,,TOWEL,TOWELS
NEW-2742,TANVEER TEXTILES DEFENCE ROAD 10 KM. MULTAN ROAD,,,,,TOWEL,TOWELS
NEW-2743,WATEX PAKISTAN (PVT) LTD,50-N -GULBERG II,,5761711,,TOWEL,TOWELS
,INTERNATIONAL COMMUDITIES TRADERS,"436, BLOCK-R-2, M.A JOHAR TOWN SCHEME, LAHORE",MR. MUHAMMAD ARSLAN - Proprietor,042-32347861,arslan.rehmani27@gmail.com,TOWELS,TOWELS & BED SHEETS ETC
,EMERALDTOWEL (PVT) LTD.,"PLOT # 183-C, EDEN GARDEN EXTENSION, RING ROAD, LAHORE",MR. TALIB HUSSAIN - Chief Executive,,info@emeradtowel.com,TOWELS,TERRY TOWELS
,RIASAT TRADING,"KHARA CHOWK, LAHORE ROAD RAIWIND, LAHORE",MR. MUHAMMAD SUFIAN - Proprietor,,,TOWELS,"TOWEL, CAP ETC"
,TEXTILE RESOURCE,"133-D PLAZA, 3RD & 4TH FLOOR, MAIN COMMERCIAL BROADWAY, DHA PHASE 8, LAHORE",MR. MUHAMMAD ASIF MALIK - Partner,042-37189241 042-37189242,info@textileresourcent.com,TOWELS,TOWELS
