"Mship No","Company Name","Address","Name","Ph (Off)","Email","Business Sector(s)","Business Speciality"
"116963-A","PURE N PURE MINERAL WATER","M-78, SADIQUE TRADE CENTRE, GULBERG, LAHORE","MR. SHAHZADA FAISAL - Proprietor","042-35787790","shahzadpk123@yahoo.com","WATER FILTER","WATER FILTRATION PLANT"
"126619-C","INDUS WATER FILTER (PVT) LTD.","OFFICE FF PLAZA, BUILDING NO.3-A, MAIN FEROZPUR ROAD, QURTABA CHOWK, LAHORE","MR. MUHAMMAD SAAD AYUB - Chief Executive","042-37429270","info@induswaterfilter.com","WATER FILTER","WATER FILTER CARTRIDGE, PURIFIZER"
"33747-A","SARFRAZ FILTER HOUSE","SHOP NO. 96-A, GREEN MARKET, BADAMI BAGH, LAHORE","MR. SARFRAZ AHMAD SHEIKH - Proprietor","042-37729796","","WATER FILTER","FILTERS"
"49871-A","ARIF ENTERPRISES","27-AL-SHAMAS AUTO MAKRET BADAMI BAGH LAHORE","MR. MUHAMMAD ARIF - Proprietor","042-37700223","osakafilter@hotmail.com","WATER FILTER","FILTERS"
"71032-A","EMAN WATER TANK","KAROL GHATI, NEW BHOGIWALL, LINK ROAD, BUND ROAD, LAHORE","MR. MUDASER SHOUKAT - Proprietor","042-36816638","","WATER FILTER","WATER TANK"
"107173-A","ADNAN BROTHERS & MECHANICAL ENGINEERS","ST # 138-S, H # 4-A, GALI TAKIYAN ARAI SAI, LAHORE","MR. ADNAN AMJAD - Proprietor","042-37243922","adnanbrothers0@gmail.com","WATER FILTER","GENERAL ORDER SUPPLIERS OF WATER EQUIPMENTS"
"27127-C","UNIQUE ENGINEERING WORKS (PVT) LTD","233-S-INDUSTRIAL ESTATE, KOT LAKHPAT, LAHORE","MR. NASIM AHMED - Chief Executive","042-35215654 042-35116166","unique.eng233@gmail.com","PACKING EQUIPMENT","MINERAL WATER BOTTLING, DAIRY & BEVERAGES INDUSTRIES"
"127824-C","SAIRAN ENTERPRISES (SMC-PVT) LTD","210-RUSTAM PARK, BEHIND UMER MARKET, MULTAN ROAD, MORE SAMANABAD, LAHORE","MRS. SAIRA IQBAL - Chief Executive","042-37414700","aabehauz@gmail.com","MINERAL WATER","MINERAL WATER"
"75471-C","AA ENGINEERING (PVT) LTD.","INDUSTRIAL PLOT NO.07-08, GREEN VEW SOCIETY, KACHA JAIL ROAD, KOTLAKHPAT, LAHORE","CH. AMJAD ALI - Chief Executive","042-35922324 042-35922321","aaflowmaticengieering@gmail.com","MINERAL WATER","WATER FILTRATION PLANT & JUICE PLANT ETC"
"73645-C","KLINZ FOOD (PVT) LTD.","PLOT NO.10 A, PUNJAB SMALL INDUSTRIAL ESTATE, KACHA JAIL ROAD, KOT LAKHPAT, LAHORE","MR. MOHAMMAD BILAL SHUJA KHAN - Chief Executive","042-35922534","bilalkh_99@yahoo.com","MINERAL WATER","MINRAL WATER"
"61054-C","AQUA SAFE PAKISTAN (PVT) LTD","96- MCLEOD ROAD, LAHORE","MR. MOHAMMAD WASIF - Director","042-37222335","wasif_786@yahoo.com","MINERAL WATER","MINERAL WATER"
"128984-C","AXTRON ENTERPRISES","91-A, FEROZPUR ROAD, LAHORE","MR. WAQAS AHMAD - Managing Partner","","abusaad8688@gmail.com","MINERAL WATER","WATER PURIFICATION"
"127798-A","DRIZZLE","RANA FARM HOUSE, NEAR FAUJI FOUNDATION SCHOOL, BARKI ROAD, LAHORE","MRS. HUMA NADEEM - Proprietor","","humanadeem99@gmail.com","MINERAL WATER","BEVERAGES/MINERAL WATER"
"121190-A","SIPRIGHT INTERNATIONAL","47-A, DIL MUHAMMAD ROAD, LAHORE","MR. ANWAR MASIH - Proprietor","","sipright@gmail.com","MINERAL WATER","MINERAL WATER PLANT"
"113150-A","AL-MUKHTAR & SONS","59-A, MODEL TOWN, LAHORE","MR. MUHAMMAD IFTIKHAR - Managing Partner","","","MINERAL WATER","BOTTLED DRINKING WATER"
"107715-C","SUPERIOR FOOD & BEVERAGES (PVT) LTD","57-L, GULBERG-III, LAHORE","MR. MUHAMMAD BILAL JAVED - Director","","sfb@superioredu.pk","MINERAL WATER","BEVERAGES"
"100806-C","NUSRAT INDUSTRIES","MANGA OTARH ROAD, NEAR ARMY TOWER, MULTAN ROAD, LAHORE","MRS. SAEEDA MAQBOOL - Proprietor","","","WATER PLANTS","WATER TANKS"
"74193-C","WATER WORLD","BOBY PLAZA COMPOUND, OPP. MUNSHI HOSPITAL, RING ROAD, LAHORE","MR. ATTA MOHY UD DIN - Managing Partner","042-37150190 042-37150843","attamdin@gmail.com","WATER PLANTS","WATER TREATMENT & BOTTLES"
"62557-A","WATER 2000 INC.","39-A-MAMDOOT BLOCK, MUSTAFA TOWN, LAHORE","MR. TAHIR MAJEED - Proprietor","042-35412039 042-35412040","info@water2000.com.pk","WATER PLANTS","Water and Wastewater Treatment Plant Equipment"
"61939-C","WATER REMEDY (PVT) LTD","IST FLOOR HALL, PLOT NO.16, BLOCK-A, MILITARY ACCOUNTS CO-OP HOUSING SOCIETY, MAIN COLLEGE ROAD, LAHORE","MR. ABDUL SAMEE KHAN - Chief Executive","042-35215460 042-35215461","info@waterremedy.com","WATER PLANTS","WATER TREATMENT PLANTS"
"53062-C","HADAYAT FOOD STUFFS INDUSTRIES (PVT) LTD","1-B,GARDEN BLOCK, GARDEN TOWN, LAHORE","MR. KHALID HADAYAT ULLAH SUFI - Director","042-35886601 111-100-786","info@sufigroup.biz","WATER PLANTS WATER TREATMENT","Drinking Water"
"50187-C","WATER REGIME (PVT) LTD.","PLAZA NO.3/A, BLOCK-C, NAWAB TOWN, 2-KM- MAIN RAIWIND ROAD, LAHORE","MR. KHALID USMAN - Chief Executive","042-35955584 042-35955585 111-734-463","info@waterregime.com","WATER PLANTS","WATER TREATMENTS PLANTS"
"49134-C","COMPREHENSIVE BUSINESS INTERNATIONAL (PVT) LTD.","PLOT # 13-14B,109-M, QUAID-E-AZAM INDUSTRIAL ESTATE, KOT LAKHPAT, LAHORE","MRS. SHUMAILA SHAKIL - Chief Executive","042-35213730 042-35213731","info@cbipvtltd.com.pk","WATER PLANTS","WATER TREATMENT PLANT"
"43359-C","WATER ENGINEERING & MANAGEMENT SERVICES (PVT) LTD","19-N- MODEL TOWN EXT. LAHORE","MALIK NAEEM ULLAH SAEED - Chief Executive","042-35203621 042-35203622","wems@brain.net.pk","WATER PLANTS","WATER PLANTS"
"18491-C","TWO STAR ENGINEERING SERVICES (PVT) LTD","239-S INDUSTRIAL ESTATE KOT LAKHPAT LAHORE","MR. SHAMSUDDIN - Director","042-35121136 042-35122336","shahidn.tses@gmail.com","WATER PLANTS","WATER EQUIPMENTS"
"112482-A","TIAN XI","DHA PHASE 4, SECTOR EE, HOUSE NO.421, STREET NO.14, LAHORE","MR. YAN XIAO GUANG - Partner","","564947699@qq.com","WATER PLANTS","WATER PURFICATION PLANTS"
"107242-C","DELITE WATER WORLD","GAJJU MATTA, 22-KM FEROZPUR ROAD, LAHORE","MR. SHAHRYAR AHSAN - Partner","","shaheryar.ahsan@deliteworld.com","WATER PLANTS","WATEPLANT"
"108891-C","ENERTECH WATER (PVT) LTD.","OFFICE # 712, 7TH FLOOR, AL-HAFEEZ BUSINESS CENTRE, 89-B-3, GULBERG-III, LAHORE","MR. YASSER MALIK - Chief Executive","042-35772778 042-35772779","uzair.account@enertechpk.com","WATER TREATMENT","WATER INFRACTURATURE"
"124759-C","AQURAS ENTERPRISES (PVT) LTD","134-A, AHMAD BLOCK, NEW GARDEN TOWN, LAHORE","MR. QAISAR JAMAL - Chief Executive","042-35883153 042-35883154","qaiser@midwater.pk","WATER TREATMENT","WATER TREATMENT PLANTS SWIMMING POOL"
"50360-C","CHEMICAL KINETICS","376-G-III, JOHAR TOWN, LAHORE","MR. MUHAMMAD SARFRAZ CHUGHTAI - Managing Partner","042-35290556 042-35290558","info@chemicalkinetics.co","WATER TREATMENT","WATER TREATMENT CHEMICALS"
"53062-C","HADAYAT FOOD STUFFS INDUSTRIES (PVT) LTD","1-B,GARDEN BLOCK, GARDEN TOWN, LAHORE","MR. KHALID HADAYAT ULLAH SUFI - Director","042-35886601 111-100-786","info@sufigroup.biz","WATER PLANTS WATER TREATMENT","Water Processing"
"92349-C","KONTEL TECHNOLOGIES (PVT) LTD.","PLOT NO.13-14B, IST FLOOR 109/M QUAID-E-AZAM INDUSTRIAL ESTATE, KOT LAKHPAT, LAHORE","MRS. SHUMAILA SHAKIL - Chief Executive","042-35213730 042-35213731","","WATER TREATMENT","WATER TREATMENT RELATED EQUIPMENT"
"99773-C","BASRA FOOD INDSUTRY (PVT.) LTD","STREET NO.4, KOT SHAHAB DIN, G.T. ROAD, SHAHDARA, LAHORE","MR. SHAHARYAR KHALID - Chief Executive","042-37912214","","WATER TREATMENT","WATER SERVICES SUPPLIER MANUFACTURING"
